Year,Team,OffYPG,OffRank,DefYPG,DefRank,PFFOL,OLRank,PFFDL,DLRank
2022,ARI,323.5,22,348.9,21,63.52,20,58.21538,26
2022,ATL,318.6,24,362.1,27,81.175,1,61.70833,8
2022,BAL,338.8,16,324.3,9,72.11667,4,64.68293,2
2022,BUF,397.6,2,319.1,6,57.8,30,61.54286,10
2022,CAR,306.2,29,350.2,22,63,21,64.085,4
2022,CHI,307.8,28,375.9,29,68.75714,9,57.38235,30
2022,CIN,360.5,8,335.7,16,58.7,29,60.82692,16
2022,CLE,349.1,14,331.2,14,69.35714,6,57.64091,28
2022,DAL,354.9,11,330.2,12,67.36667,12,61.89545,7
2022,DEN,325.1,21,320,7,67.14,14,61.36087,11
2022,DET,380,4,392.4,32,67.95,10,57.4625,29
2022,GB,337.9,17,336.5,17,67.64,11,61.20714,13
2022,HOU,283.5,31,379.5,30,57.41667,31,59.20938,24
2022,IND,311.6,27,334,15,61.35714,24,57.825,27
2022,JAX,357.4,10,353.3,24,60.23333,28,64.88065,1
2022,KC,413.6,1,328.2,11,71.68333,5,61.215,12
2022,LV,352.5,12,365.6,28,65.45,17,60.95,14
2022,LAC,359.3,9,346.1,20,64.08,18,60.29744,18
2022,LAR,280.5,32,341.1,19,67.26667,13,61.7,9
2022,MIA,364.5,6,337.8,18,60.94286,25,64.2,3
2022,MIN,361.5,7,388.7,31,74.2,3,60.13721,21
2022,NE,314.6,26,322,8,68.95,7,62.11818,6
2022,NO,333.8,19,314.8,5,55.45714,32,60.18182,20
2022,NYG,333.9,18,358.2,25,60.44286,27,60.22899,19
2022,NYJ,318.2,25,311.1,4,60.55,26,63.785,5
2022,PHI,389.1,3,301.5,2,76.34286,2,60.82703,15
2022,PIT,322.6,23,330.4,13,65.65714,16,56.25263,31
2022,SF,365.6,5,300.6,1,68.86667,8,60.05714,22
2022,SEA,351.5,13,361.7,26,62.24615,22,55.31515,32
2022,TB,346.7,15,324.3,9,65.70179,15,58.51071,25
2022,TEN,296.8,30,351.6,23,64.03523,19,60.4875,17
2022,WAS,330.3,20,304.6,3,62.23167,23,59.58857,23
