player,position,team_name,player_game_count,grades_defense,snap_counts_defense,snap_counts_dl,,Avg Grade
Jamir Jones,ED,JAX,9,51.8,114,108,,
Doug Costin,DI,JAX,1,56.8,15,15,,
Taven Bryan,DI,JAX,15,56.4,301,299,,
Jimmy Moreland,CB,HST,1,62.5,8,0,,
Jermaine Carter,LB,CAR,17,42.6,852,22,,
DeShon Elliott,S,BLT,6,65.6,305,29,,
Robert Jackson,CB,BLT,2,57.5,43,0,,
Joejuan Williams,CB,NE,13,59.3,295,4,,
Darius Harris,LB,KC,1,59.9,1,0,,
David Long Jr.,LB,TEN,11,68,675,37,,
Germaine Pratt,LB,CIN,19,54,914,195,,
Jeff Wilson Jr.,HB,SF,1,59.9,1,0,,
Chris Board,LB,BLT,16,53.6,337,55,,
Justin Jackson,HB,LAC,1,72.2,1,0,,
Logan Wilson,LB,CIN,17,61.5,976,57,,
Dakota Allen,LB,JAX,4,49.2,43,5,,
Ty Summers,LB,GB,2,26.6,29,0,,
Josh Allen,ED,JAX,16,78.5,767,763,,54.296875
Jay Tufele,DI,JAX,4,57.7,54,54,,
Jabril Cox,LB,DAL,3,73.3,9,5,,
T.J. Edwards,LB,PHI,17,75.5,719,1,,
Dee Delaney,CB,TB,8,54.9,213,2,,
George Odum,S,IND,15,62.9,472,22,,
K'Lavon Chaisson,ED,JAX,15,47,384,348,,
Melvin Ingram III,ED,KC,18,80.9,731,682,,
Dane Jackson,CB,BUF,15,58.1,620,18,,
DeAndre Baker,CB,KC,9,59,239,0,,
Alex Okafor,ED,KC,20,62.3,522,515,,
Robert Rochell,CB,LA,10,61.9,233,1,,
Nasir Adderley,S,LAC,15,67.3,987,7,,
Mike Hughes,CB,KC,20,72.9,609,8,,
Kendall Sheffield,CB,ATL,2,64.2,53,0,,
Jovante Moffatt,S,CLV,1,58.2,54,6,,
Kris Boyd,CB,MIN,7,39,160,3,,
Darnell Savage,S,GB,18,57.3,1071,2,,
Gavin Heslop,S,SEA,1,61.7,4,0,,
Zayne Anderson,S,KC,1,62.1,6,0,,
Zack Baun,LB,NO,9,44.6,194,59,,
Johnathan Abram,S,LV,14,56.9,955,63,,
Akeem Davis-Gaither,LB,CIN,9,60.2,207,27,,
Jordan Glasgow,LB,IND,1,61.4,1,0,,
Jamel Dean,CB,TB,17,71.8,823,11,,
Frank Clark,ED,KC,17,54.9,807,805,,
Blake Cashman,LB,NYJ,1,29.1,33,7,,
Chris Jones,DI,KC,17,83.4,764,762,,
Noah Dawkins,LB,NYJ,1,68.2,14,4,,
Tae Crowder,LB,NYG,17,29.1,1099,24,,
Jonas Griffith,LB,DEN,5,69.1,255,0,,
Tanner Muse,LB,SEA,1,59.9,1,0,,
Jarran Reed,DI,KC,20,54.5,843,843,,
Khalen Saunders,DI,KC,7,53.9,144,144,,
Cortez Broughton,DI,KC,1,59.2,3,3,,
Tershawn Wharton,DI,KC,20,47.9,581,581,,
Mike Danna,ED,KC,20,63.8,586,579,,
Derrick Nnadi,DI,KC,20,51.3,502,502,,58.84193548
Joshua Kaindoh,ED,KC,3,51.1,46,46,,
Von Miller,ED,LA,19,91.2,939,917,,
Aaron Donald,DI,LA,21,93.5,1261,1257,,
Leonard Floyd,ED,LA,21,73.8,1134,1089,,
Davontae Harris,CB,LAC,4,40.8,74,0,,
A'Shawn Robinson,DI,LA,21,77.7,628,627,,
Troy Reeder,LB,LA,21,43.1,864,18,,
Juwann Winfree,WR,GB,1,70.2,1,0,,
J.R. Reed,S,NYG,2,71.6,56,1,,
Camryn Bynum,S,MIN,9,78.3,211,7,,
Marquise Copeland,DI,LA,13,67.8,139,139,,
Terrell Lewis,ED,LA,11,49.8,367,354,,
Jonah Williams,DI,LA,8,64.9,97,96,,
Matthew Adams,LB,IND,2,60.6,2,0,,
Justin Hollins,ED,LA,12,64.3,279,252,,
Jordan Kunaszyk,LB,WAS,2,53.4,12,3,,
Greg Gaines,DI,LA,21,69.8,1000,997,,66.925
Sebastian Joseph-Day,DI,LA,8,61.5,343,342,,
Eric Wilson,LB,HST,9,39.6,298,4,,
Chapelle Russell,LB,JAX,6,50.4,94,4,,
Andrew Dowell,LB,NO,2,56.9,20,1,,
Ogbo Okoronkwo,ED,LA,17,79.5,314,306,,
Breon Borders,CB,ARZ,7,45.2,70,0,,
Devin Duvernay,WR,BLT,1,60,1,0,,
Gabe Nabers,FB,LAC,1,60,1,0,,
Justin Layne,CB,PIT,5,40.2,29,0,,
Justin Lawler,ED,LA,3,70.8,18,17,,
L'Jarius Sneed,CB,KC,18,63.6,1113,66,,
Reggie Gilliam,FB,BUF,1,60,1,0,,
Alohi Gilman,S,LAC,11,58.8,355,9,,
Trevon Diggs,CB,DAL,17,58.5,1078,1,,
Marquez Stevenson,WR,BUF,1,70.2,1,0,,
Trayvon Mullen,CB,LV,5,61.7,229,1,,
Bobby Brown III,DI,LA,8,64.5,29,29,,
Divine Deablo,LB,LV,9,60.8,326,15,,
Charlie Woerner,TE,SF,1,61.4,1,0,,
Bryce Hall,CB,NYJ,17,63.2,1171,21,,
Byron Pringle,WR,KC,2,59.9,2,0,,
Amen Ogbongbemiga,LB,LAC,10,33.3,111,0,,
Isaiah Simmons,LB,ARZ,18,49.7,1024,237,,
Tay Gowan,CB,PHI,2,60.8,44,0,,
K'Von Wallace,S,PHI,5,56.1,183,3,,
Cameron Dantzler,CB,MIN,13,73.8,685,4,,
Antoine Winfield Jr.,S,TB,15,89.5,1014,42,,
Michael Hoecht,DI,LA,13,48.7,112,111,,
Shemar Jean-Charles,CB,GB,7,45.5,38,1,,
Chris Jackson,CB,TEN,12,56.7,388,2,,
Cam Brown,LB,NYG,3,53.4,12,5,,
Daniel Thomas,S,JAX,6,61.9,205,24,,
Krys Barnes,LB,GB,17,53.8,564,4,,
Tyler Coyle,S,DAL,1,61.4,16,0,,
Shaun Bradley,LB,PHI,5,59.8,73,0,,
Justin Strnad,LB,DEN,9,32,314,1,,
Mecole Hardman Jr.,WR,KC,2,59.9,2,0,,
Chris Garrett,ED,LA,1,53.8,4,4,,
Linval Joseph,DI,LAC,14,63.4,550,550,,
Christian Covington,DI,LAC,16,55.9,523,523,,
J.C. Jackson,CB,NE,18,78.9,995,9,,
Joey Bosa,ED,LAC,16,85.8,847,837,,
Kyler Fackrell,ED,LAC,13,63.3,382,372,,
Joe Gaziano,DI,LAC,14,61.4,214,214,,
Curtis Robinson,LB,SF,2,23.9,84,0,,
Avery Williams,CB,ATL,7,48,122,2,,
Kristian Fulton,CB,TEN,14,64.1,803,1,,
Emeke Egbule,ED,LAC,2,53.8,40,40,,
Dicaprio Bootle,CB,KC,1,66.7,27,0,,
Nigel Warrior,S,SEA,1,64.3,20,0,,
Justin Jones,DI,LAC,11,57.9,486,485,,
Breiden Fehoko,DI,LAC,8,51.1,121,120,,
Charvarius Ward,CB,KC,16,71.2,933,45,,
Brandon Jones,S,MIA,15,53.4,644,124,,
Jared Mayden,S,PHI,2,46.5,38,0,,
Andrew Brown,DI,LAC,2,55.8,12,12,,
Brady Breeze,S,DET,1,54.6,14,0,,
Devin White,LB,TB,19,35.1,1218,40,,
Jeremy Chinn,S,CAR,16,71.4,1015,119,,
Mack Wilson Sr.,LB,CLV,13,75.3,193,27,,
Richie Grant,CB,ATL,12,58.6,276,7,,
Joe Bachie,LB,CIN,6,51.9,160,2,,
Greedy Williams,CB,CLV,15,64.6,591,0,,
Damar Hamlin,S,BUF,7,79.8,65,0,,
Myles Bryant,CB,NE,13,59.5,428,7,,
Josh Metellus,S,MIN,4,66,54,2,,
Jerry Tillery,DI,LAC,16,46.3,858,855,,
Uchenna Nwosu,ED,LAC,17,64.3,781,759,,59.76
Bopete Keyes,CB,CHI,3,26.2,8,0,,
Carter Coughlin,LB,NYG,6,43.6,40,4,,
Nick Niemann,LB,LAC,7,54.7,67,1,,
Chris Rumph II,ED,LAC,15,60.8,176,173,,
Grayland Arnold,S,HST,1,61,3,0,,
Sam Franklin Jr.,S,CAR,9,33.3,153,18,,
Forrest Merrill,DI,LAC,4,31.9,36,36,,
Gerald McCoy,DI,LV,1,48.2,9,9,,
Johnathan Hankins,DI,LV,15,46.7,605,601,,
Darius Philon,DI,LV,11,58.7,277,276,,
Carl Nassib,ED,LV,14,67.6,264,263,,
De'Jon Harris,LB,WAS,2,61.4,15,1,,
Yannick Ngakoue,ED,LV,18,47.1,883,881,,
Quinton Jefferson,DI,LV,18,51.9,707,705,,
Solomon Thomas,DI,LV,18,40.4,597,597,,
Clelin Ferrell,ED,LV,17,45.9,273,273,,
Byron Murphy Jr.,CB,ARZ,17,58.5,1027,18,,
Maxx Crosby,ED,LV,18,91.7,977,975,,56.99
Kendal Vickers,DI,LV,1,35.1,19,19,,
Rodarius Williams,CB,NYG,5,43.9,50,0,,
Malcolm Koonce,ED,LV,4,60.8,48,48,,
Jabaal Sheard,ED,MIA,1,46,13,11,,
John Jenkins,DI,MIA,7,71,176,176,,
Emmanuel Ogbah,ED,MIA,17,77,755,755,,
Brennan Scarlett,ED,MIA,13,76.9,165,155,,
Vince Biegel,ED,MIA,4,77.4,7,6,,
Adam Butler,DI,MIA,17,54.4,592,588,,
Andrew Van Ginkel,ED,MIA,17,61.8,801,717,,
Raekwon Davis,DI,MIA,14,36.5,424,424,,
Elijah Riley,S,NYJ,7,58.1,386,12,,
Christian Wilkins,DI,MIA,17,83.3,734,732,,
Kyzir White,LB,LAC,17,66.5,979,21,,
Jaelan Phillips,ED,MIA,17,53.7,603,579,,
Zach Sieler,DI,MIA,17,84.9,518,517,,66.40909091
Darius Hodge,ED,MIA,2,52.3,6,6,,
Everson Griffen,ED,MIN,9,63.7,457,453,,
Sheldon Richardson,DI,MIN,17,62.1,688,684,,
Danielle Hunter,ED,MIN,7,80.8,384,382,,
T.Y. McGill,DI,MIN,2,51.6,33,33,,
Eddie Yarbrough,ED,MIN,2,30.1,7,7,,
Michael Pierce,DI,MIN,8,78.5,251,251,,
Dalvin Tomlinson,DI,MIN,16,74.9,641,641,,
Francis Bernard,LB,DAL,1,48.5,9,0,,
Connor Strachan,LB,HST,1,46,4,2,,
Terrell Burgess,S,LA,9,64.1,143,2,,
Essang Bassey,CB,LAC,1,28.9,11,0,,
Jordan Fuller,S,LA,16,74.3,1028,4,,
Armon Watts,DI,MIN,17,61.6,669,668,,
Zech McPhearson,CB,PHI,7,64.2,179,0,,
Kenny Willekes,ED,MIN,6,63.1,202,201,,
Brandon Stephens,S,BLT,17,53,742,36,,
Travis Homer,HB,SEA,1,63.8,1,0,,
Qadree Ollison,HB,ATL,1,60,1,0,,
Benny Snell Jr.,HB,PIT,1,60,1,0,,
Foster Moreau,TE,LV,1,60,1,0,,
River Cracraft,WR,SF,1,59.9,1,0,,
Hunter Renfrow,WR,LV,2,82.6,2,0,,
Aaron Fuller,WR,SEA,1,59.9,1,0,,
Blake Lynch,LB,MIN,10,64.6,218,48,,
Tyler Davis,TE,GB,1,60,1,0,,
Michael Jacquet,CB,JAX,1,60,1,0,,
Ray-Ray McCloud III,WR,PIT,1,70.2,1,0,,
Christian Blake,WR,ATL,1,70.9,1,0,,
Braxton Berrios,WR,NYJ,2,60.1,2,0,,
Stantley Thomas-Oliver III,CB,CAR,6,48.6,20,0,,
Malik Turner,WR,DAL,1,70.3,1,0,,
Nyheim Hines,HB,IND,1,59.9,1,0,,
Cody Thompson,WR,SEA,1,67.7,1,0,,
Miles Boykin,WR,BLT,1,60,1,0,,
Dillon Stoner,WR,LV,1,70.2,1,0,,
A.J. Brown,WR,TEN,5,64,5,0,,
T.J. Smith,DI,MIN,1,56.8,20,20,,
Pat Jones II,ED,MIN,9,43,99,99,,
D.J. Wonnum,ED,MIN,17,50.5,951,935,,60.65
Tashawn Bower,ED,MIN,6,51.1,66,65,,
James Lynch,DI,MIN,13,48.2,304,304,,
Lawrence Guy Sr.,DI,NE,18,63.1,562,560,,
Carl Davis Jr.,DI,NE,17,33,277,277,,
Henry Anderson,DI,NE,4,67.5,35,35,,
Matthew Judon,ED,NE,18,62.9,900,860,,
Deatrich Wise Jr.,ED,NE,17,62.2,562,559,,
Davon Godchaux,DI,NE,18,63.7,673,670,,
Josh Uche,ED,NE,13,60.9,241,218,,
Chase Winovich,ED,NE,9,55.6,112,109,,
Daniel Ekuale,DI,NE,8,44.5,115,115,,
Christian Barmore,DI,NE,18,63.2,631,630,,57.66
Cameron Jordan,ED,NO,16,84.3,831,829,,
Ethan Westbrooks,ED,NO,1,65,15,15,,
Christian Ringo,DI,NO,14,66.5,315,315,,
David Onyemata,DI,NO,11,81.9,430,429,,
Tanoh Kpassagnon,ED,NO,8,69.6,220,217,,
Albert Huggins,DI,NO,9,46.5,219,219,,
Shy Tuttle,DI,NO,17,71.7,494,494,,
Jalyn Holmes,ED,NO,8,58.8,189,189,,
Carl Granderson,ED,NO,15,63.2,448,448,,
Braxton Hoyett,DI,NO,1,45.6,15,15,,
Malcolm Roach,DI,NO,7,49.5,194,192,,
Sharif Finch,ED,NO,2,66.6,24,24,,
Marcus Davenport,ED,NO,11,88.8,437,435,,66
Kaden Elliss,ED,NO,13,68.4,192,134,,
Payton Turner,ED,NO,5,64.6,144,143,,
Leonard Williams,DI,NYG,17,71.1,890,887,,
Danny Shelton,DI,NYG,13,44.9,256,255,,
Austin Johnson,DI,NYG,17,58.3,665,664,,
Woodrow Hamilton,DI,NYG,3,54.7,21,21,,
Dexter Lawrence,DI,NYG,16,68.6,759,758,,
Quincy Roche,ED,NYG,14,59.6,401,396,,
Elerson Smith,ED,NYG,6,57.4,107,105,,
Oshane Ximines,ED,NYG,9,61.8,183,182,,
Trent Harris,ED,NYG,3,61,44,42,,
David Moa,DI,NYG,4,30.3,44,44,,
Lorenzo Carter,ED,NYG,14,63.8,617,580,,
Raymond Johnson III,DI,NYG,15,39.6,166,166,,
Azeez Ojulari,ED,NYG,17,58.3,781,775,,56.10769231
Sheldon Rankins,DI,NYJ,16,46.1,643,642,,
Shaq Lawson,ED,NYJ,14,58.6,534,533,,
Ronald Blair III,ED,NYJ,8,62.4,315,313,,
Nathan Shepherd,DI,NYJ,17,50.8,495,494,,
Jabari Zuniga,ED,NYJ,3,58,53,53,,
Bryce Huff,ED,NYJ,9,60.7,338,336,,
Kyle Phillips,ED,NYJ,7,59.8,234,231,,
Folorunso Fatukasi,DI,NYJ,15,61.5,558,558,,
Hamilcar Rashed,ED,NYJ,1,56.6,16,16,,
Nick Scott,S,LA,21,57,655,0,,
Josh Woods,LB,DET,4,55.9,113,7,,
Justin Reid,S,HST,13,50.9,780,21,,
Tre Flowers,CB,CIN,17,52.8,440,10,,
Khaleke Hudson,LB,WAS,4,52.3,23,2,,
Jalen Thompson,S,ARZ,18,68.5,1044,1,,
Dallin Leavitt,S,LV,16,62.2,255,3,,
Ryan Neal,S,SEA,13,59.6,434,51,,
Trey Marshall,S,LAC,11,48.4,197,3,,
Myles Hartsfield,S,CAR,10,50.7,472,40,,
Jessie Bates III,S,CIN,19,67.8,1221,16,,
Ezekiel Turner,LB,ARZ,3,49.6,6,0,,
Jordan Whitehead,S,TB,16,70.7,921,89,,
Ronnie Harrison,S,CLV,12,60.8,584,43,,
Demetrius Flannigan-Fowles,LB,SF,8,74.3,164,11,,
Marcus Allen,LB,PIT,5,56.5,77,21,,
Andrew Wingard,S,JAX,15,69,930,31,,
Rashad Fenton,CB,KC,14,79.1,581,4,,
Carlton Davis III,CB,TB,12,71.6,773,4,,
Chris Jones,CB,TEN,6,67.3,83,0,,
Kindle Vildor,CB,CHI,16,50.2,822,8,,
Chandon Sullivan,CB,GB,18,55,843,2,,
Jaire Alexander,CB,GB,5,73.4,227,2,,
Ugo Amadi,CB,SEA,17,43.7,692,21,,
Isaac Yiadom,CB,GB,7,31,96,0,,
Torry McTyer,CB,WAS,3,57.5,42,0,,
Chris Lammons,CB,KC,2,54,14,0,,
C.J. Gardner-Johnson,CB,NO,12,62.2,627,52,,
Donte Jackson,CB,CAR,12,61.3,717,1,,
Danny Johnson,CB,WAS,11,65.4,336,9,,
John Reid,CB,SEA,5,66.8,132,0,,
Cam Lewis,CB,BUF,4,68.9,66,3,,
M.J. Stewart,S,CLV,8,83.8,328,8,,
Chris Westry,CB,BLT,5,55.2,183,1,,
Donovan Wilson,S,DAL,10,62.7,380,33,,
Javaris Davis,CB,MIA,1,67.7,10,0,,
Julian Blackmon,S,IND,6,60.7,376,0,,
Keion Crossen,CB,NYG,5,68.2,24,1,,
Chris Williamson,CB,ATL,4,50.5,55,0,,
Darius Phillips,CB,CIN,6,62.8,90,0,,
Taron Johnson,CB,BUF,18,70.3,990,40,,
Tim Harris,CB,CLV,1,60,2,0,,
Nick McCloud,CB,BUF,1,68.6,14,0,,
JuJu Hughes,S,LA,3,35.5,30,0,,
Denzel Ward,CB,CLV,15,76.9,855,7,,
Ashtyn Davis,S,NYJ,13,60.7,745,10,,
Rock Ya-Sin,CB,IND,13,69.9,592,6,,
Duke Shelley,CB,CHI,9,53.7,409,1,,
Jonathan Marshall,DI,NYJ,4,37.7,77,76,,
Quinnen Williams,DI,NYJ,15,64.4,613,613,,
Freedom Akinmoladun,DI,NYJ,1,45.2,21,21,,
Tim Ward,ED,NYJ,11,63.1,191,191,,
Markus Bailey,LB,CIN,17,57.9,273,18,,
Shaquille Leonard,LB,IND,16,79,1000,82,,
John Franklin-Myers,ED,NYJ,16,80.3,717,716,,60.3703125
Cole Holcomb,LB,WAS,16,56.7,1021,49,,
Quincy Williams,LB,NYJ,16,44.2,881,56,,
Azeez Al-Shaair,LB,SF,16,63.5,829,70,,
Zaire Franklin,LB,IND,17,71.3,201,28,,
Christian Rozeboom,LB,LA,1,63.9,2,0,,
Brandon Graham,ED,PHI,2,62.6,50,50,,
Ryan Kerrigan,ED,PHI,17,64.7,364,361,,
Fletcher Cox,DI,PHI,17,68.7,805,799,,
Javon Hargrave,DI,PHI,17,67.3,779,777,,
Hassan Ridgeway,DI,PHI,18,38.2,396,396,,
Derek Barnett,ED,PHI,17,61.9,776,775,,
Raequan Williams,DI,PHI,1,57,43,43,,
Genard Avery,ED,PHI,17,49.8,387,339,,
Josh Sweat,ED,PHI,16,76.1,654,652,,
Harvey Langi,LB,NE,3,59.5,16,2,,
Cameron Malveaux,ED,PHI,4,51.5,81,81,,
Tarron Jackson,ED,PHI,18,66.3,268,268,,
Milton Williams,DI,PHI,18,49.6,495,494,,58.71818182
Marvin Wilson,DI,PHI,1,54.3,19,19,,
Marlon Tuipulotu,DI,PHI,5,29.2,55,55,,
Tyson Alualu,DI,PIT,2,59.7,57,57,,
Cameron Heyward,DI,PIT,18,90.8,1000,988,,
John Simon,ED,PIT,3,47.6,49,46,,
Taco Charlton,ED,PIT,12,62.3,221,204,,
T.J. Watt,ED,PIT,16,89.6,814,751,,
Chris Wormley,DI,PIT,16,69.3,769,769,,
Montravius Adams,DI,PIT,11,60.5,313,313,,
Oren Burks,LB,GB,18,53.7,211,66,,
Rashaan Evans,LB,TEN,12,44.5,445,11,,
Derrek Tuszka,ED,PIT,15,63.7,258,227,,
Alex Highsmith,ED,PIT,17,65.1,910,856,,64.71
Isaiahh Loudermilk,DI,PIT,16,44.9,309,309,,
Carlos Davis,DI,PIT,4,58.7,50,50,,
Henry Mondeaux,DI,PIT,16,42,256,255,,
Delontae Scott,ED,PIT,1,74.2,7,7,,
Isaiah Buggs,DI,PIT,10,59.1,227,226,,
Daniel Archibong,DI,PIT,2,49.6,13,13,,
Xavier Crawford,CB,CHI,5,46.3,140,1,,
Michael Ojemudia,CB,DEN,2,77.1,85,0,,
Nik Needham,CB,MIA,17,66.2,608,8,,
Anthony Averett,CB,BLT,14,56.3,807,3,,
Aaron Robinson,CB,NYG,9,62.2,268,1,,
Tre Herndon,CB,JAX,6,33.3,207,0,,
Isaiah Oliver,CB,ATL,4,72.6,161,2,,
A.J. Green III,CB,CLV,5,86.2,176,1,,
Jeremy Reaves,S,WAS,5,56.6,195,5,,
Josh Jackson,CB,KC,2,64.6,10,0,,
Juan Thornhill,S,KC,20,70.1,1038,33,,
Emmanuel Moseley,CB,SF,14,69.1,807,13,,
Jalen Davis,CB,CIN,8,69.3,56,2,,
Blessuan Austin,CB,SEA,4,51.2,149,0,,
Michael Jackson,CB,SEA,2,84.4,26,0,,
Sheldrick Redwine,S,MIA,3,27.2,34,1,,
Jace Whittaker,CB,ARZ,1,41,30,4,,
Grant Haley,CB,LA,1,64,7,0,,
Herb Miller,CB,CLV,2,37.2,9,0,,
Parry Nickerson,CB,MIN,1,55.7,17,1,,
Kareem Orr,CB,LA,1,28.1,40,0,,
Amani Oruwariye,CB,DET,14,59,937,9,,
Mike Ford,CB,DEN,3,35.4,13,0,,
Avonte Maddox,CB,PHI,17,71,780,14,,
Brandon Facyson,CB,LV,12,49.1,621,19,,
Carlos Dunlap,ED,SEA,17,72.1,482,474,,
Al Woods,DI,SEA,16,75.4,620,619,,
Benson Mayowa,ED,SEA,15,59.4,510,469,,
Austin Calitro,LB,CIN,1,49.5,20,1,,
Luke Gifford,LB,DAL,7,48.3,38,0,,
Hardy Nickerson,LB,HST,1,44.2,9,0,,
Josey Jewell,LB,DEN,2,83.5,82,2,,
Cody Barton,LB,SEA,9,59.7,190,9,,
Ulysees Gilbert,LB,PIT,4,60.8,46,1,,
Jordyn Brooks,LB,SEA,17,58.4,1109,193,,
Micah Kiser,LB,DEN,6,78.7,98,2,,
Roquan Smith,LB,CHI,17,47.8,1010,17,,
Emmanuel Ellerbee,LB,ATL,2,61.7,9,0,,
Andre Smith,LB,BUF,2,43.5,5,0,,
Tremaine Edmunds,LB,BUF,17,48.5,995,28,,
Robert Spillane,LB,PIT,13,46.3,381,20,,
Leighton Vander Esch,LB,DAL,18,60.8,717,63,,
Bobby Okereke,LB,IND,17,58.5,1072,33,,
Travin Howard,LB,LA,8,82.6,214,0,,
Ja'Whaun Bentley,LB,NE,17,65.1,711,16,,
Frankie Luvu,LB,CAR,16,84.8,249,108,,
Kenny Young,LB,DEN,13,50.6,645,23,,
Tyrel Dodson,LB,BUF,7,58.8,82,3,,
Shaquille Quarterman,LB,JAX,10,62.9,144,0,,
Jahlani Tavai,LB,NE,10,38.7,62,7,,
Jalen Elliott,S,DET,3,56.7,92,0,,
Julian Love,S,NYG,17,55.4,612,43,,
Brandon Rusnak,S,JAX,2,51.2,11,0,,
Ben Niemann,LB,KC,20,49.5,611,72,,
A.J. Moore,S,HST,6,29,44,2,,
Taylor Rapp,S,LA,18,64.5,1140,20,,
P.J. Locke,S,DEN,7,55.2,27,2,,
Andre Chachere,S,PHI,5,35,118,0,,
Minkah Fitzpatrick,S,PIT,17,57.2,1148,9,,
Steven Parker,S,NYG,3,52.1,24,0,,
Joel Iyiegbuniwe,LB,CHI,1,60,1,0,,
Fred Warner,LB,SF,19,80.1,1170,29,,
Armani Watts,S,KC,6,72.9,77,1,,
Tracy Walker III,S,DET,15,63.8,881,24,,
Ben DeLuca,S,LAC,1,60.3,1,0,,
Drue Tranquill,LB,LAC,14,64.6,560,33,,
Mike Edwards,S,TB,16,63.9,600,21,,
Kristian Welch,LB,BLT,7,66.7,33,0,,
Khari Willis,S,IND,11,60.3,564,51,,
Sean Chandler,S,CAR,15,60.7,538,9,,
Terrell Edmunds,S,PIT,18,58,1209,45,,
Will Harris,S,DET,17,42.6,1011,34,,
Derwin James Jr.,S,LAC,15,78.1,961,41,,
Amani Hooker,S,TEN,13,85.9,770,6,,
Marcus Epps,S,PHI,17,74.6,537,9,,
Trayvon Henderson,S,CIN,1,36.8,57,3,,
Roderic Teamer,S,LV,7,55.1,257,17,,
Marcell Harris,LB,SF,14,47.7,336,20,,
Jaylinn Hawkins,S,ATL,14,58.8,462,17,,
Jaquan Johnson,S,BUF,9,67.9,114,8,,
Chase Hansen,LB,NO,1,60.5,1,0,,
Kerry Hyder Jr.,ED,SEA,15,57.4,508,508,,
Dorian O'Daniel,LB,KC,5,83,28,3,,
J.T. Gray,S,NO,9,68,41,8,,
Dre Greenlaw,LB,SF,6,69.2,248,5,,
Kenny Moore II,CB,IND,17,66.6,1062,34,,
Robert Nkemdiche,DI,SEA,9,49.8,230,230,,
Isaiah Dunn,CB,NYJ,6,54.8,115,1,,
Paulson Adebo,CB,NO,17,60.3,851,0,,
Anthony Chesley,CB,IND,4,68,86,5,,
Myles Adams,DI,SEA,2,64.5,33,33,,
D.J. Montgomery,WR,NYJ,1,60,1,0,,
Darrell Taylor,ED,SEA,16,57.6,545,539,,
Bryan Mone,DI,SEA,14,48.9,395,395,,
Darrick Forrest,S,WAS,2,66.1,26,0,,
Gabe Davis,WR,BUF,1,60,1,0,,
Harrison Hand,CB,MIN,2,62.2,2,0,,
A.J. Terrell,CB,ATL,16,82.6,1023,5,,
Marco Wilson,CB,ARZ,15,48.6,799,0,,
CJ Henderson,CB,CAR,12,50.7,390,1,,
Lonnie Johnson Jr.,S,HST,12,31.7,542,10,,
Amik Robertson,CB,LV,6,37.2,137,12,,
Kary Vincent Jr.,CB,PHI,1,42.3,29,0,,
DeeJay Dallas,HB,SEA,1,59.9,1,0,,
Josiah Scott,CB,PHI,3,58.5,90,0,,
Shaun Wade,CB,NE,2,63.6,11,0,,
Jeff Okudah,CB,DET,1,53,48,0,,
Tre Norwood,S,PIT,18,50.4,402,4,,
Tre Brown,CB,SEA,5,61.1,255,3,,
Thomas Graham Jr.,CB,CHI,4,84.5,112,1,,
Deommodore Lenoir,CB,SF,7,57.1,238,3,,
Darious Williams,CB,LA,18,61.8,1164,4,,
Xavier McKinney,S,NYG,17,75.4,1134,29,,
Kamren Curl,S,WAS,16,69.4,878,63,,
Hamsah Nasirildeen,LB,NYJ,4,27.5,60,12,,
Richard LeCounte III,S,CLV,4,63.5,76,0,,
Eric Stokes,CB,GB,17,65.5,988,2,,
Grant Stuard,LB,TB,3,67.7,26,2,,
Nate Hobbs,CB,LV,16,80.1,894,15,,
Geno Stone,S,BLT,10,61.4,219,13,,
A.J. Parker,CB,DET,13,48.3,556,31,,
Ambry Thomas,CB,SF,11,54.2,483,3,,
Benjamin St-Juste,CB,WAS,7,53.6,318,4,,
Kemon Hall,CB,LAC,8,62.2,22,1,,
Jason Pinnock,S,NYJ,8,70.4,202,2,,
Keisean Nixon,CB,LV,5,77.4,81,1,,
Ifeatu Melifonwu,CB,DET,7,61.7,242,0,,
Darnay Holmes,CB,NYG,11,55.8,282,8,,
Jaylon Johnson,CB,CHI,15,64.2,933,37,,
Javelin Guidry,CB,NYJ,17,55.9,487,15,,
Marquise Blair,CB,SEA,6,53.8,119,4,,
Keith Taylor Jr.,CB,CAR,16,54.3,448,1,,
Elijah Molden,CB,TEN,16,62,671,13,,
Rasheem Green,ED,SEA,17,50.2,847,844,,
L.J. Collier,DI,SEA,10,47.1,219,219,,
Poona Ford,DI,SEA,17,73,802,802,,59.52363636
Alton Robinson,ED,SEA,16,51.8,371,369,,
Dee Ford,ED,SF,6,52.9,106,104,,
Arik Armstead,DI,SF,20,76,979,966,,
Jordan Willis,ED,SF,13,67.1,218,216,,
Patrick Johnson,LB,PHI,10,66.4,112,73,,
Samson Ebukam,ED,SF,20,67,681,667,,
D.J. Jones,DI,SF,20,73.7,654,653,,
Kevin Givens,DI,SF,16,57.6,290,289,,
Maurice Hurst,DI,SF,2,71,41,41,,
Nick Bosa,ED,SF,20,89.4,975,963,,
Kentavius Street,DI,SF,20,41.4,407,405,,
Arden Key,ED,SF,20,68.1,434,427,,
Charles Omenihu,ED,SF,18,66.6,416,415,,67.66363636
Javon Kinlaw,DI,SF,4,50.4,149,149,,
Steve McLendon,DI,TB,14,65.9,296,295,,
Ndamukong Suh,DI,TB,19,52.4,798,794,,
Jason Pierre-Paul,ED,TB,14,45.3,699,680,,
William Gholston,DI,TB,19,59.2,549,548,,
