player,player_id,position,team_name,player_game_count,grades_offense,grades_pass_block,grades_run_block,,Team Avg
Tyjae Spears,97195,HB,TEN,17,76.8,79.6,48.1,,
,,,,,,,,,
Scott Miller,47481,WR,ATL,17,64.4,,63.7,,
Josiah Deguara,47034,TE,GB,17,51.7,29.1,55.4,,
Khari Blasingame,44889,FB,CHI,16,55.8,57,68.2,,
Teagan Quitoriano,84036,TE,HST,7,60.1,59.4,56.5,,
Joe Flacco,4332,QB,CLV,6,72.8,,61.2,,
C.J. Uzomah,9590,TE,NYJ,12,66.4,48.9,74.5,,
Ben Skowronek,27948,WR,LA,18,55.9,73.7,55.2,,
Kenneth Gainwell,77737,HB,PHI,17,55.3,47.2,55.4,,
A.T. Perry,77975,WR,NO,10,61,,48.3,,
Michael Burton,9601,FB,DEN,17,64.2,84,61.9,,
Calvin Austin III,61418,WR,PIT,18,56.6,,71.5,,
,,,,,,,,,
Chuba Hubbard,57373,HB,CAR,17,77.2,61.6,45,,
Mason Rudolph,46569,QB,PIT,5,64.8,,60,,
,,,,,,,,,
Xavier Gipson,104136,WR,NYJ,15,56.2,38.3,50.1,,
Tyson Bagent,169628,QB,CHI,5,57.7,,60.3,,
Kendrick Bourne,12270,WR,NE,8,67.2,,46.5,,
Rachaad White,131633,HB,TB,19,67.5,53.5,59.6,,
Braxton Berrios,47961,WR,MIA,17,57.6,69.3,50.2,,
C.J. Ham,11347,FB,MIN,17,57.6,74.8,59.5,,
Davis Allen,99697,TE,LA,16,64.7,75.5,51.3,,
Christian McCaffrey,11763,HB,SF,19,90.3,28.4,30.2,,
Deven Thompkins,84480,WR,TB,19,59.3,,51.5,,
Tyrod Taylor,6332,QB,NYG,11,71.4,,60.5,,
Jordan Akins,47050,TE,CLV,18,53.6,43.5,44.2,,
,,,,,,,,,
Kyren Williams,97118,HB,LA,13,80.4,57.7,59.1,,
Kevin Rader,30887,TE,TEN,14,35.6,50.1,44.3,,
Gus Edwards,46027,HB,BLT,19,73.7,55.1,59.1,,
Josh Jacobs,45953,HB,LV,13,65,50.9,55.3,,
Justice Hill,45865,HB,BLT,18,70.3,58.8,64.7,,
Xavier Hutchinson,122518,WR,HST,16,47.3,,57.8,,
River Cracraft,47417,WR,MIA,11,66.7,,51.7,,
Roschon Johnson,99467,HB,CHI,15,65.8,64.8,62.7,,
Quez Watkins,61664,WR,PHI,10,59.2,,51.4,,
Marvin Mims Jr.,122937,WR,DEN,16,63.1,,55.5,,
Bijan Robinson,123126,HB,ATL,17,69.1,56.8,35.5,,
Brandon Johnson,40666,WR,DEN,13,64.1,,53.7,,
,,,,,,,,,
D'Andre Swift,57212,HB,PHI,17,66.5,48.9,53.8,,
Jimmy Garoppolo,8697,QB,LV,7,65,,60,,
Taylor Heinicke,9896,QB,ATL,5,52.5,,60.9,,
Jason Brownlee,121451,WR,NYJ,7,47.7,,43.5,,
Andrei Iosivas,109811,WR,CIN,16,61.2,,54.5,,
Ronnie Bell,84288,WR,SF,16,61.1,,58,,
Terrace Marshall Jr.,84271,WR,CAR,9,54.8,,40,,
Jalen Reagor,61697,WR,NE,11,51.4,,33.5,,
Isiah Pacheco,83747,HB,KC,18,79.9,67.4,59.3,,
Jaylen Warren,98692,HB,PIT,18,78.5,25.1,77.8,,
Johnny Mundt,12206,TE,MIN,17,70.8,56.1,63.8,,
James Mitchell,77885,TE,DET,14,41.2,74.4,46,,
Hunter Luepke,91319,FB,DAL,18,56.7,20.2,55.6,,
Trevor Siemian,9683,QB,NYJ,5,34.9,,60.6,,
Brandon Powell,48036,WR,MIN,15,61.7,76.7,42.1,,
Devin Singletary,40485,HB,HST,19,75.1,34.3,79,,
,,,,,,,,,
Alexander Mattison,45817,HB,MIN,16,61.8,49.5,43.6,,
Alex Erickson,11107,WR,LAC,8,62.6,67.9,45.3,,
Joe Mixon,11803,HB,CIN,17,71.1,29.7,59.9,,
James Conner,11860,HB,ARZ,13,89.2,68,68.9,,
P.J. Walker,12134,QB,CLV,6,29.7,,60.5,,
Zach Pascal,12303,WR,ARZ,14,47.6,,56.9,,
David Bell,97989,WR,CLV,16,63.6,78,51.1,,
Josh Whyle,54037,TE,TEN,11,62,79,38,,
Kalif Raymond,11028,WR,DET,17,75.4,28.2,59,,
,,,,,,,,,
Equanimeous St. Brown,47967,WR,CHI,7,55.1,72,43.9,,
Zach Ertz,7816,TE,ARZ,7,50.8,29.4,49.5,,
Peyton Hendershot,60915,TE,DAL,9,44.2,85.1,56.9,,
Ezekiel Elliott,10638,HB,NE,17,67.6,37.1,55.7,,
Joshua Kelley,13750,HB,LAC,17,52,42.4,58.3,,
Nick Vannett,10728,TE,LAC,8,42.9,73.8,44.4,,
Jamaal Williams,11889,HB,NO,13,59.4,38,72.9,,
Easton Stick,29466,QB,LAC,5,66.8,,60.2,,
Jimmy Graham,5619,TE,NO,13,62.5,27,50.1,,
Najee Harris,57121,HB,PIT,18,76.2,58.8,56.7,,
Taysom Hill,12112,TE,NO,16,75.3,60.1,57.3,,
,,,,,,,,,
Miles Boykin,48209,WR,PIT,17,50.9,68.5,53.8,,
Irv Smith Jr.,42060,TE,CIN,12,44.2,53.6,53.8,,
Hunter Renfrow,47509,WR,LV,17,48.6,,31.3,,
Elijah Higgins,98027,TE,ARZ,11,63.6,68.4,51.1,,
Nick Bawden,27413,FB,NYJ,16,50.8,55.3,50.8,,
Alvin Kamara,11822,HB,NO,13,74.1,19.2,55.7,,
,,,,,,,,,
Zack Moss,40341,HB,IND,14,66.9,60.4,57.4,,
,,,,,,,,,
Javonte Williams,77803,HB,DEN,16,63.3,27.8,57.6,,
Eric Saubert,11929,TE,HST,8,52.2,34.2,63.6,,
Tre Tucker,101106,WR,LV,16,65.2,,59.7,,
Kenny Yeboah,42196,TE,NYJ,5,57,54.8,60.8,,
Jerome Ford,83601,HB,CLV,18,68.3,64.8,67.1,,
Adam Prentice,35639,FB,NO,13,38.1,33.9,43.1,,
Brian Robinson,57120,HB,WAS,15,75.3,62,65.5,,
AJ Dillon,57165,HB,GB,15,75.7,56,56.6,,
,,,,,,,,,
Austin Ekeler,12164,HB,LAC,14,60.2,29.3,36.6,,
,,,,,,,,,
Latavius Murray,7962,HB,BUF,18,65.9,64.3,57.1,,
Reggie Gilliam,40951,FB,BUF,18,63.9,62.8,72.5,,
Daniel Jones,39395,QB,NYG,6,63,,60,,
Payne Durham,84037,TE,TB,15,59.5,70.7,54.8,,
Breece Hall,97636,HB,NYJ,17,82.4,53.9,57.4,,
Tyquan Thornton,78092,WR,NE,9,57.6,,65.9,,
Bo Melton,61610,WR,GB,7,83.4,,60.7,,
Chris Conley,9509,WR,SF,11,65.4,66.1,84.2,,
Marvin Jones Jr.,7158,WR,DET,6,43.8,72.7,43.3,,
James Cook,83666,HB,BUF,19,71.7,23.5,56,,
Ray-Ray McCloud III,47895,WR,SF,14,63.1,,75.4,,
Antonio Gibson,78050,HB,WAS,16,66.6,71.9,59.7,,
Zach Charbonnet,97630,HB,SEA,16,69.7,61.1,27.3,,
,,,,,,,,,
,,,,,,,,,
Chase Claypool,42312,WR,MIA,11,55.1,70.4,47.5,,
Derrick Henry,10679,HB,TEN,17,90.1,79.1,58,,
,,,,,,,,,
David Moore,11981,WR,TB,9,72.9,52.8,59.1,,
David Montgomery,45719,HB,DET,17,79.6,29.7,60,,
Dyami Brown,77986,WR,WAS,17,59,,63.1,,
,,,,,,,,,
,,,,,,,,,
Hayden Hurst,47294,TE,CAR,9,44.7,78.7,28.3,,
Dorian Thompson-Robinson,83574,QB,CLV,8,49.3,,60.8,,
Julio Jones,6158,WR,PHI,12,55,,56.1,,
Grant Calcaterra,60997,TE,PHI,14,64.2,65.9,60.2,,
Ty Chandler,62942,HB,MIN,14,76.3,49.3,59.5,,
Jahmyr Gibbs,122474,HB,DET,18,76.3,26.8,57,,
Samaje Perine,11869,HB,DEN,17,71.3,31.1,59.3,,
Byron Pringle,42345,WR,WAS,16,67.9,61.6,57.7,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Khalil Herbert,41668,HB,CHI,12,77.9,53.3,45.8,,
Jalen Guyton,34164,WR,LAC,8,49.6,,30.6,,
Raheem Mostert,9783,HB,MIA,16,84.7,66,59.1,,
Rhamondre Stevenson,98689,HB,NE,12,71.3,72.7,29.3,,
Sean McKeon,42266,TE,DAL,9,54.8,79.2,61.8,,
Robbie Chosen,11254,WR,MIA,9,64.5,,47.4,,
Nick Mullens,12282,QB,MIN,5,57.7,,60.3,,
Matt Breida,12271,HB,NYG,17,52.4,63.3,56.5,,
Devin Duvernay,40006,WR,BLT,11,51.4,,68.7,,
,,,,,,,,,
Kenneth Walker III,97199,HB,SEA,15,83.5,40.7,58.7,,
Emari Demercado,77763,HB,ARZ,14,73.4,74.7,40.7,,
Tucker Fisk,52286,TE,ATL,6,52,54.7,50.9,,
,,,,,,,,,
Patrick Taylor,40448,HB,GB,13,60.4,59.6,75.7,,
Mecole Hardman Jr.,42683,WR,KC,14,55.2,,59.4,,
Mitch Trubisky,11757,QB,PIT,5,43.3,,60,,
,,,,,,,,,
Richie James,28991,WR,KC,13,56.3,,56.5,,
Kareem Hunt,11841,HB,CLV,16,69.8,58.4,65,,
,,,,,,,,,
,,,,,,,,,
Rakim Jarrett,129519,WR,TB,10,55.9,,57.7,,
D.J. Montgomery,55003,WR,IND,7,60.6,,70.7,,
D'Onta Foreman,11844,HB,CHI,9,74,29.5,57.2,,
Antoine Green,77985,WR,DET,12,53.5,,82.6,,
,,,,,,,,,
Parris Campbell,47940,WR,NYG,11,51.4,67.1,62.5,,
,,,,,,,,,
Derius Davis,78196,WR,LAC,16,60.5,,43,,
Kadarius Toney,61245,WR,KC,13,62.5,,62.9,,
Tyler Allgeier,83639,HB,ATL,17,82.9,90.3,43.4,,
Trent Taylor,11932,WR,CHI,14,51.8,62.4,53.8,,
Ihmir Smith-Marsette,61324,WR,CAR,13,63.6,,69.4,,
Ross Dwelley,20994,TE,SF,12,52.8,69.6,49.2,,
Jerick McKinnon,8731,HB,KC,13,63.1,58.1,43.8,,
,,,,,,,,,
Tre' McKitty,60896,TE,LAC,6,30.4,57.2,39.1,,
Justyn Ross,78021,WR,KC,11,48.7,,36.5,,
Isaiah McKenzie,11927,WR,IND,13,64.7,,59.4,,
Cole Turner,84330,TE,WAS,12,64.7,17.1,68.3,,
,,,,,,,,,
Sam Darnold,29048,QB,SF,10,66,,60,,
Mike Williams,11762,WR,LAC,3,74.6,,75,,
Parker Washington,129799,WR,JAX,9,51.1,,29.4,,
Elijah Cooks,61501,WR,JAX,9,53,,46.6,,
Drew Lock,39517,QB,SEA,4,61.3,,60,,
Randall Cobb,6216,WR,NYJ,11,47.6,,31.1,,
Samori Toure,25276,WR,GB,11,60.6,,64.6,,
Ameer Abdullah,9487,HB,LV,17,55.5,17.7,60,,
,,,,,,,,,
Anthony Richardson,124393,QB,IND,4,52.2,,60,,
DeAndre Carter,9859,WR,LV,16,50.2,65.7,38.7,,
Aaron Jones,11937,HB,GB,13,80.9,63.2,57.8,,
Jarrett Stidham,13725,QB,DEN,3,55.5,,60.3,,
,,,,,,,,,
Tank Bigsby,123974,HB,JAX,16,52.3,32.1,67.2,,
,,,,,,,,,
Miles Sanders,40555,HB,CAR,16,60.8,23.3,63.9,,
Lawrence Cager,34914,TE,NYG,9,58.2,72.2,65,,
Sterling Shepard,10674,WR,NYG,15,50.1,,34.4,,
,,,,,,,,,
Rico Dowdle,40693,HB,DAL,17,66.6,34.1,60.1,,
,,,,,,,,,
Parker Hesse,48369,TE,ATL,3,48.4,70.9,50.9,,
KaVontae Turpin,47658,WR,DAL,17,67.7,66.2,54.6,,
Case Keenum,7323,QB,HST,2,44.8,,60,,
Jamison Crowder,9538,WR,WAS,12,70.5,,51.4,,
Trayveon Williams,45775,HB,CIN,17,58.9,75.1,52.5,,
Brayden Willis,77917,TE,SF,10,54.2,69.6,58.8,,
,,,,,,,,,
Royce Freeman,45747,HB,LA,10,74.2,67.6,78.9,,
D'Ernest Johnson,45734,HB,JAX,17,57.5,43.7,52.5,,
Brycen Hopkins,47338,TE,LA,16,68,56.7,54.5,,
Jason Cabinda,50714,FB,DET,7,43.2,26.9,51.3,,
Jalen Brooks,111284,WR,DAL,7,65.1,,74.7,,
Craig Reynolds,94383,HB,DET,19,76.5,24,51.6,,
Marquise Goodwin,7859,WR,CLV,13,50.5,,58.9,,
Rodney Williams,63718,TE,PIT,13,45.8,66.3,62.6,,
Dalvin Cook,11796,HB,BLT,16,53.8,61,59.3,,
Jamal Agnew,11920,WR,JAX,11,59.9,,76.6,,
,,,,,,,,,
C.J. Beathard,11859,QB,JAX,7,71.5,,60,,
,,,,,,,,,
,,,,,,,,,
Mike White,46453,QB,MIA,6,52.5,,60,,
Dameon Pierce,83659,HB,HST,14,65.9,87.8,55.7,,
Stephen Sullivan,40411,TE,CAR,11,60.9,73.7,49.8,,
Tylan Wallace,61577,WR,BLT,9,57,,55.7,,
Deonte Harty,91470,WR,BUF,18,68.9,,71.8,,
Clyde Edwards-Helaire,57279,HB,KC,19,65.5,59.1,60,,
,,,,,,,,,
Tanner Hudson,66924,TE,CIN,12,73,52.2,74.5,,
Jalen Nailor,84292,WR,MIN,5,51.2,,59.3,,
Hunter Long,60859,TE,LA,3,58.1,65.2,67.3,,
Cordarrelle Patterson,7810,HB,ATL,14,62.7,78.3,58.1,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Blaine Gabbert,6162,QB,KC,2,60.7,,60,,
Austin Trammell,52195,WR,LA,13,57.4,69.6,39,,
,,,,,,,,,
Michael Carter,57337,HB,ARZ,15,60.8,37.4,60,,
Elijah Mitchell,57272,HB,SF,14,70.2,43.5,70.7,,
Colton Dowell,63721,WR,TEN,9,54.4,,54,,
Dare Ogunbowale,12329,HB,HST,10,46.6,29,31.7,,
Nate Adkins,87625,TE,DEN,10,55,40.7,51.2,,
Kayshon Boutte,124087,WR,NE,5,47.1,,51.7,,
David Wells,34985,TE,TB,5,47.5,79.3,59,,
,,,,,,,,,
Keaton Mitchell,123826,HB,BLT,7,92.4,35.9,65.7,,
Zamir White,83665,HB,LV,15,71.7,46.4,59.8,,
Velus Jones Jr.,40573,WR,CHI,13,53.1,,52.3,,
Brett Rypien,46487,QB,NYJ,2,48.1,,60,,
Alex Armah,11948,FB,WAS,7,56.4,74.1,52.6,,
Andre Baccellia,47901,WR,ARZ,5,55.3,,69.9,,
Travis Vokolek,61004,TE,ARZ,2,50.2,57.9,56,,
Tony Jones Jr.,40498,HB,ARZ,7,60.1,50.9,60.2,,
Lucas Krull,83962,TE,DEN,7,60.5,19.5,67.3,,
Keelan Doss,48143,WR,LAC,5,51.4,,44.4,,
Brian Hoyer,5277,QB,LV,3,55.2,,60,,
Tyler Huntley,46448,QB,BLT,5,63.8,,60,,
Cooper Rush,12324,QB,DAL,7,58,,60,,
Laviska Shenault Jr.,61220,WR,CAR,8,67.4,,61.2,,
Pierre Strong Jr.,66619,HB,CLV,15,60.6,62.4,60.2,,
Tim Boyle,21956,QB,NYJ,3,64.1,,60,,
Tyler Kroft,9518,TE,MIA,6,56.6,54.8,65.1,,
,,,,,,,,,
Irvin Charles,28304,WR,NYJ,10,63.2,,88.1,,
Ty Johnson,45769,HB,BUF,10,78.7,58.9,77.8,,
DeeJay Dallas,55632,HB,SEA,11,63.8,49.9,55.6,,
Trishton Jackson,41247,WR,MIN,6,54.7,,60.8,,
Jonathan Taylor,57488,HB,IND,10,74.9,57.1,71.9,,
Laquon Treadwell,10657,WR,BLT,3,51.3,36.3,63.7,,
Will Mallory,77888,TE,IND,12,66.9,13.8,67.5,,
,,,,,,,,,
Cam Akers,57206,HB,MIN,7,69.7,71.2,71.2,,
James Proche II,48037,WR,CLV,3,50.1,,56.6,,
Collin Johnson,47808,WR,CHI,3,66.9,,70.8,,
Kyle Allen,26152,QB,BUF,7,64.8,,60,,
Keaontay Ingram,77761,HB,KC,7,64.7,60.8,66.4,,
Britain Covey,32933,WR,PHI,9,57.8,,41.1,,
Ronnie Rivers,57208,HB,LA,8,75,46,59.1,,
Jordan Mason,62946,HB,SF,12,84.7,23.8,62.2,,
Trey Sermon,57372,HB,IND,12,56.6,69.4,60,,
Darrell Henderson,41193,HB,LA,4,55.2,69,60,,
Chase Edmonds,45851,HB,TB,15,57.3,40.4,60,,
Mike Strachan,143358,WR,CAR,4,54.6,,45.6,,
Isaiah Spiller,99146,HB,LAC,9,58.8,29,60,,
Carson Wentz,10636,QB,LA,2,80.7,,60,,
,,,,,,,,,
Jeff Wilson Jr.,29413,HB,MIA,11,59.5,27.1,47,,
Darrynton Evans,40692,HB,MIA,6,63.8,73.9,60,,
Willie Snead IV,8999,WR,SF,4,60.9,,70.7,,
Clayton Tune,77652,QB,ARZ,7,34.2,,60,,
Tyler Johnson,48054,WR,LA,1,63,,34.9,,
Darrell Daniels,12122,FB,DET,3,69.9,46.4,73.7,,
Anthony Firkser,51837,TE,DET,4,57.8,72.7,64.8,,
Tanner Conner,22777,TE,MIA,3,69.8,,69.1,,
Jameis Winston,9434,QB,NO,7,56.3,,60,,
Mason Kinsey,115664,WR,TEN,6,56.9,,53.3,,
Damien Harris,35134,HB,BUF,6,76.5,85.3,60,,
Salvon Ahmed,57472,HB,MIA,8,61,36.4,57.4,,
Mike Boone,31615,HB,HST,9,41.5,14.5,41.8,,
,,,,,,,,,
Albert Okwuegbunam,41933,TE,PHI,4,47.6,,57,,
Jeff Driskel,10841,QB,CLV,1,66.4,,60,,
,,,,,,,,,
,,,,,,,,,
Boston Scott,39462,HB,PHI,11,60.8,35.1,44,,
,,,,,,,,,
Malcolm Rodriguez,60731,LB,DET,7,59.7,82,59.5,,
Jacoby Brissett,10725,QB,WAS,3,84.6,,60,,
Cody Thompson,48152,WR,SEA,6,56.2,,60.9,,
Deuce Vaughn,122624,HB,DAL,6,46.4,35.7,60,,
Chris Rodriguez Jr.,83689,HB,WAS,10,75.9,82.7,46,,
Jaren Hall,82094,QB,MIN,3,60.3,,60,,
Cole Fotheringham,84070,TE,LV,2,55.5,12.9,47.9,,
Kyle Philips,84463,WR,TEN,9,72.8,,59.5,,
N'Keal Harry,48297,WR,MIN,8,55.6,,57.4,,
Kendre Miller,123091,HB,NO,8,74.1,27.4,60.2,,
Marquez Callaway,42295,WR,NO,3,53.7,,55.9,,
,,,,,,,,,
Khalen Saunders,31534,DI,NO,4,59.2,,59,,
,,,,,,,,,
David Sills V,34579,WR,DEN,3,59.1,,61.8,,
Jaleel McLaughlin,138346,HB,DEN,17,86.2,34.6,60,,
De'Von Achane,124305,HB,MIA,12,92.1,65.7,77.2,,
Kristian Wilkerson,28729,WR,LV,2,49.5,,55.6,,
Zach Gentry,36049,TE,LV,1,57,,60.5,,
Brady Russell,60876,TE,SEA,6,57.3,,59.5,,
Simi Fehoko,84424,WR,LAC,4,60.4,66.2,40.8,,
Tyree Jackson,46481,TE,NYG,2,46.8,70.2,51.8,,
Matt Sokol,47123,TE,NE,3,41.7,69.6,47.3,,
,,,,,,,,,
Chase Brown,77787,HB,CIN,11,63.9,26.7,58.7,,
Phillip Dorsett,9462,WR,DEN,2,46.2,,58.7,,
Andy Dalton,6187,QB,CAR,3,81.1,,60,,
Sean Clifford,51708,QB,GB,3,56.8,,60,,
Marcus Mariota,9435,QB,PHI,4,66.3,,60,,
Charlie Jones,55038,WR,CIN,8,65.8,,37.6,,
Melvin Gordon III,9448,HB,BLT,4,65.3,36.9,49.8,,
DJ Turner,47663,WR,LV,4,69.6,,78.4,,
,,,,,,,,,
Greg Dulcich,84068,TE,DEN,2,66.9,83.7,49.4,,
Chris Brooks,83644,HB,MIA,4,82,,78.2,,
John FitzPatrick,83974,TE,ATL,5,63.7,,49.3,,
Juwann Winfree,38275,WR,IND,4,52.8,65.7,51.6,,
Erik Ezukanma,78148,WR,MIA,2,60.3,,54.1,,
Justin Simmons,10732,S,DEN,5,60,,60,,
,,,,,,,,,
A.J. McCarron,8799,QB,CIN,2,59,,60,,
Ke'Shawn Vaughn,45866,HB,TB,5,53.6,39.8,60,,
,,,,,,,,,
Jesse Luketa,81361,ED,ARZ,6,49.5,74,46.7,,
Davis Mills,52269,QB,HST,7,48.3,,60,,
D'Wayne Eskridge,29573,WR,SEA,3,60.4,,82,,
,,,,,,,,,
Derrick Gore,32342,HB,WAS,5,54.8,83.7,59.5,,
Minkah Fitzpatrick,51206,S,PIT,3,60,,60,,
,,,,,,,,,
Jacob Harris,34255,WR,JAX,2,45.9,,33.6,,
,,,,,,,,,
,,,,,,,,,
Rashaad Penny,27414,HB,PHI,3,44.5,18,60,,
Leonard Fournette,11759,HB,BUF,2,59.5,76.4,59,,
Deon Jackson,57189,HB,NYG,2,29.7,6,59.4,,
La'Mical Perine,26408,HB,KC,5,64.4,79.2,72.8,,
Nick Chubb,45783,HB,CLV,2,81.6,25.8,60,,
,,,,,,,,,
Jonathan Ward,25859,HB,TEN,4,64.2,,60,,
Malik Taylor,94375,WR,NYJ,3,51.4,,60.5,,
Giovanni Ricci,13756,TE,CAR,3,50.9,70.2,40.9,,
Henry Pearson,83930,FB,GB,2,47.7,69.7,40.6,,
Dareke Young,111900,WR,SEA,5,66.7,,80.5,,
Damiere Byrd,9964,WR,ATL,1,51.7,,60.8,,
,,,,,,,,,
Damien Williams,9205,HB,ARZ,3,72.7,80.2,59.4,,
Eric Gray,99143,HB,NYG,7,57.2,28.1,60,,
Ty Montgomery,9527,WR,NE,10,55.5,,47.8,,
,,,,,,,,,
J.K. Dobbins,57366,HB,BLT,1,53.5,48.2,59.6,,
Elijah Dotson,57394,HB,LAC,3,54.8,,60,,
Tre'Quan Smith,48228,WR,DEN,1,56,,60.9,,
Israel Abanikanda,122999,HB,NYJ,6,59,59,60,,
Dalton Keene,61068,TE,HST,1,56.8,66.2,58,,
,,,,,,,,,
Emanuel Wilson,154173,HB,GB,9,80,,60,,
Kevin Harris,99141,HB,NE,4,76.5,77.3,46.2,,
Jeffery Simmons,43742,DI,TEN,4,80.5,64.9,54.5,,
Jonathan Williams,10790,HB,WAS,1,59,82.1,60,,
Chris Blair,84096,WR,ATL,1,56.8,,59.4,,
,,,,,,,,,
Reed Blankenship,56065,S,PHI,2,60,63.8,60,,
Nick Bellore,6515,LB,SEA,3,60,,60,,
Logan Woodside,46517,QB,ATL,1,24.8,,60,,
Kenyan Drake,10707,HB,GB,3,37.3,15.8,60,,
Jashaun Corbin,83773,HB,NYG,1,76.7,73.3,60,,
Chris Evans,27303,HB,CIN,7,51.9,13.6,60,,
Josh Pederson,39861,TE,JAX,2,44.3,,38,,
Stephen Anderson,11160,TE,LAC,2,58.8,66.3,59.3,,
Amari Rodgers,61212,WR,IND,3,44,,60,,
Dylan Drummond,78187,WR,DET,1,59.1,,60,,
Steven Sims,48341,WR,HST,4,54.3,,59.6,,
Noah Togiai,47282,TE,PHI,1,69.5,,70.7,,
,,,,,,,,,
Malik Cunningham,60436,QB,BLT,2,53.1,,58.9,,
Tyler Goodson,101659,HB,IND,6,57.3,73.4,60,,
Malik Willis,60341,QB,TEN,3,45.9,,60,,
Matt Bushman,52008,TE,KC,1,54.6,70.6,57.1,,
Gary Brightwell,57133,HB,NYG,4,64.4,,58.3,,
Victor Dimukeje,56347,ED,ARZ,3,60,67.2,60,,
Travis Homer,45859,HB,CHI,3,37.9,,60,,
,,,,,,,,,
Julius Chestnut,109239,HB,TEN,2,59.3,70.6,60,,
Kwamie Lassiter II,23226,WR,CIN,1,58.4,,60,,
JaMycal Hasty,25582,HB,NE,2,58.9,,60,,
Dennis Gardeck,66928,ED,ARZ,3,60,68.6,60,,
James Winchester,8580,LS,KC,3,60,60.3,60,,
Will Harris,51336,CB,DET,3,60,63.8,60,,
Jamien Sherwood,83175,LB,NYJ,3,60,62.7,60,,
,,,,,,,,,
Matt Barkley,7880,QB,JAX,1,61.6,,60,,
Devine Ozigbo,45903,HB,DET,2,66.5,,60,,
Kene Nwangwu,40547,HB,MIN,3,56.1,78.9,,,
Anthony Pittman,94372,ED,DET,3,60,62.7,60,,
Jack Fox,34735,P,DET,3,59.7,63.8,60,,
Sam Ehlinger,60555,QB,IND,1,60,,60,,
Raheem Blackshear,57385,HB,CAR,11,63.7,44.4,60,,
Jack Campbell,101515,LB,DET,3,60,62.7,60,,
Zach Evans,123072,HB,LA,4,42.7,,60,,
Thomas Hennessy,12124,LS,NYJ,3,60,61.5,60,,
,,,,,,,,,
Aaron Brewer,7301,LS,ARZ,3,60,68.7,60,,
Anthony Walker Jr.,11916,LB,CLV,2,60,,60,,
Nephi Sewell,56107,LB,NO,1,60,,60,,
Shedrick Jackson,84136,WR,CIN,1,60.7,65.4,59.4,,
Cam Jones,81244,LB,KC,2,60,60.6,60,,
SaRodorick Thompson,77777,HB,SEA,1,60,,60,,
JJ Jansen,4712,LS,CAR,2,60,61.5,60,,
Chamarri Conner,76662,S,KC,2,60,60.9,60,,
Tommy Townsend,33007,P,KC,3,74.7,,60,,
Troy Dye,28251,LB,MIN,2,60,,60,,
Khalil Dorsey,27819,CB,DET,3,76,,60,,
Montrell Washington,64310,WR,KC,1,60,,60,,
Jack Cochrane,63345,LB,KC,2,60,60.6,60,,
NaJee Thompson,78869,CB,MIN,2,59.2,,60,,
Easop Winston Jr.,61812,WR,SEA,1,60,,60,,
Tay Martin,61811,WR,SF,1,58.5,,60,,
,,,,,,,,,
Justin Hardee,18348,CB,NYJ,2,59.9,,59.5,,
Sam Eguavoen,15301,LB,NYJ,2,60,,59.8,,
Chazz Surratt,40313,LB,NYJ,2,60,,60,,
,,,,,,,,,
Zack Kuntz,84084,TE,NYJ,1,60.1,,59.9,,
Pat Jones II,43974,ED,MIN,2,60,,60,,
Matthew Jackson,57797,S,TEN,2,60,,60.3,,
Jesper Horsted,91465,TE,LV,3,56.3,67.4,59.7,,
Gunner Olszewski,95015,WR,NYG,6,33.4,,59.9,,
Kamu Grugier-Hill,10842,LB,CAR,2,60,62.7,60,,
Deon Bush,10758,S,KC,2,60,60.9,60,,
Jake Funk,45835,HB,IND,1,63.5,36,,,
Jay Ward,98833,S,MIN,2,60,,60,,
Owen Pappoe,99006,LB,ARZ,2,60,,60,,
,,,,,,,,,
Adrian Amos,9575,S,HST,2,60,63.8,60,,
Leo Chenal,101463,LB,KC,2,60,60.6,60,,
Sean Tucker,123056,HB,TB,4,55.8,73,60,,
Andrew DePaola,7633,LS,MIN,2,60,,60,,
Jake McQuaide,6586,LS,DET,2,60,61.5,60,,
Ezekiel Turner,49167,LB,ARZ,3,65.6,65.4,60,,
Godwin Igwebuike,49166,HB,PIT,2,60,,60,,
Morgan Cox,6020,LS,TEN,2,60,,60,,
Andy Isabella,47448,WR,BUF,3,60.8,,83.5,,
Thomas Morstead,5088,P,NYJ,3,69.8,,59.5,,
Ryan Wright,77591,P,MIN,2,60,,60,,
Nolan Cooney,44995,P,ARZ,1,60,,60,,
Dorian Williams,97694,LB,BUF,1,60,,60,,
Aaron Rodgers,2241,QB,NYJ,1,39.4,,60,,
Camaron Cheeseman,44692,LS,WAS,1,60,,60,,
Jake Hansen,43645,LB,HST,1,60,,60,,
Nick Vigil,10721,LB,MIN,1,60,,60,,
Sam Franklin Jr.,43580,S,CAR,1,60,,60,,
Dan Chisena,34061,WR,BLT,1,60,,60,,
Josh Metellus,43395,S,MIN,1,60,,60,,
,,,,,,,,,
Christian Holmes,43393,CB,WAS,1,60,,60,,
Ben Mason,57070,FB,BLT,1,60,,60,,
Kingsley Jonathan,56856,ED,BUF,1,60,,60,,
Erik Harris,10346,S,SF,1,60,,60,,
Jeremy Chinn,43179,S,CAR,1,60,,60,,
Chad Muma,75818,LB,JAX,1,60,62.7,,,
Brandin Echols,98900,CB,NYJ,2,77.5,,60,,
