Year,Team,OffYPG,OffRank,DefYPG,DefRank,PFFOL,OLRank,PFFDL,DLRank
2021,ARI,373.6,8,329.2,11,58.14286,30,60.15333,14
2021,ATL,303.8,29,364.4,26,68.58,12,58.57222,21
2021,BAL,378.8,6,363.4,25,69.02143,10,61.12667,9
2021,BUF,381.9,5,272.8,1,63.225,20,62.89429,6
2021,CAR,298.9,30,305.9,2,58.74,28,58.48333,23
2021,CHI,307.4,24,316.7,6,64.08667,19,60.4069,12
2021,CIN,361.5,13,350.8,18,57.78571,31,61.34667,8
2021,CLE,340.6,18,311.5,5,76,2,55.32727,31
2021,DAL,407,1,351,19,76.64286,1,56.325,29
2021,DEN,330.5,19,326.1,8,69.53333,8,59.98824,15
2021,DET,322.6,22,379.8,29,66.46,17,58.4,24
2021,GB,365.6,10,328.2,9,61.62,22,68.23077,1
2021,HOU,278.1,32,384.4,31,60.96667,24,58.55294,22
2021,IND,347.1,16,343.2,16,67.29286,14,60.61071,11
2021,JAX,305.4,27,353.1,20,59.48333,27,54.29688,32
2021,KC,396.8,3,368.9,27,70.9,7,58.84194,19
2021,LV,363.8,11,337.2,14,58.66667,29,56.99,27
2021,LAC,390.2,4,360.1,23,70.98333,6,59.76,16
2021,LAR,372.1,9,344.9,17,71.7,5,56.99,27
2021,MIA,307,25,337.5,15,55.15,32,66.925,3
2021,MIN,362.8,12,383.6,30,66.545,16,60.65,10
2021,NE,353.4,15,310.8,4,74.37778,3,57.66,26
2021,NO,304.5,28,318.2,7,59.65556,26,66,4
2021,NYG,287.3,31,354.8,21,64.175,18,56.10769,30
2021,NYJ,306.4,26,397.6,32,61.17059,23,60.37031,13
2021,PHI,359.9,14,328.8,10,73.15714,4,58.71818,20
2021,PIT,315.4,23,361.1,24,60.05,25,64.71,5
2021,SF,375.7,7,310,3,69.25,9,67.66364,2
2021,SEA,323.9,20,379.1,28,61.925,21,59.52364,17
2021,TB,405.9,2,331.5,13,68.77,11,59.00909,18
2021,TEN,342.5,17,329.8,12,67.175,15,57.9,25
2021,WAS,323.6,21,359.3,22,67.30769,13,62.45385,7
