player,player_id,position,team_name,player_game_count,grades_defense,snap_counts_defense,,
Tank Bigsby,123974,HB,JAX,1,59.9,1,,
Antonio Johnson,124326,CB,JAX,10,73.8,172,,
Parker Washington,129799,WR,JAX,1,59.9,1,,
Gregory Junior,156090,CB,JAX,5,65.2,94,,
Travis Kelce,7844,TE,KC,2,60.7,2,,
Jerick McKinnon,8731,HB,KC,1,60,1,,
Mike Pennel,9316,DI,KC,7,60.5,160,,
Chris Jones,10671,DI,KC,20,88.1,947,,
Deon Bush,10758,S,KC,8,63.5,97,,
Richie James,28991,WR,KC,2,60,2,,
Tershawn Wharton,40292,DI,KC,21,58.1,525,,
L'Jarius Sneed,40588,CB,KC,20,72.5,1260,,
Cole Christiansen,43856,LB,KC,1,60,1,,
Mike Danna,48415,ED,KC,20,62.3,932,,
Justin Reid,49048,S,KC,20,57.7,1247,,
Matt Dickerson,49601,DI,KC,13,44.8,206,,
Derrick Nnadi,49970,DI,KC,18,41.4,507,,
Charles Omenihu,50612,ED,KC,14,65.1,502,,
Drue Tranquill,51276,LB,KC,19,68.4,721,,
Mike Edwards,51282,S,KC,21,56.9,809,,
Bryan Cook,55940,S,KC,12,65.2,593,,
BJ Thompson,56330,ED,KC,1,49,28,,
Neil Farrell Jr.,56401,DI,KC,5,51.8,62,,
Malik Herring,56616,ED,KC,11,52.3,213,,
Willie Gay,57987,LB,KC,19,55.9,698,,
Noah Gray,60878,TE,KC,1,61.6,1,,
Jack Cochrane,63345,LB,KC,10,54,183,,
Montrell Washington,64310,WR,KC,1,60,1,,
Trent McDuffie,72191,CB,KC,20,84.8,1243,,
Chamarri Conner,76662,S,KC,21,81,468,,
Ekow Boye-Doe,76742,CB,KC,1,66.9,15,,
Cam Jones,81244,LB,KC,3,65.6,82,,
Nick Bolton,81322,LB,KC,12,59.4,708,,
Nic Jones,97327,CB,KC,2,48.7,68,,
George Karlaftis,98319,ED,KC,20,65.4,973,,
Leo Chenal,101463,LB,KC,21,84,527,,
Felix Anudike-Uzomah,122582,ED,KC,18,53.4,225,,61.92666667
Jaylen Watson,131960,CB,KC,20,68.5,533,,
Joshua Williams,156083,CB,KC,20,74.4,420,,
Aaron Donald,8648,DI,LA,17,90.8,916,,
Demarcus Robinson,10760,WR,LA,1,60,1,,
Ahkello Witherspoon,11821,CB,LA,18,62.8,1115,,
John Johnson III,11847,S,LA,14,58.4,574,,
Ben Skowronek,27948,WR,LA,2,60.1,2,,
Troy Reeder,38268,LB,LA,9,45.7,194,,
Marquise Copeland,38540,DI,LA,1,62,11,,
Keir Thomas,42509,ED,LA,9,57.4,96,,
Jonah Williams,44597,DI,LA,18,53.7,636,,
Jordan Fuller,45326,S,LA,17,66.7,1057,,
Brycen Hopkins,47338,TE,LA,1,59.9,1,,
Duke Shelley,49569,CB,LA,4,42.5,76,,
Christian Rozeboom,49862,LB,LA,18,47.9,579,,
Austin Trammell,52195,WR,LA,2,60.1,2,,
Russ Yeast,55629,S,LA,18,57,836,,
Quentin Lake,56245,CB,LA,15,70,506,,
Earnest Brown IV,56428,DI,LA,7,54.8,56,,
Cory Durden,56976,DI,LA,4,36.3,44,,
Larrell Murchison,57004,DI,LA,16,48.6,261,,
Jake Hummel,57879,LB,LA,6,75.5,45,,
Hunter Long,60859,TE,LA,1,60,1,,
Kobie Turner,66894,DI,LA,18,83.2,729,,
Ochaun Mathis,76838,ED,LA,6,52.6,75,,
Desjuan Johnson,76850,DI,LA,12,59.5,105,,
Jason Taylor II,77842,S,LA,4,36.1,44,,
Derion Kendrick,78022,CB,LA,18,59.7,871,,
Cobie Durant,79126,CB,LA,17,57,683,,
Nick Hampton,81162,ED,LA,8,58.1,70,,
Ernest Jones,81399,LB,LA,16,78.8,988,,
Bobby Brown III,82429,DI,LA,14,72.1,335,,
Tre Tomlinson,99256,CB,LA,5,44.7,45,,
Zach VanValkenburg,101450,ED,LA,9,31.6,96,,
Michael Hoecht,108840,ED,LA,18,58.2,1016,,
Zach Evans,123072,HB,LA,1,59.9,1,,
Byron Young,146932,ED,LA,18,64.1,1021,,58.45142857
Nick Williams,8006,DI,LAC,14,59.7,399,,
Khalil Mack,8640,ED,LAC,17,91.8,934,,
Eric Kendricks,9478,LB,LAC,15,72.3,847,,
Dean Marlowe,9966,S,LAC,9,60.7,298,,
Joey Bosa,10637,ED,LAC,9,78.4,320,,
Austin Johnson,10677,DI,LAC,17,45.7,641,,
Morgan Fox,11184,DI,LAC,17,58,437,,
Michael Davis,12040,CB,LAC,15,56.5,886,,
Alohi Gilman,41662,S,LAC,14,86.1,928,,
Ty Shelby,41752,ED,LAC,1,49,10,,
Amen Ogbongbemiga,42449,LB,LAC,3,72.6,6,,
Nick Niemann,43500,LB,LAC,9,71.6,247,,
Essang Bassey,45258,CB,LAC,12,52.2,353,,
Blake Lynch,47621,LB,LAC,1,60,1,,
Justin Hollins,48498,ED,LAC,11,53.3,197,,
Derwin James Jr.,51368,S,LAC,16,60.1,1001,,
Jaylinn Hawkins,51423,S,LAC,11,53.4,137,,
Ja'Sir Taylor,55426,CB,LAC,13,56.2,534,,
Raheem Layne,55960,S,LAC,3,61.5,76,,
Chris Rumph II,56345,ED,LAC,6,58.2,103,,
Kenneth Murray Jr.,58099,LB,LAC,15,52.9,968,,
Stone Smartt,60492,TE,LAC,1,60,1,,
Daiyan Henley,61500,LB,LAC,6,69.9,54,,
Asante Samuel Jr.,76625,CB,LAC,17,73.9,1111,,
JT Woods,77837,S,LAC,3,54.8,61,,
Derius Davis,78196,WR,LAC,1,60,1,,
Otito Ogbonnia,82450,DI,LAC,8,50.4,223,,
Scott Matlock,82482,DI,LAC,12,36.8,266,,
Brevin Allen,88418,ED,LAC,2,29.8,12,,
AJ Finley,98887,S,LAC,5,64.3,27,,
Christopher Hinton,101418,DI,LAC,3,56.8,81,,
Andrew Farmer,106311,ED,LAC,7,63.1,61,,
Deane Leonard,124140,CB,LAC,6,57.3,222,,
Tuli Tuipulotu,131840,ED,LAC,17,71,852,,60.53823529
Brandon Bolden,7469,HB,LV,1,70.2,1,,
John Jenkins,7863,DI,LV,17,61.2,595,,
Marcus Peters,9451,CB,LV,12,68.8,732,,
DeAndre Carter,9859,WR,LV,1,70.2,1,,
Jaylon Smith,10668,LB,LV,1,55.9,25,,
Isaac Rochell,11980,ED,LV,8,58.8,120,,
Adam Butler,12214,DI,LV,17,60.1,526,,
Maxx Crosby,26316,ED,LV,17,92.1,1080,,
Bilal Nichols,28451,DI,LV,17,51.6,616,,
Jack Jones,29050,CB,LV,11,71.6,471,,
Curtis Bolton,39043,LB,LV,3,29,16,,
Divine Deablo,42208,LB,LV,15,60.6,771,,
Janarius Robinson,42447,ED,LV,6,56.3,78,,
Tyler Hall,43958,CB,LV,9,72.7,161,,
Luke Masterson,45046,LB,LV,14,86.9,182,,
Jerry Tillery,49949,DI,LV,17,67.7,504,,
Brandon Facyson,50564,CB,LV,3,51.7,44,,
Robert Spillane,50918,LB,LV,17,77,1100,,
Marcus Epps,51391,S,LV,17,65.4,1030,,
Roderic Teamer,51405,S,LV,4,51.9,46,,
Malcolm Koonce,55015,ED,LV,17,81.3,501,,
Amik Robertson,55619,CB,LV,14,63.4,674,,
Nate Hobbs,55948,CB,LV,13,69,775,,
Isaiah Pola-Mao,60781,S,LV,10,55.4,130,,
Matthew Butler,62931,DI,LV,2,65.6,11,,
Nesta Jade Silvera,76888,DI,LV,2,43.9,24,,
Tre'von Moehrig,77847,S,LV,17,70.2,1105,,
Kana'i Mauga,81982,LB,LV,1,53.9,11,,
Tyree Wilson,82432,ED,LV,17,47.1,493,,62.83214286
Chris Smith II,83220,S,LV,1,64.9,22,,
Amari Burney,83811,LB,LV,4,53.9,89,,
Byron Young,98923,DI,LV,6,45.6,99,,
Jakorian Bennett,129496,CB,LV,12,42.4,361,,
Jason Pierre-Paul,5540,ED,MIA,3,65.8,22,,
Justin Houston,6222,ED,MIA,8,63.7,199,,
Bruce Irvin,7021,ED,MIA,4,35.9,54,,
Melvin Ingram III,7024,ED,MIA,4,53.2,150,,
Justin Bethel,7654,CB,MIA,10,67.6,126,,
Jalen Ramsey,10639,CB,MIA,11,65.6,659,,
Eli Apple,10644,CB,MIA,11,51.7,624,,
Emmanuel Ogbah,10666,ED,MIA,15,55.4,286,,
Xavien Howard,10672,CB,MIA,13,55.1,743,,
Duke Riley,11830,LB,MIA,16,71.5,473,,
Calvin Munson,12236,LB,MIA,3,73.6,23,,
Jerome Baker,28091,LB,MIA,13,66.6,713,,
DeShon Elliott,28854,S,MIA,16,68.6,987,,
David Long Jr.,29367,LB,MIA,18,62.5,899,,
Andrew Van Ginkel,30267,ED,MIA,17,91.1,727,,
Cameron Goode,38410,ED,MIA,9,71.7,75,,
Brandon Jones,43049,S,MIA,14,75.4,542,,
Raekwon Davis,44582,DI,MIA,18,57.5,531,,
Braxton Berrios,47961,WR,MIA,2,70.6,2,,
Da'Shawn Hand,48386,DI,MIA,16,87.6,219,,
Chase Winovich,48523,ED,MIA,2,57.2,5,,
Bradley Chubb,48526,ED,MIA,16,88.8,837,,
Malik Reed,48567,ED,MIA,5,51,94,,
Elijah Campbell,49190,S,MIA,11,56.2,141,,
Christian Wilkins,50293,DI,MIA,18,71.8,968,,
Nik Needham,50356,CB,MIA,11,50.8,73,,
Parry Nickerson,50511,CB,MIA,3,61.1,84,,
Jaelan Phillips,56902,ED,MIA,8,79.8,366,,
Brandon Pili,57036,DI,MIA,4,55.6,29,,
Zach Sieler,66917,DI,MIA,18,68.3,924,,67.29565217
Channing Tindall,82548,LB,MIA,2,78.2,12,,
Ethan Bonner,83091,CB,MIA,2,91,23,,
Jevon Holland,83873,S,MIA,12,90.4,707,,
Cam Smith,98837,CB,MIA,5,73.3,22,,
Kader Kohou,156070,CB,MIA,18,64.8,985,,
Harrison Smith,7641,S,MIN,17,68.9,1111,,
Anthony Barr,8644,LB,MIN,4,70.6,48,,
Jordan Hicks,9517,LB,MIN,13,74.6,813,,
Danielle Hunter,9521,ED,MIN,17,78,1004,,
Jonathan Bullard,10706,DI,MIN,17,46.3,643,,
Sheldon Day,10737,DI,MIN,6,61.4,125,,
Dean Lowry,10771,DI,MIN,9,47.4,237,,
Troy Dye,28251,LB,MIN,8,60.7,112,,
Joejuan Williams,29113,CB,MIN,3,49.4,56,,
T.J. Smith,36851,DI,MIN,3,55.8,44,,
Camryn Bynum,38408,S,MIN,17,73.2,1120,,
Josh Metellus,43395,S,MIN,17,69.2,1063,,
Pat Jones II,43974,ED,MIN,17,37.5,634,,
Byron Murphy Jr.,44027,CB,MIN,14,58,906,,
D.J. Wonnum,44550,ED,MIN,15,62.3,826,,
Harrison Phillips,48690,DI,MIN,17,59.7,838,,
Marcus Davenport,50291,ED,MIN,4,55.4,118,,
Khyiris Tonga,52000,DI,MIN,13,67.7,188,,
Ivan Pace Jr.,53587,LB,MIN,17,77.1,704,,
Theo Jackson,62919,S,MIN,15,67.6,125,,
Akayleb Evans,65033,CB,MIN,15,54.9,855,,
Brian Asamoah II,77195,LB,MIN,5,38.3,36,,
NaJee Thompson,78869,CB,MIN,1,60,1,,
Mekhi Blackmon,83036,CB,MIN,15,71.8,434,,
Jaylin Williams,83246,CB,MIN,2,38.6,24,,
Jay Ward,98833,S,MIN,6,67.8,35,,
Lewis Cine,98879,S,MIN,1,66.3,8,,
Andrew Booth Jr.,99744,CB,MIN,10,68.6,151,,
Andre Carter II,102780,ED,MIN,8,54,68,,
Jaquelin Roy,124111,DI,MIN,12,58.3,95,,59.45555556
Matthew Slater,4467,WR,NE,2,60,2,,
Lawrence Guy Sr.,6385,DI,NE,17,45.5,522,,
Adrian Phillips,9177,S,NE,13,46.5,139,,
Matthew Judon,10780,ED,NE,4,70.2,184,,
Jalen Mills,10867,S,NE,17,59.1,459,,
Jonathan Jones,11217,CB,NE,14,76.5,724,,
Jabrill Peppers,11780,S,NE,15,87.3,955,,
Deatrich Wise Jr.,11886,ED,NE,16,54.3,615,,
Davon Godchaux,11934,DI,NE,17,50.2,685,,
Anfernee Jennings,25449,ED,NE,15,63.2,677,,
Josh Uche,27379,ED,NE,15,57.1,331,,
Brenden Schooler,28253,S,NE,3,78.2,3,,
Chris Board,29456,LB,NE,2,60,2,,
J.C. Jackson,42781,CB,NE,10,34.8,524,,
Mack Wilson Sr.,43190,LB,NE,16,81.5,305,,
Myles Bryant,43336,CB,NE,17,66.6,852,,
Trysten Hill,44519,DI,NE,1,60.2,4,,
Daniel Ekuale,48874,DI,NE,3,63.1,53,,
Ja'Whaun Bentley,50966,LB,NE,16,65.8,984,,
Jahlani Tavai,51055,LB,NE,17,86.6,838,,
Marco Wilson,55592,CB,NE,12,41.7,704,,
Shaun Wade,55673,CB,NE,11,62.2,348,,
Marcus Jones,55717,CB,NE,2,64.2,44,,
Marte Mapu,56159,S,NE,14,50,204,,
Keion White,60998,ED,NE,16,64.2,522,,
Christian Elliss,61853,LB,NE,6,45.6,119,,
Christian Barmore,82198,DI,NE,17,83.8,750,,
Kyle Dugger,90621,S,NE,17,61.7,1116,,
Alex Austin,97683,CB,NE,7,62,216,,
Christian Gonzalez,131679,CB,NE,4,80.8,209,,
Sam Roberts,156069,DI,NE,7,47.3,101,,
Jeremiah Pharms Jr.,156117,DI,NE,12,69.9,90,,62.58387097
Cameron Jordan,6176,ED,NO,17,73.5,770,,
Demario Davis,7079,LB,NO,17,89.6,1074,,
Tyrann Mathieu,7850,S,NO,17,81.3,1096,,
Daniel Sorensen,9253,S,NO,2,46.4,9,,
Marshon Lattimore,11766,CB,NO,10,67.4,621,,
Marcus Maye,11794,S,NO,7,57.6,444,,
Tanoh Kpassagnon,11814,ED,NO,17,67.7,406,,
Taysom Hill,12112,TE,NO,1,60,1,,
Nathan Shepherd,24614,DI,NO,17,47.5,593,,
Ty Summers,30242,LB,NO,2,59,2,,
Khalen Saunders,31534,DI,NO,17,61.6,522,,
Zack Baun,34632,ED,NO,17,71.1,303,,
Johnathan Abram,34646,S,NO,8,57.1,209,,
Kyle Phillips,36340,ED,NO,5,52,56,,
Shemar Jean-Charles,42496,CB,NO,2,57.3,10,,
Jack Heflin,44570,DI,NO,1,57.1,17,,
Carl Granderson,48500,ED,NO,17,74.1,874,,
Ugo Amadi,49352,CB,NO,8,64.3,83,,
Isaac Yiadom,49355,CB,NO,16,81.1,517,,
Ryan Connelly,49840,LB,NO,1,60,1,,
Malcolm Roach,50191,DI,NO,12,72.9,290,,
J.T. Gray,51495,S,NO,3,45.7,6,,
Paulson Adebo,52280,CB,NO,15,78.6,948,,
Lonnie Johnson Jr.,55615,S,NO,9,62.7,124,,
Nephi Sewell,56107,LB,NO,7,85.6,59,,
Payton Turner,56624,ED,NO,2,60.5,25,,
D'Marco Jackson,57691,LB,NO,3,40.4,9,,
Monty Rice,57839,LB,NO,6,69.4,86,,
Pete Werner,58093,LB,NO,16,57.5,919,,
Lynn Bowden,61361,WR,NO,1,59.9,1,,
Rashid Shaheed,63707,WR,NO,1,70.2,1,,
PJ Mustipher,82505,DI,NO,4,43.2,42,,
Jordan Howden,83305,S,NO,15,67,569,,
Alontae Taylor,83469,CB,NO,17,45.7,950,,
Isaiah Foskey,102728,ED,NO,9,62.2,84,,
Bryan Bresee,122142,DI,NO,17,45.5,539,,62.575
Bobby McCain,9578,CB,NYG,2,49,19,,
Rakeem Nunez-Roches,9650,DI,NYG,16,46.3,461,,
Jihad Ward,10678,ED,NYG,17,42.4,661,,
A'Shawn Robinson,10680,DI,NYG,17,58.6,515,,
Adoree' Jackson,11773,CB,NYG,14,48.6,792,,
Dexter Lawrence,25991,DI,NYG,16,92.9,709,,
Isaiah Simmons,42451,LB,NYG,17,68.9,378,,
Tomon Fox,42486,ED,NYG,1,57.5,19,,
Carter Coughlin,43498,LB,NYG,1,59.5,2,,
Timmy Horne,43918,DI,NYG,4,46,64,,
Boogie Basham,44320,ED,NYG,13,55,194,,
Oshane Ximines,48538,ED,NYG,3,70.2,52,,
Nick McCloud,49535,CB,NYG,13,74.8,312,,
Bobby Okereke,50954,LB,NYG,17,78.9,1128,,
Benton Whitley,54444,ED,NYG,4,30,14,,
Xavier McKinney,55775,S,NYG,17,87.5,1128,,
Jason Pinnock,56144,S,NYG,16,67.7,1011,,
Darnay Holmes,56247,CB,NYG,8,63.9,123,,
D.J. Davidson,56523,DI,NYG,15,51.6,244,,
Jordon Riley,56759,DI,NYG,8,33.1,135,,
Micah McFadden,81246,LB,NYG,16,65.6,736,,
Azeez Ojulari,81959,ED,NYG,11,51.8,424,,
Kayvon Thibodeaux,98444,ED,NYG,17,58.4,981,,59.50909091
Cor'Dale Flott,98834,CB,NYG,14,53.3,519,,
Deonte Banks,101384,CB,NYG,15,51.4,844,,
Dane Belton,101398,S,NYG,17,51.7,295,,
Tre Hawkins III,145387,CB,NYG,10,52.6,346,,
Al Woods,5646,DI,NYJ,6,54,140,,
C.J. Mosley,8652,LB,NYJ,17,82.9,1127,,
Quinton Jefferson,10781,DI,NYJ,14,52.8,468,,
Solomon Thomas,11758,DI,NYJ,17,37,483,,
Carl Lawson,11871,ED,NYJ,6,60.3,101,,
Tanzel Smart,11944,DI,NYJ,4,27.5,63,,
Sam Eguavoen,15301,LB,NYJ,5,42.5,14,,
Craig James,26360,CB,NYJ,2,79,42,,
D.J. Reed,26940,CB,NYJ,15,77.9,993,,
Bryce Huff,27128,ED,NYJ,17,79.7,481,,
Tae Hayes,35173,CB,NYJ,1,35.1,13,,
Chazz Surratt,40313,LB,NYJ,3,78.2,9,,
Bryce Hall,42313,CB,NYJ,5,66.4,138,,
Quinnen Williams,44216,DI,NYJ,17,90.6,778,,
Jalyn Holmes,48400,DI,NYJ,5,28.9,81,,
Bruce Hector,48759,DI,NYJ,2,61.3,37,,
Jordan Whitehead,49196,S,NYJ,17,68.2,1076,,
Ashtyn Davis,49560,S,NYJ,17,74.7,218,,
Quincy Williams,49779,LB,NYJ,17,81.1,1092,,
John Franklin-Myers,50088,ED,NYJ,17,70.4,626,,
Tony Adams,55953,S,NYJ,15,68,879,,
Micheal Clemons,56872,ED,NYJ,16,65.9,368,,
Michael Carter II,60644,CB,NYJ,15,80.4,671,,
Will McDonald IV,76842,ED,NYJ,15,71.6,183,,
Jarrick Bernard-Converse,77841,S,NYJ,2,60.1,4,,
Jamien Sherwood,83175,LB,NYJ,16,76.1,193,,
Brandin Echols,98900,CB,NYJ,12,56.1,143,,
Jermaine Johnson,99015,ED,NYJ,17,83,748,,64.33846154
Sauce Gardner,100903,CB,NYJ,16,88.6,1049,,
Perrion Winfrey,122952,DI,NYJ,1,27.2,13,,
Brandon Graham,5538,ED,PHI,18,84,427,,
Fletcher Cox,7018,DI,PHI,16,76.5,721,,
Darius Slay,7817,CB,PHI,13,66,874,,
Bradley Roby,8666,CB,PHI,10,56.9,379,,
James Bradberry,10696,CB,PHI,17,54.4,1090,,
Kevin Byard,10698,S,PHI,17,72.8,1187,,
Haason Reddick,11768,ED,PHI,18,73,910,,
Justin Evans,11805,S,PHI,4,63.1,197,,
Zach Cunningham,11812,LB,PHI,14,67.6,787,,
Shaquille Leonard,49684,LB,PHI,14,62.8,618,,
Josh Sweat,50120,ED,PHI,18,67.2,875,,
Avonte Maddox,50543,CB,PHI,5,44.8,211,,
Nicholas Morrow,51674,LB,PHI,16,68.1,898,,
Josiah Scott,55634,CB,PHI,1,60,17,,
Reed Blankenship,56065,S,PHI,15,73.4,942,,
Patrick Johnson,56460,ED,PHI,3,47.3,38,,
Milton Williams,56682,DI,PHI,17,70.4,522,,
Marlon Tuipulotu,57035,DI,PHI,15,58.5,178,,
Tristin McCollum,66771,S,PHI,1,76.6,29,,
Mario Goodrich,76578,CB,PHI,3,50.4,70,,
Moro Ojomo,76927,DI,PHI,8,67.9,68,,
Ben VanSumeren,82523,LB,PHI,2,69.5,50,,
Josh Jobe,83122,CB,PHI,9,40.8,240,,
Sydney Brown,83241,S,PHI,13,62,334,,
Jordan Davis,94854,DI,PHI,18,70.9,561,,
Nolan Smith,99014,ED,PHI,18,55.5,203,,
Nakobe Dean,99018,LB,PHI,5,61.7,182,,
Mekhi Garner,102900,S,PHI,2,51.1,27,,
Jalen Carter,124019,DI,PHI,17,87.4,599,,64.15862069
Kelee Ringo,124035,CB,PHI,7,64.7,233,,
Eli Ricks,124109,CB,PHI,15,45.3,316,,
Patrick Peterson,6157,CB,PIT,18,58.9,1162,,
Cameron Heyward,6183,DI,PIT,12,73.1,497,,
Eric Rowe,9480,S,PIT,4,64.9,212,,
Markus Golden,9491,ED,PIT,17,83.5,281,,
Kwon Alexander,9557,LB,PIT,9,59,362,,
Keanu Neal,10651,S,PIT,9,59.6,430,,
Myles Jack,10670,LB,PIT,4,55.3,157,,
Miles Killebrew,10745,S,PIT,10,64.1,111,,
Blake Martinez,10765,LB,PIT,1,85.1,21,,
Elandon Roberts,10848,LB,PIT,17,72.2,622,,
T.J. Watt,11785,ED,PIT,17,91.9,930,,
Larry Ogunjobi,11820,DI,PIT,18,58.7,816,,
Montravius Adams,11848,DI,PIT,14,59,427,,
Damontae Kazee,11904,S,PIT,15,60.1,791,,
Levi Wallace,25445,CB,PIT,17,57.9,762,,
Armon Watts,27844,DI,PIT,16,77.3,286,,
Trenton Thompson,43455,S,PIT,6,56.8,212,,
Alex Highsmith,43507,ED,PIT,18,90,974,,
Isaiahh Loudermilk,44416,DI,PIT,16,55.2,184,,
Elijah Riley,44440,S,PIT,5,79.8,50,,
Chandon Sullivan,49349,CB,PIT,18,60.4,442,,
Cole Holcomb,49753,LB,PIT,8,65.5,447,,
Minkah Fitzpatrick,51206,S,PIT,11,73.3,616,,
Mark Robinson,55265,LB,PIT,9,51.1,173,,
Mykal Walker,57834,LB,PIT,9,52.3,321,,
Kyron Johnson,57890,ED,PIT,1,58.8,1,,
James Pierre,60649,CB,PIT,6,40.4,28,,
Darius Rush,84416,CB,PIT,2,54.4,39,,
DeMarvin Leal,98919,DI,PIT,12,47.5,206,,
Joey Porter Jr.,101364,CB,PIT,18,64.3,855,,
Keeanu Benton,101536,DI,PIT,18,76.9,516,,
Nick Herbig,129920,ED,PIT,18,81,211,,65.46451613
Nick Bellore,6515,LB,SEA,7,65.1,16,,
Bobby Wagner,7050,LB,SEA,17,82.4,1170,,
Leonard Williams,9439,DI,SEA,18,76.2,884,,
Mario Edwards Jr.,9468,DI,SEA,15,68,393,,
Frank Clark,9496,ED,SEA,8,37.6,178,,
Quandre Diggs,9633,S,SEA,17,55.1,1155,,
Artie Burns,10659,CB,SEA,8,66.5,232,,
Jarran Reed,10683,DI,SEA,16,63.5,809,,
Jamal Adams,11761,S,SEA,9,54.9,518,,
Teez Tabor,11808,S,SEA,1,46.1,12,,
Devin Bush,27375,LB,SEA,9,57.5,251,,
Dre'Mont Jones,28075,DI,SEA,17,61.7,762,,
Myles Adams,28430,DI,SEA,9,63.5,87,,
Darrell Taylor,36001,ED,SEA,17,50.9,522,,
Uchenna Nwosu,50084,ED,SEA,6,68.5,283,,
Michael Jackson,50437,CB,SEA,15,77,474,,
Jordyn Brooks,50851,LB,SEA,16,57.3,802,,
Julian Love,51081,S,SEA,17,72.8,937,,
Coby Bryant,55088,S,SEA,6,34,147,,
Boye Mafe,55220,ED,SEA,16,73.9,808,,
DeeJay Dallas,55632,HB,SEA,2,42,2,,
Tre Brown,55677,CB,SEA,15,62.8,603,,
Austin Faoliu,56800,DI,SEA,2,64.5,22,,
Jon Rhattigan,57718,LB,SEA,4,72.3,21,,
Brady Russell,60876,TE,SEA,2,62.1,2,,
Tariq Woolen,61790,CB,SEA,16,67.1,940,,
Jake Bobo,77997,WR,SEA,2,62.1,2,,
Cameron Young,82499,DI,SEA,15,58.8,201,,
Kelvin Joseph,83051,CB,SEA,2,54.2,21,,
Lance Boykin,83066,CB,SEA,1,60,2,,
Drake Thomas,97525,LB,SEA,3,55.4,5,,
Derick Hall,98130,ED,SEA,17,44.4,308,,59.69
Kenny McIntosh,99158,HB,SEA,1,59.9,1,,
Jerrick Reed II,101322,S,SEA,3,54.8,29,,
Devon Witherspoon,101388,CB,SEA,14,84.1,883,,
Mike Morris,101421,DI,SEA,1,63.4,26,,
Tashaun Gipson Sr.,7288,S,SF,19,67.8,1194,,
Logan Ryan,7864,S,SF,6,61.6,268,,
Jason Verrett,8660,CB,SF,1,45.1,5,,
Arik Armstead,9450,DI,SF,15,78.4,661,,
Randy Gregory,9493,ED,SF,19,46.8,488,,
T.Y. McGill,10156,DI,SF,2,33.8,51,,
Erik Harris,10346,S,SF,1,60.5,4,,
Javon Hargrave,10723,DI,SF,19,74.9,775,,
Anthony Brown,10823,CB,SF,1,60.4,1,,
Clelin Ferrell,25955,ED,SF,17,60.7,471,,
Kevin Givens,28308,DI,SF,20,53.1,454,,
George Odum,31342,S,SF,6,64.7,39,,
Austin Bryant,36248,ED,SF,2,69.6,36,,
Charlie Woerner,42257,TE,SF,1,60,1,,
Tayler Hawkins,42606,S,SF,1,34.2,67,,
Nick Bosa,42741,ED,SF,20,92.2,1022,,
Curtis Robinson,42871,LB,SF,1,89.9,3,,
Charvarius Ward,43034,CB,SF,20,84.7,1148,,
Ray-Ray McCloud III,47895,WR,SF,1,60,1,,
Demetrius Flannigan-Fowles,49231,LB,SF,10,52.6,174,,
Sebastian Joseph-Day,49935,DI,SF,19,60,623,,
Oren Burks,50203,LB,SF,18,58.9,433,,
Isaiah Oliver,50393,CB,SF,17,67.6,503,,
Fred Warner,51222,LB,SF,20,90,1200,,
Dre Greenlaw,51503,LB,SF,18,73.1,999,,
Kalia Davis,55389,DI,SF,3,47.4,54,,
Deommodore Lenoir,55686,CB,SF,20,75.8,1198,,
Ambry Thomas,56058,CB,SF,16,61.5,573,,
Chase Young,56436,ED,SF,19,74.7,891,,
Javon Kinlaw,56834,DI,SF,20,53.8,544,,64.41851852
Robert Beal Jr.,57840,ED,SF,6,59.8,54,,
Jordan Mason,62946,HB,SF,1,60,1,,
Samuel Womack III,65771,CB,SF,5,66.5,70,,
Drake Jackson,70839,ED,SF,8,62.6,199,,
Brayden Willis,77917,TE,SF,1,60,1,,
Talanoa Hufanga,83903,S,SF,10,70.5,577,,
Dee Winters,99376,LB,SF,10,29.4,62,,
Darrell Luter Jr.,121428,CB,SF,4,64.7,64,,
Ji'Ayir Brown,129767,S,SF,12,73.4,546,,
Lavonte David,7060,LB,TB,17,72.3,1086,,
William Gholston,7908,DI,TB,17,62.8,286,,
Shaquil Barrett,9000,ED,TB,18,73.1,746,,
Patrick O'Connor,12005,DI,TB,10,55.3,62,,
Dee Delaney,31078,S,TB,13,63.6,455,,
Cam Gill,33560,ED,TB,11,75.7,81,,
Jamel Dean,34918,CB,TB,15,74.3,824,,
Antoine Winfield Jr.,42475,S,TB,19,90.7,1230,,
Devin White,43089,LB,TB,16,47.4,933,,
Anthony Nelson,48405,ED,TB,18,59.4,446,,
Greg Gaines,48706,DI,TB,19,52.1,525,,
Deadrin Senat,48815,DI,TB,2,53.6,18,,
Vita Vea,48956,DI,TB,17,80,691,,
Ryan Neal,49132,S,TB,16,46.4,615,,
Carlton Davis III,49335,CB,TB,14,63.1,847,,
Mike Greene,56664,DI,TB,10,40.4,168,,
K.J. Britt,57727,LB,TB,12,70.5,252,,
J.J. Russell,57958,LB,TB,1,79.2,71,,
Joe Tryon-Shoyinka,58272,ED,TB,19,63,625,,
Derrek Pitts,60785,CB,TB,1,43.5,18,,
Zyon McCollum,66769,CB,TB,17,50.4,870,,
Josh Hayes,66798,CB,TB,2,55.3,29,,
Logan Hall,76919,DI,TB,18,52.2,600,,
Kaevon Merriweather,83257,S,TB,9,55.4,164,,
Christian Izien,83360,CB,TB,19,67.7,780,,
Markees Watts,84537,ED,TB,6,63.2,45,,
