player,position,team_name,player_game_count,grades_offense,grades_pass_block,grades_run_block,snap_counts_block,,Average Grade
Allen Robinson II,WR,CHI,12,66.9,62.2,57.9,232,,
Justin Fields,QB,CHI,12,64.2,,61.5,229,,
Damiere Byrd,WR,CHI,17,53.8,,47.1,207,,
Jesse James,TE,CHI,14,59.4,76.4,57.9,162,,
Marquise Goodwin,WR,CHI,14,62.5,,44.1,134,,
Jimmy Graham,TE,CHI,15,69.7,48.6,57.1,123,,
David Montgomery,HB,CHI,13,69.8,76.6,68.6,103,,
Alex Bars,T,CHI,12,49,19.8,63.5,91,,64.08666667
Khalil Herbert,HB,CHI,16,78.8,61.5,63.9,60,,
J.P. Holtz,TE,CHI,12,57.7,77.5,66.6,54,,
Jakeem Grant Sr.,WR,CHI,14,63.7,,58.8,47,,
Damien Williams,HB,CHI,12,71.4,72.6,58.3,27,,
Jonah Williams,T,CIN,20,74.5,67.5,75.6,1301,,
Quinton Spain,G,CIN,20,66.4,56.2,69.4,1252,,
Trey Hopkins,C,CIN,19,51.9,60.5,47.6,1185,,
Hakeem Adeniji,G,CIN,13,43,36.1,46.3,777,,
Riley Reiff,T,CIN,12,67.3,58.4,70,711,,
Isaiah Prince,T,CIN,19,47.2,39.7,67.3,640,,
Jackson Carman,G,CIN,14,54.2,45.9,64.1,500,,57.78571429
Joe Burrow,QB,CIN,20,91.8,61.3,60,438,,
Drew Sample,TE,CIN,21,56.1,73.4,61.5,407,,
Ja'Marr Chase,WR,CIN,21,85.3,,56.3,387,,
C.J. Uzomah,TE,CIN,20,63.6,70.6,60,371,,
Tyler Boyd,WR,CIN,20,70.8,68.6,62.4,301,,
Tee Higgins,WR,CIN,18,83.4,62.2,67.5,267,,
Joe Mixon,HB,CIN,20,79.2,37.3,56.4,112,,
Stanley Morgan,WR,CIN,12,55.2,67.5,69.3,86,,
Mike Thomas,WR,CIN,15,62.3,62.3,70,72,,
Mitchell Wilcox,TE,CIN,17,44.2,74.5,45.2,60,,
Samaje Perine,HB,CIN,19,60.1,42.3,43.1,58,,
Chris Evans,HB,CIN,15,75.6,84.1,60,10,,
Joel Bitonio,G,CLV,17,93.6,85.9,92.5,1107,,
Wyatt Teller,G,CLV,17,84.9,70.4,88.4,1107,,
J.C. Tretter,C,CLV,16,78.7,83.7,74.8,1039,,
Jedrick Wills Jr.,T,CLV,13,66.1,67.9,61.7,763,,
Blake Hance,T,CLV,14,56.7,36.9,70.3,643,,76
Austin Hooper,TE,CLV,16,64.2,56.6,64.4,397,,
David Njoku,TE,CLV,16,70.9,72.4,64.1,350,,
Baker Mayfield,QB,CLV,14,63.6,,60.2,346,,
Donovan Peoples-Jones,WR,CLV,14,65.7,72.1,43.3,268,,
Harrison Bryant,TE,CLV,16,64.8,64.2,49.9,237,,
Rashard Higgins,WR,CLV,15,54.7,61.6,46.5,197,,
Jarvis Landry,WR,CLV,12,66.3,68.1,62,189,,
Anthony Schwartz,WR,CLV,14,57.4,,58.9,119,,
Andy Janovich,FB,CLV,13,63.8,52.7,64.7,69,,
D'Ernest Johnson,HB,CLV,15,81.4,80.1,61,68,,
Nick Chubb,HB,CLV,14,81.7,80.5,59.3,49,,
Demetric Felton Jr.,WR,CLV,16,78.1,75,67.1,34,,
Tyler Biadasz,C,DAL,18,65.1,69.3,68.7,1274,,
Zack Martin,G,DAL,17,93.4,87.6,92.5,1173,,
Connor Williams,G,DAL,18,75.2,74,76.9,1020,,
Terence Steele,T,DAL,16,64.6,60.9,67.8,912,,
Tyron Smith,T,DAL,12,90.2,87,90,810,,
La'el Collins,T,DAL,13,80.2,74.3,89.7,743,,
Connor McGovern,G,DAL,16,67.8,69.5,65.3,497,,76.64285714
Dalton Schultz,TE,DAL,18,78.2,67.3,69.4,420,,
Dak Prescott,QB,DAL,17,82.4,,60.4,392,,
Cameron Erving,T,CAR,9,56,49.7,59.8,589,,
CeeDee Lamb,WR,DAL,17,84.1,67.8,57.8,300,,
Amari Cooper,WR,DAL,16,73,,51.1,282,,
Jeremy Sprinkle,TE,DAL,17,68.5,84.6,59.9,165,,
Matt Paradis,C,CAR,9,66.9,53.6,69.9,568,,
Kevin Dotson,G,PIT,9,64.5,78.4,60.8,565,,
Cedrick Wilson Jr.,WR,DAL,17,71.7,67.2,37.1,161,,
Brandon Linder,C,JAX,9,62.9,67,63.8,552,,
Noah Brown,WR,DAL,14,60,74.1,72.6,133,,
Ezekiel Elliott,HB,DAL,18,69.3,40.2,52.5,117,,
Michael Deiter,C,MIA,8,60.6,57.2,61.7,546,,
Sean McKeon,TE,DAL,10,54.9,65.1,52.4,88,,
Pat Elflein,C,CAR,9,50.1,42,52.2,534,,
Tony Pollard,HB,DAL,16,86,50.3,74.7,61,,
Taylor Decker,T,DET,9,75.5,84,66.8,528,,
Malik Turner,WR,DAL,13,79,70.2,55.6,59,,
Lloyd Cushenberry III,C,DEN,16,64.2,71.3,62.5,1039,,
Garett Bolles,T,DEN,14,76.6,77.8,68.9,870,,
Dalton Risner,G,DEN,15,68.5,73.6,63.2,832,,
Jack Driscoll,G,PHI,9,70.5,73.9,64.1,512,,
Bobby Massie,T,DEN,13,70,60.1,74.8,796,,
Quinn Meinerz,G,DEN,11,67.4,66.7,64.9,623,,69.53333333
Noah Fant,TE,DEN,16,61.6,39.5,49,383,,
Elgton Jenkins,T,GB,8,82.1,81.2,76.4,496,,
Chase Roullier,C,WAS,8,83.7,69.3,86.1,490,,
Courtland Sutton,WR,DEN,17,71.2,,63.6,346,,
Teddy Bridgewater,QB,DEN,14,73.5,,60,334,,
Tim Patrick,WR,DEN,16,71.2,58.1,61.7,327,,
Albert Okwuegbunam,TE,DEN,14,67.3,69.3,58,239,,
Eric Saubert,TE,DEN,17,67.8,77.8,74.2,210,,
John Leglue,G,PIT,7,54.5,68.6,52.8,474,,
Sam Cosmi,T,WAS,9,74.9,63.4,81.3,474,,
Mason Cole,C,MIN,8,69.7,44.1,75.2,470,,
Terron Armstead,T,NO,8,75.9,85.6,64.1,468,,
Jerry Jeudy,WR,DEN,10,68.7,,57.4,139,,
Mike McGlinchey,T,SF,8,69.8,70,63.8,466,,
Kendall Hinton,WR,DEN,16,66.5,62.4,55.8,90,,
Javonte Williams,HB,DEN,17,75.9,63.3,80.9,63,,
Melvin Gordon III,HB,DEN,16,77.8,41.4,60,49,,
Andrew Beck,FB,DEN,12,59.1,75.5,62.1,43,,
Jon Feliciano,G,BUF,9,56.9,55.3,57.2,447,,
Diontae Spencer,WR,DEN,13,43.1,,39.2,23,,
Penei Sewell,T,DET,16,77,69.4,84.5,1039,,
Jonah Jackson,G,DET,16,69.3,56.4,76.4,1037,,
Halapoulivaati Vaitai,G,DET,15,68.4,66.9,65.4,953,,
Evan Brown,C,DET,13,66.8,72.4,62.9,755,,
Matt Nelson,T,DET,13,50.8,45.8,56.6,673,,66.46
Austin Reiter,C,MIA,6,46.9,51.7,43.8,421,,
Jared Goff,QB,DET,14,60.3,60.9,60.1,338,,
Amon-Ra St. Brown,WR,DET,17,79.4,68.6,56.5,260,,
Kalif Raymond,WR,DET,16,60.5,68.3,49.6,243,,
T.J. Hockenson,TE,DET,12,68.1,65.4,45.1,235,,
Brock Wright,TE,DET,10,53.5,35.5,49.3,212,,
Josh Reynolds,WR,DET,12,65.9,,55.7,184,,
Jason Cabinda,FB,DET,14,58.5,52.8,55.3,94,,
KhaDarel Hodge,WR,DET,14,68.1,,69.5,80,,
Germain Ifedi,T,CHI,7,61.8,70.7,58.6,412,,
D'Andre Swift,HB,DET,13,58,28.2,38.4,59,,
Tom Kennedy,WR,DET,12,57.3,,56.1,51,,
Jamaal Williams,HB,DET,13,69.8,70.4,59.6,40,,
Godwin Igwebuike,HB,DET,10,66.6,65.6,60,11,,
Jon Runyan,G,GB,17,64.6,72,57.4,1109,,
Royce Newman,G,GB,17,55.7,60.2,51.9,1084,,
Lucas Patrick,C,GB,15,57.5,64.3,54.2,967,,
Billy Turner,T,GB,14,67.1,69.3,60.5,866,,
Yosh Nijman,T,GB,10,63.2,66.9,58.6,590,,61.62
Aaron Rodgers,QB,GB,17,89.4,,60,378,,
Laurent Duvernay-Tardif,G,NYJ,7,53.2,52.5,55.5,390,,
Tyre Phillips,T,BLT,9,53.1,63.1,42,389,,
Marcedes Lewis,TE,GB,18,75.1,76.7,73.6,342,,
Davante Adams,WR,GB,17,92.7,,53.9,321,,
Allen Lazard,WR,GB,16,64.7,75,62.7,281,,
Josiah Deguara,TE,GB,17,55.6,35.4,70.2,147,,
Graham Glasgow,G,DEN,7,65.1,70.1,61.1,384,,
Equanimeous St. Brown,WR,GB,14,56.2,73.1,57,144,,
Marquez Valdes-Scantling,WR,GB,11,66.1,61.6,69.7,131,,
Dominique Dafney,TE,GB,11,68.4,77.3,74.6,115,,
Randall Cobb,WR,GB,13,70.1,,49,108,,
Keith Ismael,C,WAS,9,64.9,46.9,68.9,382,,
Aaron Jones,HB,GB,16,82,67.5,78,76,,
