player,position,team_name,player_game_count,grades_offense,grades_pass_block,grades_run_block,snap_counts_block,,Average Grade
Blake Brandel,T,MIN,11,53.3,58.5,55.4,63,,66.545
Dede Westbrook,WR,MIN,15,53.1,,66.4,38,,
Alexander Mattison,HB,MIN,16,61,54.6,41.8,34,,
Teven Jenkins,T,CHI,5,47.5,54.6,62.7,160,,
Jameis Winston,QB,NO,7,74,,61.2,157,,
David Andrews,C,NE,18,79.6,73.2,80.1,1149,,
Shaq Mason,G,NE,16,86.4,72.3,87.2,1017,,
Mike Remmers,T,KC,4,64.5,63.6,67.9,155,,
Isaiah Wynn,T,NE,16,74.9,70.7,76.5,915,,
Ted Karras,G,NE,15,72.4,76.5,67.3,890,,
Mike Onwenu,G,NE,17,86.7,70,89.4,658,,
Corey Davis,WR,NYJ,9,68.8,70.6,80.1,150,,
Trent Brown,T,NE,10,74.4,78.2,64.9,551,,
Justin Herron,T,NE,14,61.7,51.2,66.7,455,,74.37777778
Michael Gallup,WR,DAL,9,73.4,,60,147,,
Mac Jones,QB,NE,18,80,72.6,60.4,450,,
Jaylon Moore,T,SF,5,59,56.1,61.9,145,,
Jakobi Meyers,WR,NE,18,74.7,75.5,56.9,375,,
Ty Nsekhe,T,DAL,6,72.5,64.6,75.4,145,,
Jonnu Smith,TE,NE,17,58.5,51.9,42.5,366,,
Hunter Henry,TE,NE,18,72,52.2,60.1,335,,
Nelson Agholor,WR,NE,16,64.8,,65.2,281,,
Jakob Johnson,FB,NE,18,61.1,72.1,65.3,255,,
N'Keal Harry,WR,NE,13,68.7,,84.7,174,,
Kendrick Bourne,WR,NE,18,77.8,,43.5,134,,
Damien Harris,HB,NE,16,86.6,49.7,60.3,81,,
Brandon Bolden,HB,NE,17,74.2,48.9,60.4,74,,
Nick Vannett,TE,NO,7,57.9,75.8,55.1,140,,
Rhamondre Stevenson,HB,NE,13,81.1,50.3,54.8,43,,
Gunner Olszewski,WR,NE,10,62.5,,52.2,30,,
Phil Haynes,G,SEA,3,69.8,71.3,66.1,136,,
Cesar Ruiz,G,NO,17,57.6,63.8,52.9,1091,,
Will Richardson Jr.,G,JAX,5,55.5,83.1,43.6,136,,
Trevor Siemian,QB,NO,6,64.4,,60.2,136,,
James Hurst,T,NO,17,69.8,76.9,60.1,941,,
Calvin Throckmorton,G,NO,17,42.4,43.7,43.7,938,,
James Ferentz,G,NE,3,48.8,43.8,50.3,133,,
Will Clapp,C,NO,9,50.7,40.5,61.9,133,,
Erik McCoy,C,NO,12,63.6,69.2,66.4,746,,
Ryan Ramczyk,T,NO,10,84.1,73,85.6,653,,59.65555556
Blake Jarwin,TE,DAL,9,57.8,74.5,69.3,132,,
Kaden Smith,TE,NYG,9,66.1,57.4,73.3,131,,
Conor McDermott,T,NYJ,5,68.4,73.7,58.3,131,,
Adam Trautman,TE,NO,13,62.7,58.6,64.7,377,,
Sam Tecklenburg,C,CAR,3,62.5,70.6,56.8,131,,
Marquez Callaway,WR,NO,17,69.3,,59.9,355,,
Tre'Quan Smith,WR,NO,11,62.7,,70.5,197,,
Logan Thomas,TE,WAS,6,63.4,65.7,44.1,131,,
Tyrod Taylor,QB,HST,6,59.2,,60.2,130,,
Wes Martin,G,NYG,5,40.3,23.7,49.8,130,,
Andy Dalton,QB,CHI,8,67.1,,60.7,129,,
Michael Dunn,G,CLV,4,67.9,42.7,73.1,128,,
Garrett Griffin,TE,NO,13,51.7,59.8,57.1,189,,
Taysom Hill,QB,NO,12,75,16.9,60.8,157,,
Solomon Kindley,G,MIA,3,57.5,38.2,66,124,,
Xavier Su'a-Filo,G,CIN,2,50,52,49,124,,
Dillon Radunz,T,TEN,6,49.7,39.5,57.3,124,,
Kenny Stills,WR,NO,13,54.7,68.5,54.2,106,,
Ty Montgomery,WR,NO,14,51.4,46.5,55.2,104,,
Alvin Kamara,HB,NO,13,63.2,12.3,57,101,,
Mark Ingram II,HB,NO,14,67.6,85.2,57.8,75,,
Lil'Jordan Humphrey,WR,NO,10,71.1,67.6,64.6,75,,
Ty Sambrailo,T,TEN,3,59.1,59.5,55.6,122,,
Deonte Harty,WR,NO,13,87.8,,60.4,71,,
Elijah Wilkinson,T,CHI,5,65,54.6,68.5,120,,
Mike Glennon,QB,NYG,6,30,,61.2,120,,
Juwan Johnson,TE,NO,14,66.9,70.7,63.5,68,,
Tony Jones Jr.,HB,NO,10,63.9,88.9,60.8,24,,
Will Hernandez,G,NYG,17,55.9,56,58.4,1049,,
Billy Price,C,NYG,15,62.3,52.5,68,985,,
Nate Solder,T,NYG,16,60.3,52.7,67.3,927,,
Maxx Williams,TE,ARZ,5,77.9,70,72,117,,
Andrew Thomas,T,NYG,13,78.9,82.1,68.5,799,,
Matt Skura,G,NYG,14,50.8,29.5,61.4,769,,
Scott Quessenberry,C,LAC,3,64.3,60.7,64,115,,
Matt Peart,T,NYG,11,63,62.3,65.4,421,,64.175
Kyle Rudolph,TE,NYG,16,63.5,62.9,59.5,269,,
Evan Engram,TE,NYG,15,53.5,54.6,46.6,234,,
Kenny Golladay,WR,NYG,14,68.3,,51.2,218,,
Korey Cunningham,T,NYG,9,51.7,53.8,56,111,,
Daniel Jones,QB,NYG,11,71.1,72.2,60.2,191,,
Darius Slayton,WR,NYG,13,52.8,,46.6,153,,
Senio Kelemete,G,LAC,6,40,36.5,49.6,108,,
Sterling Shepard,WR,NYG,7,64.6,62.4,53.8,108,,
Devontae Booker,HB,NYG,16,65,48.9,41.3,103,,
Collin Johnson,WR,NYG,12,62.3,,72,83,,
Kadarius Toney,WR,NYG,10,72.8,,56.2,82,,
Tyler Huntley,QB,BLT,7,68.3,,60,106,,
Elijhaa Penny,FB,NYG,17,64.4,57.4,56.2,74,,
Saquon Barkley,HB,NYG,13,59.1,34.3,53.2,70,,
John Ross,WR,NYG,10,67,,65,58,,
Alijah Vera-Tucker,G,NYJ,16,66.8,56.9,72.5,1027,,
Morgan Moses,T,NYJ,17,71,65.7,74.9,1022,,
Connor McGovern,C,NYJ,15,75.9,68,78.9,973,,
George Fant,T,NYJ,15,71.1,75.1,59.9,889,,
Tyree Jackson,TE,PHI,9,54.5,63.5,66.1,103,,
Greg Van Roten,G,NYJ,12,68.1,53.7,75,700,,
Bobby Hart,T,BUF,4,33.7,26.5,42,102,,
Robert Tonyan,TE,GB,8,54.6,16.3,47,101,,
Ryan McCollum,C,DET,4,49.5,36.5,53.4,101,,
Ryan Griffin,TE,NYJ,14,55.8,52.9,64.8,301,,
Henry Ruggs III,WR,LV,7,73.4,,52.9,100,,
Chuma Edoga,T,NYJ,4,57.7,55,70.3,100,,
Darren Fells,TE,TB,9,56.9,83.8,62.5,100,,
Aaron Stinnie,G,TB,8,54.4,61.6,52.5,100,,
Zach Wilson,QB,NYJ,13,59.3,74.2,60,255,,
Keelan Cole Sr.,WR,NYJ,15,61.3,66.1,52.3,191,,
Dan Feeney,C,NYJ,10,75.9,55.1,79.3,184,,61.17058824
Elijah Moore,WR,NYJ,11,71.2,65.7,31.5,144,,
Trevon Wesco,TE,NYJ,12,61.8,55,69.8,122,,
Jamison Crowder,WR,NYJ,12,64.9,70.7,43.7,122,,
James O'Shaughnessy,TE,JAX,7,62.8,73.7,60.7,97,,
Le'Raven Clark,T,PHI,2,62.5,56.4,64.8,97,,
Marcus Johnson,WR,TEN,7,63,,49.3,97,,
Brandon Brooks,G,PHI,2,52.7,62.8,54,96,,
Yasir Durant,T,NE,6,59.4,59.4,56.5,95,,
Braxton Berrios,WR,NYJ,16,74,,41.1,106,,
Denzel Mims,WR,NYJ,11,48.7,72.3,48,82,,
Bobby Evans,T,LA,7,48.4,67.4,44.7,92,,
Jeff Smith,WR,NYJ,12,57.9,70.1,50.2,78,,
Drew Lock,QB,DEN,6,60,,60,91,,
Ty Johnson,HB,NYJ,16,56,38.1,53.9,76,,
Jason Spriggs,T,ATL,8,58.9,53.3,60,90,,
Justin Murray,T,ARZ,3,60.8,76.5,47.8,90,,
Michael Carter,HB,NYJ,14,71,42.7,60.3,72,,
Calvin Ridley,WR,ATL,5,64.2,,60.8,90,,
Fred Johnson,T,CIN,5,81,61.3,83.6,90,,
Tevin Coleman,HB,NYJ,11,74.1,59,52.7,35,,
Daniel Brown,TE,NYJ,10,57.9,69.5,58.8,16,,
Jason Kelce,C,PHI,18,84.5,69.2,89,1059,,
Trinity Benson,WR,DET,8,46.9,,43.5,88,,
Jordan Mailata,T,PHI,15,88.3,83.8,88.5,980,,
B.J. Finney,G,PIT,4,71.4,74,66.8,87,,
Landon Dickerson,G,PHI,15,69.6,60.5,71.2,925,,
Lane Johnson,T,PHI,14,83.3,82.6,76.8,863,,
Nate Herbig,G,PHI,10,68.1,63.9,67.2,481,,73.15714286
Kendall Lamm,T,TEN,8,46.9,46.7,57.3,86,,
Dallas Goedert,TE,PHI,16,90.7,66.1,68.9,417,,
Case Keenum,QB,CLV,7,57.4,,60,85,,
Gardner Minshew,QB,PHI,4,61.7,,60,85,,
Alec Ingold,FB,LV,9,69.1,79.1,71.3,83,,
DeVonta Smith,WR,PHI,18,77.7,,66.1,383,,
Quez Watkins,WR,PHI,18,68.2,66.2,33,349,,
Jalen Hurts,QB,PHI,16,77.1,,60,329,,
JuJu Smith-Schuster,WR,PIT,6,58,,57.1,81,,
Jack Anderson,C,PHI,2,71,73.1,68,81,,
Yodny Cajuste,T,NE,3,55.7,49.3,57.1,81,,
Jalen Reagor,WR,PHI,18,55.1,,53.2,279,,
Cody Hollister,WR,TEN,3,59.3,,58.6,80,,
Jack Stoll,TE,PHI,17,54.4,84.2,58.2,271,,
J.J. Arcega-Whiteside,WR,PHI,16,53,78.3,75.4,109,,
Tim Boyle,QB,DET,5,54,,60,79,,
Geno Smith,QB,SEA,4,73.9,,60,79,,
Robert Jones,T,MIA,3,63.6,55.4,64.3,79,,
Greg Ward,WR,PHI,17,54.9,62.3,63.6,98,,
Miles Sanders,HB,PHI,13,70.2,47.3,63,79,,
Brevin Jordan,TE,HST,9,66.6,77.5,62.9,78,,
Tommy Doyle,T,BUF,8,54.3,38.1,49.8,77,,
Boston Scott,HB,PHI,11,71.9,52.4,59.8,47,,
Colt McCoy,QB,ARZ,8,55.8,,60,76,,
Kenneth Gainwell,HB,PHI,17,72,75.8,43.2,45,,
Trai Turner,G,PIT,18,68.1,72.5,65.5,1150,,
Dan Moore Jr.,T,PIT,17,57.5,59.5,52,1147,,
Chukwuma Okorafor,T,PIT,17,62.2,61.1,65,1133,,
Kendrick Green,C,PIT,15,52.4,50.7,54.7,975,,60.05
Ben Roethlisberger,QB,PIT,17,53,,60,383,,
Colton McKivitz,T,SF,3,55.7,58.8,52.1,74,,
Nick Gates,C,NYG,2,63.9,50.5,68.6,74,,
Colby Gossett,G,ATL,6,65.3,45.7,70.3,74,,
Diontae Johnson,WR,PIT,17,73.2,,64.6,340,,
Auden Tate,WR,CIN,7,69.6,62.3,54.8,74,,
Zach Gentry,TE,PIT,18,66,78.2,63.1,315,,
Chase Claypool,WR,PIT,16,67.2,,60.4,285,,
Jacob Hollister,TE,JAX,7,51,61.3,52.2,73,,
Pat Freiermuth,TE,PIT,17,72.6,81.2,53,274,,
Najee Harris,HB,PIT,18,69.6,67,38.3,174,,
Ray-Ray McCloud III,WR,PIT,17,58,67.4,52.2,172,,
James Washington,WR,PIT,16,52.9,,48.2,122,,
Parker Hesse,TE,ATL,8,67.4,77.4,72.5,72,,
Derek Watt,FB,PIT,17,76.4,70.4,72,72,,
Kalen Ballage,HB,PIT,10,48.6,56.5,60,16,,
Benny Snell Jr.,HB,PIT,15,55.5,53.1,60,15,,
Quintez Cephus,WR,DET,5,71.7,,64,71,,
Duane Brown,T,SEA,17,71.5,69.9,69.6,969,,
Gabe Jackson,G,SEA,16,63.6,55.7,64.3,922,,
Damien Lewis,G,SEA,13,57.1,47.9,60.3,696,,
Ethan Pocic,C,SEA,11,67.3,43.8,76,600,,
Brandon Shell,T,SEA,10,67,60.4,69.6,550,,
Adam Prentice,FB,NO,7,68.4,80.7,67.4,70,,
Kyle Fuller,C,SEA,10,46.5,31.3,53.6,447,,
Jake Curhan,T,SEA,10,54,37.2,62.1,405,,61.925
Will Holden,T,DET,6,60.8,28,71.5,70,,
Johnny Mundt,TE,LA,6,64.9,78.3,71,69,,
Nick Leverett,G,TB,3,46.3,33.8,59.2,69,,
Will Dissly,TE,SEA,15,63.8,64.5,69.8,309,,
Ronnie Stanley,T,BLT,1,48.9,27.7,62.5,68,,
Cole Toner,G,HST,1,75.5,72.5,72.2,68,,
D.K. Metcalf,WR,SEA,17,80.9,65.4,55.2,290,,
Russell Wilson,QB,SEA,14,73.9,,60.1,285,,
Nick Harris,C,CLV,1,70,75.3,67.2,68,,
Drew Dalman,C,ATL,5,78.3,40.9,92.3,68,,
Hunter Long,TE,MIA,7,46,35,52.8,68,,
Tyler Lockett,WR,SEA,16,81,71.9,54.8,282,,
Gerald Everett,TE,SEA,15,63.5,76.8,57.2,269,,
Chris Myarick,TE,NYG,8,53.5,74.4,59,67,,
Landon Young,T,NO,2,46.3,32.3,65.8,67,,
Freddie Swain,WR,SEA,17,50.3,82.4,41.1,197,,
David Sharpe,T,BLT,3,56.2,56.3,51.9,67,,
Colby Parkinson,TE,SEA,12,60.5,65.7,63.3,127,,
Penny Hart,WR,SEA,16,62.7,,58.7,72,,
Eric Ebron,TE,PIT,8,48.4,76.1,49.2,66,,
D'Wayne Eskridge,WR,SEA,10,58.3,,41.9,71,,
Nick Boyle,TE,BLT,5,41.9,75.8,50.1,66,,
Juwann Winfree,WR,GB,7,48.2,,36.6,65,,
Antonio Brown,WR,TB,7,87.4,,58.3,65,,
Preston Williams,WR,MIA,8,59.2,,83,65,,
Ben Ellefson,TE,MIN,5,40.3,44.9,59.6,65,,
Travis Homer,HB,SEA,14,65.7,67.4,59.9,59,,
Alex Collins,HB,SEA,11,66,69,42.8,34,,
Rashaad Penny,HB,SEA,10,80.5,71,60.2,31,,
DeeJay Dallas,HB,SEA,14,62.6,61.5,60.6,17,,
Brycen Hopkins,TE,LA,7,60.9,30.8,46.7,63,,
Nick Bellore,FB,SEA,11,67.7,79.1,67.9,15,,
Laken Tomlinson,G,SF,20,73.6,69.2,75.3,1264,,
D'Ante Smith,T,CIN,4,52.3,43.1,55.6,62,,
Cam Newton,QB,CAR,8,53.3,,60.3,62,,
Alaric Jackson,T,LA,3,70.6,39.1,83,62,,
Daniel Brunskill,G,SF,20,57.1,48.2,59.6,1259,,
Alex Mack,C,SF,20,70.6,74.8,67.4,1258,,
Trent Williams,T,SF,18,96.6,82.7,97.7,1104,,
Tom Compton,T,SF,13,79.9,64.6,89.5,743,,69.25
George Kittle,TE,SF,17,90.7,76.4,73.6,519,,
Brandon Aiyuk,WR,SF,20,75.9,66,58.2,467,,
Jimmy Garoppolo,QB,SF,18,71.2,60.9,60,464,,
Kyle Juszczyk,FB,SF,20,64,80.4,59.1,386,,
Deebo Samuel,WR,SF,19,90.2,60.1,55,300,,
Charlie Woerner,TE,SF,20,71.3,75.1,73.7,216,,
Trent Sherfield,WR,SF,20,56.8,68.1,51.1,169,,
Jauan Jennings,WR,SF,19,66.2,,83.5,165,,
Ross Dwelley,TE,SF,17,53,26.3,62.1,117,,
Mike White,QB,NYJ,4,53.6,,60,58,,
Tory Carter,FB,TEN,8,72.9,57.8,74.2,55,,
Mohamed Sanu,WR,SF,8,63,,57.4,55,,
Elijah Mitchell,HB,SF,14,76.8,69.2,65.4,87,,
Jeff Wilson Jr.,HB,SF,10,60.8,86.7,53.3,71,,
Malcolm Brown,HB,MIA,7,61.5,91.7,60,54,,
Pharoh Cooper,WR,NYG,8,49.7,,39.9,54,,
Daniel Helm,TE,LV,9,59.9,78.2,59.3,54,,
Derrick Henry,HB,TEN,9,77.3,54.4,71.9,54,,
Trey Lance,QB,SF,6,59.9,,60.2,54,,
Richard Rodgers,TE,PHI,4,62.1,72.4,59.9,53,,
Brett Toth,C,PHI,4,69,60.2,69,53,,
Austin Schlottmann,C,DEN,3,44.3,26.3,49.3,52,,
Travis Benjamin,WR,SF,13,46.8,,43.2,27,,
JaMycal Hasty,HB,SF,14,61.3,19.9,76.8,24,,
Alex Cappa,G,TB,19,71.3,67.5,69,1327,,
Cyril Grayson,WR,TB,5,72.5,,59.6,51,,
Ryan Jensen,C,TB,19,68.3,57.1,77.1,1296,,
David Sills V,WR,NYG,4,51.3,65.7,56.8,51,,
Jordan Love,QB,GB,6,36.2,,60,50,,
Donovan Smith,T,TB,19,80.5,80.1,69.9,1292,,
DJ Chark Jr.,WR,JAX,4,65.9,,74.2,50,,
Tristan Wirfs,T,TB,18,84.3,83.8,74.4,1190,,
Tommy Hudson,TE,TEN,4,76.1,80.2,58.5,49,,
Ali Marpet,G,TB,18,82.7,75.6,85.6,1181,,
Caleb Benenoch,T,NO,1,57.3,46.3,61.6,49,,
Tom Brady,QB,TB,19,91.7,,60,381,,
Mekhi Becton,T,NYJ,1,67.3,59.7,78.7,48,,
Cedric Ogbuehi,T,BLT,1,68.6,62,70.3,48,,
Parris Campbell,WR,IND,6,62.5,,46.3,47,,
Cooper Rush,QB,DAL,5,56.7,,60,47,,
Mike Evans,WR,TB,18,75.4,,50.5,289,,
Rob Gronkowski,TE,TB,14,75.9,70.1,51.4,282,,
K.C. McDermott,G,JAX,3,66.3,77.2,69.9,46,,
Josh Wells,T,TB,18,64.6,59.2,67.8,247,,68.77
Corey Levin,G,TEN,7,52.4,7.3,59.7,46,,
Chris Godwin,WR,TB,14,81.3,69.6,74,244,,
O.J. Howard,TE,TB,19,50.1,31.4,44.4,231,,
Bryan Bulaga,T,LAC,1,55.8,45.2,61,45,,
Le'Veon Bell,HB,TB,8,63.3,57.5,62.9,45,,
Christian McCaffrey,HB,CAR,7,80.6,56.8,58.5,44,,
Kayode Awosika,G,PHI,1,79.7,31.7,86.1,43,,
Tyler Johnson,WR,TB,19,53.9,,48.2,231,,
Cameron Brate,TE,TB,19,57.2,48.3,52.7,161,,
Brandon Allen,QB,CIN,6,42.3,,60,43,,
P.J. Walker,QB,CAR,5,52,,60.3,42,,
Breshad Perriman,WR,TB,7,57.2,,69.3,41,,
Jalen Camp,WR,HST,3,50.6,66.2,62.9,40,,
Leonard Fournette,HB,TB,15,75.1,56.3,43.4,67,,
Quinn Bailey,T,DEN,2,66.2,60.3,65.8,40,,
Dez Fitzpatrick,WR,TEN,4,64.7,,53.6,39,,
Shane Zylstra,TE,DET,3,53.5,71.5,39.9,39,,
Sutton Smith,FB,LV,7,38.8,55,40.8,39,,
Curtis Samuel,WR,WAS,5,66,,67.3,39,,
Chris Hubbard,T,CLV,1,51,42.9,53.2,39,,
Nick Bawden,FB,NYJ,8,73.2,73.6,74.9,38,,
Scott Miller,WR,TB,10,56.1,,60.4,46,,
Cody White,WR,PIT,8,60.1,,84,38,,
Chris Hogan,WR,NO,5,69.2,,59.9,38,,
Jake Fromm,QB,NYG,3,38.5,,60.5,38,,
Giovani Bernard,HB,TB,14,65.1,64.5,60,28,,
Jaelon Darden,WR,TB,10,52,,59.2,28,,
Ronald Jones,HB,TB,16,62.3,12.4,60,16,,
David Quessenberry,T,TEN,18,79.1,61.6,86.5,1237,,
Dazz Newsome,WR,CHI,3,48.1,,43.1,36,,
Ben Jones,C,TEN,18,76.4,66.3,79.9,1213,,
Kareem Hunt,HB,CLV,8,74.4,66.9,59.6,36,,
Nate Davis,G,TEN,15,69.2,49.5,71.8,1004,,
Rodger Saffold,G,TEN,16,68.1,46.7,74.5,906,,
Andre Smith,T,BLT,1,58.4,81.4,55.3,35,,
Taylor Lewan,T,TEN,14,70,70.2,64,899,,
Dezmon Patmon,WR,IND,8,65.2,,75.1,35,,
Geoff Swaim,TE,TEN,17,55.6,56.8,53.6,556,,
Ryan Tannehill,QB,TEN,18,83.7,60.9,60.7,524,,
Aaron Brewer,G,TEN,13,57.9,48.7,62.6,506,,67.175
Kristian Wilkerson,WR,NE,3,61.5,,67.9,34,,
James Carpenter,G,NO,3,64.5,73.1,61.8,34,,
MyCole Pruitt,TE,TEN,16,71.5,62.6,62.7,339,,
Ja'Marcus Bradley,WR,CLV,3,64.7,66.2,70.8,33,,
Nick Bowers,TE,LV,5,52,68.3,57,33,,
Nick Westbrook-Ikhine,WR,TEN,17,68,64.5,60.8,313,,
Ty'Son Williams,HB,BLT,8,62.8,89.5,53.5,31,,
Jordan Simmons,G,LV,3,48.6,39.6,52.2,31,,
Keith Kirkwood,WR,CAR,3,50.3,,52,31,,
A.J. Brown,WR,TEN,14,86.3,,61.2,255,,
Robert Hainsey,C,TB,4,65.7,78.2,63.3,31,,
Cameron Batson,WR,TEN,3,65.2,,69.8,30,,
Deonte Brown,G,CAR,2,48.4,29.5,54.2,30,,
Julio Jones,WR,TEN,11,76.5,,58,155,,
Jared Pinkney,TE,DET,2,42.2,80.7,38.4,29,,
Mason Rudolph,QB,PIT,2,74.2,,60,29,,
Chester Rogers,WR,TEN,17,57,,50.6,136,,
Danny Amendola,WR,HST,8,63.1,,42.2,28,,
Nick Foles,QB,CHI,1,60.2,,60.3,28,,
Anthony Firkser,TE,TEN,16,54.3,33.1,55.1,116,,
KJ Hamler,WR,DEN,3,65.4,,57.3,28,,
Gabe Nabers,FB,LAC,9,59,8.8,48.2,28,,
Derek Carrier,TE,LV,6,58.6,74,58.6,28,,
Khari Blasingame,FB,TEN,12,48.4,75.2,65.2,67,,
Sammis Reyes,TE,WAS,7,50.5,69.3,53.4,28,,
Dontrell Hilliard,HB,TEN,8,59.9,31.7,58.1,28,,
Jeremy McNichols,HB,TEN,14,60.4,27.7,60,67,,
Racey McMath,WR,TEN,10,48.7,,59,60,,
Kevin Rader,TE,PIT,7,58.8,67.1,64.8,27,,
D'Onta Foreman,HB,TEN,10,72.1,60.7,49.1,32,,
David Bakhtiari,T,GB,1,75.2,72.7,75.4,27,,
Charles Leno Jr.,T,WAS,17,81.2,87.3,63.5,1121,,
Qadree Ollison,HB,ATL,7,56.6,28.6,60,26,,
Patrick Laird,HB,MIA,6,67.5,66.3,60,26,,
Josh Johnson,QB,BLT,4,73.3,,60,26,,
Ereck Flowers,G,WAS,16,72,78.1,64.4,1061,,
Trenton Irwin,WR,CIN,7,58.3,,86,25,,
C.J. Board,WR,NYG,6,61.4,,76.3,25,,
Phillip Dorsett,WR,HST,6,62.9,,60.5,25,,
Larry Rountree III,HB,LAC,8,45.1,48.5,60,25,,
Nick Mullens,QB,CLV,1,69.2,,60,25,,
Brandon Scherff,G,WAS,11,73.6,72.4,73.7,697,,
Cornelius Lucas,T,WAS,11,75.2,73.5,71.2,587,,
Wes Schweitzer,G,WAS,11,78.7,65.9,85.6,401,,67.30769231
Lachavious Simmons,T,CHI,2,30.6,0,64.1,23,,
Terry McLaurin,WR,WAS,17,78.3,,59.2,388,,
Jordan Howard,HB,PHI,8,75.6,44.3,70.7,23,,
Trey Sermon,HB,SF,5,64.6,39.6,53.7,23,,
Matt Farniok,G,DAL,3,80,72,77.8,23,,
Kenny Yeboah,TE,NYJ,3,59.7,77.2,40.2,23,,
Ke'Shawn Vaughn,HB,TB,7,65.2,79.3,59.9,22,,
Anthony Miller,WR,PIT,3,61.9,,62.1,22,,
Taylor Heinicke,QB,WAS,16,59.4,,60,383,,
Eno Benjamin,HB,ARZ,9,65.1,46.6,59.8,22,,
John Bates,TE,WAS,17,70.7,55.4,87.6,294,,
Kevin White,WR,NO,6,55.6,,58.6,22,,
Will Fries,G,IND,2,54.8,44,56.6,22,,
Joshua Miles,T,ARZ,5,61.9,81.3,56.4,21,,
Blaine Gabbert,QB,TB,6,70.6,,60,21,,
Mike Strachan,WR,IND,5,61.7,,62.8,21,,
Ross Travis,TE,DET,4,48.7,65.9,50.7,21,,
Ryan Izzo,TE,TEN,2,56.6,45.9,61.1,21,,
Garrett Gilbert,QB,WAS,1,59.7,,60,21,,
Shi Smith,WR,CAR,6,61.4,,72.1,20,,
Seth Williams,WR,DEN,2,54.3,,52.1,20,,
Willie Snead IV,WR,CAR,9,53.8,,33.9,20,,
Miles Boykin,WR,BLT,6,53.7,,52.5,20,,
Duke Johnson Jr.,HB,MIA,5,72.1,85.6,41.4,19,,
Malik Taylor,WR,GB,8,57.8,,35.3,19,,
Joe Flacco,QB,NYJ,2,62.1,,60,19,,
Jordan Veasy,WR,HST,2,62.2,,71.7,19,,
Cam Akers,HB,LA,5,43.7,62.7,60,19,,
DeAndre Carter,WR,WAS,17,63.7,,62.3,215,,
Brian Hoyer,QB,NE,5,83.6,,60,18,,
Derrick Kelly II,G,NYG,1,51.5,,61.8,18,,
Geronimo Allison,WR,DET,3,50.7,,57.1,18,,
Ian Book,QB,NO,1,54.1,,60,18,,
Jody Fortson,TE,KC,6,78.8,73.2,85.8,18,,
Jason Moore,WR,LAC,2,64.1,,57.2,18,,
Noah Togiai,TE,PHI,1,57.1,73,60.2,18,,
John Wolford,QB,LA,3,40.2,,60,17,,
Ricky Seals-Jones,TE,WAS,13,62.3,67,56.3,207,,
Tre'Vour Wallace-Simms,G,JAX,1,35.1,48.7,35.5,17,,
Patrick Taylor,HB,GB,6,79,75.7,60,17,,
Denzelle Good,G,LV,1,50.6,42.7,53.4,17,,
Keaton Sutherland,C,CIN,1,60.3,80.1,55.4,17,,
Shane Lemieux,G,NYG,1,69,81.5,63,17,,
Tyler Mabry,TE,SEA,6,62.1,72.9,66.1,17,,
Peyton Barber,HB,LV,9,68.6,85.8,60,16,,
Adam Humphries,WR,WAS,17,58.1,,49.6,190,,
Craig Reynolds,HB,DET,5,76.5,58.3,60.2,16,,
Matthew Slater,WR,NE,9,60.3,,60,16,,
Corey Clement,HB,DAL,9,67,83.7,57.1,16,,
Dyami Brown,WR,WAS,15,55.5,,43.2,121,,
Brian Winters,G,ARZ,2,29.6,6.9,40.3,16,,
Cam Sims,WR,WAS,14,62.6,,51.4,104,,
Antonio Gibson,HB,WAS,16,63.3,45.4,58.9,71,,
Sam Ehlinger,QB,IND,3,67.6,,60,15,,
Ihmir Smith-Marsette,WR,MIN,6,64.3,,39.4,15,,
Josh Rosen,QB,ATL,4,24.1,,60,15,,
Ethan Wolf,TE,NO,2,55.3,70.5,55.3,15,,
Dax Milne,WR,WAS,13,57.8,,74.5,66,,
J.D. McKissic,HB,WAS,11,69.5,66.3,58.3,64,,
Stone Forsythe,T,SEA,1,68.1,74.3,66.4,14,,
Jonathan Ward,HB,ARZ,8,83.2,26.6,72.4,14,,
Jaydon Mickens,WR,JAX,7,63.3,,52.4,14,,
Tyrell Williams,WR,DET,1,58.7,,56,14,,
James White,HB,NE,3,78.1,70.2,60,14,,
Jacob Harris,WR,LA,3,41,,39.9,13,,
Dante Pettis,WR,NYG,3,68.3,,60.7,13,,
Matt Breida,HB,BUF,9,70.9,22.3,59.9,13,,
Kyle Allen,QB,WAS,2,65.9,,60,13,,
Danny Isidora,G,ARZ,3,65.3,,63.8,13,,
Tyrie Cleveland,WR,DEN,5,51.9,,55.1,13,,
Chris Carson,HB,SEA,4,70.7,35,59.4,13,,
Austin Blythe,C,KC,4,60,,59.6,12,,
David Wells,TE,ARZ,3,42.6,65.8,47,12,,
Mitch Trubisky,QB,BUF,7,68.4,,60,12,,
Casey Tucker,T,PHI,1,55.2,16.5,67.3,12,,
Will Fuller V,WR,MIA,2,61.4,,59.8,12,,
Alex Armah,FB,WAS,11,57.4,74.8,53,50,,
Marvin Hall,WR,ATL,2,71.4,,59.4,11,,
Tutu Atwell,WR,LA,3,60.7,,60.9,10,,
Temarrick Hemingway,TE,WAS,1,55.7,,55.4,10,,
Dillon Stoner,WR,LV,4,46.6,,61,10,,
Jaret Patterson,HB,WAS,15,62.4,51.2,60,22,,
Codey McElroy,TE,TB,2,37.3,,58.7,10,,
