player,player_id,position,team_name,player_game_count,grades_offense,grades_pass_block,grades_run_block,snap_counts_block,,
Marquez Callaway,42295,WR,NO,14,59.7,,59.8,200,,
Chase Claypool,42312,WR,CHI,15,61.8,69.6,45.6,200,,
Zach Wilson,82096,QB,NYJ,9,46.6,,60.2,198,,
Trent Sherfield,48021,WR,MIA,18,61.5,69,78.1,198,,
Romeo Doubs,84329,WR,GB,13,62.6,,57,197,,
Chigoziem Okonkwo,84000,TE,TEN,17,75.4,67.6,55.3,196,,
Yodny Cajuste,46297,T,NE,7,65.7,53.6,72.4,196,,
Jauan Jennings,48027,WR,SF,19,68.1,57,56.2,196,,
Dante Pettis,48113,WR,CHI,17,53.3,75.3,50.8,196,,
Tyler Kroft,9518,TE,SF,13,64.9,46.2,72.7,193,,
Eric Saubert,11929,TE,DEN,17,50.4,55.1,56.5,192,,
Allen Robinson II,8696,WR,LA,10,65.8,67.6,68.9,190,,
David Bell,97989,WR,CLV,16,52.5,69.2,52.5,190,,
Isaiah Hodgins,52130,WR,NYG,12,76.9,,63.3,189,,
Teagan Quitoriano,84036,TE,HST,9,49.4,55.4,44,189,,
DeAndre Carter,9859,WR,LAC,18,61.6,68.8,31.2,189,,
Olisaemeka Udoh,28394,T,MIN,9,74.7,79.5,69.1,189,,
Peyton Hendershot,60915,TE,DAL,18,57.2,51.4,54.5,189,,
Matt Farniok,41585,G,DAL,7,39.1,31.4,41.7,188,,
Jeremiah Kolone,46167,C,LA,3,36.1,19.8,46.7,188,,
Charles Leno Jr.,8880,T,WAS,17,71.6,80.9,55.9,1189,,
Sam Darnold,29048,QB,CAR,6,63,,60,188,,
Van Jefferson,47447,WR,LA,11,68.4,,62.6,188,,
Austin Hooper,10715,TE,TEN,17,68.8,24.2,46.7,187,,
DJ Chark Jr.,47702,WR,DET,11,69.6,,52.1,183,,
John Simpson,41715,G,LV,3,59.5,57.4,58.3,181,,
O.J. Howard,11774,TE,HST,13,56.2,47.5,49.4,178,,
Richie James,28991,WR,NYG,17,72,68.1,55.8,178,,
Matthew Stafford,4924,QB,LA,9,67,,60,178,,
Charlie Woerner,42257,TE,SF,19,44.1,68.6,51.2,176,,
Tyquan Thornton,78092,WR,NE,13,55.2,,59.8,175,,
Rashawn Slater,59971,T,LAC,3,84,72.8,88,175,,
Cooper Kupp,11824,WR,LA,9,86.3,77.6,50.7,174,,
Jackson Carman,52575,T,CIN,4,58.3,67.2,48.9,172,,
Daniel Faalele,81734,T,BLT,6,51.7,49.6,50.5,172,,
Zach Ertz,7816,TE,ARZ,10,62.5,29.6,50.1,171,,
Grant Calcaterra,60997,TE,PHI,17,60.9,73.3,61.7,169,,
Saquon Barkley,45791,HB,NYG,18,80.3,71.1,56.2,169,,
A.J. Green,6156,WR,ARZ,15,55.6,,55,169,,
Cole Turner,84330,TE,WAS,10,52.9,64.4,60.2,167,,
Keenan Allen,7857,WR,LAC,11,84.4,72.2,53.8,167,,
Najee Harris,57121,HB,PIT,17,73.5,64.4,47.5,165,,
Sammy Watkins,8639,WR,BLT,13,62.2,,62.6,165,,
Nelson Agholor,9453,WR,NE,16,56.4,76.5,34.9,165,,
DeAndre Hopkins,7808,WR,ARZ,9,72.9,,46.7,165,,
Hayden Hurst,47294,TE,CIN,16,64.5,41,58.7,165,,
Dalvin Cook,11796,HB,MIN,18,68,48.7,57.3,164,,
Carson Wentz,10636,QB,WAS,8,60.6,,60,163,,
Greg Dulcich,84068,TE,DEN,10,60.4,27.7,33.8,163,,
Quinn Bailey,46669,G,DEN,4,56.3,62.6,54.9,162,,
Andrew Norwell,9126,G,WAS,16,59.8,60.8,59.9,1120,,
Kylen Granson,40630,TE,IND,13,58.5,47.8,37.5,161,,
Lester Cotton,46085,G,MIA,3,59.1,72.3,48.3,161,,
Phillip Dorsett,9462,WR,HST,15,55.7,,41.9,158,,
Chris Olave,84355,WR,NO,15,82.5,,57.6,157,,
Matt Hennessy,41141,G,ATL,3,75.4,69,82.6,157,,
Nick Martin,10684,C,WAS,3,42.6,30.7,55.4,156,,
Skyy Moore,97116,WR,KC,19,67.7,,63.8,156,,
Kayode Awosika,44909,G,DET,4,50.4,41.6,52.6,155,,
Rashaad Coward,12168,G,ARZ,3,46.7,66.4,37.7,155,,
Devin Asiasi,40294,TE,CIN,14,45.9,58.6,53.7,155,,
Devin Singletary,40485,HB,BUF,18,78.6,73.2,65.3,153,,
Rondale Moore,62890,WR,ARZ,8,63.4,,56.9,153,,
Robbie Chosen,11254,WR,ARZ,16,51.2,,36.4,151,,
Cooper Rush,12324,QB,DAL,9,56.5,,60,151,,
Justin McCray,9234,G,HST,7,41.4,25.4,55.4,151,,
Josiah Deguara,47034,TE,GB,17,57.2,34.3,48.2,151,,
Chase Roullier,11954,C,WAS,2,56.3,60.4,52.6,150,,
Jack Anderson,60130,G,NYG,6,47.9,49.6,55.2,148,,
Russell Gage,44771,WR,TB,14,65.3,,62.7,147,,
Shi Smith,61643,WR,CAR,16,52.1,,47.1,145,,
Trevon Wesco,42018,TE,CHI,14,66.7,78,68.5,145,,
Kendall Hinton,34045,WR,DEN,12,58.5,,45.4,145,,
Deshaun Watson,11767,QB,CLV,6,54.7,,60,144,,
Cam Sims,47908,WR,WAS,17,50.4,,42.5,144,,
Isaiah McKenzie,11927,WR,BUF,16,66,,51.2,143,,
Andrew Beck,47121,FB,DEN,13,48.4,61.3,50.8,143,,
Quintin Morris,61182,TE,BUF,16,45.5,52.9,45,142,,
Khalil Shakir,84140,WR,BUF,16,65.6,52.8,40.6,141,,
Greg Dortch,42237,WR,ARZ,16,64.2,,30.8,139,,
Khari Blasingame,44889,FB,CHI,16,59.6,79.4,63.7,139,,
Damiere Byrd,9964,WR,ATL,14,66.6,,59.6,138,,
Nico Collins,61441,WR,HST,10,72.4,,63.1,136,,
Miles Sanders,40555,HB,PHI,20,71.1,37.7,55.7,135,,
Isaiah Likely,83955,TE,BLT,17,65,35.5,76.5,134,,
Mitch Trubisky,11757,QB,PIT,7,76.6,,60.2,134,,
David Montgomery,45719,HB,CHI,16,67.9,57.4,59.8,134,,
P.J. Walker,12134,QB,CAR,6,64.4,,60.2,132,,
Troy Hairston,65088,FB,HST,16,48.4,53.6,51.7,132,,
David Sills V,34579,WR,NYG,9,55.9,75.1,46.3,131,,
James Conner,11860,HB,ARZ,13,69.7,73.8,54.9,128,,
Stone Forsythe,41795,T,SEA,5,35.3,31.1,42.7,128,,
C.J. Ham,11347,FB,MIN,18,59.8,54.7,43.7,127,,
Nick Vannett,10728,TE,NYG,11,44.3,28.6,43,127,,
Byron Pringle,42345,WR,CHI,11,62.9,71.6,55.8,127,,
Tyler Davis,47743,TE,GB,17,56.7,53.9,62.7,127,,
Gunner Olszewski,95015,WR,PIT,15,57.6,,64,126,,
Kendrick Bourne,12270,WR,NE,16,63.6,,29.8,125,,
Trevor Penning,59963,T,NO,6,73.6,38.7,80.2,124,,
Tyler Huntley,46448,QB,BLT,7,55.3,,60.3,124,,
Brevin Jordan,77887,TE,HST,11,53.7,55.3,44.3,124,,
Brandon Powell,48036,WR,LA,17,65.8,74.3,49.6,124,,
Treylon Burks,99218,WR,TEN,11,74.1,,75.8,124,,
Chris Reed,9830,C,MIN,2,54.3,70.7,56.9,124,,
Maxx Williams,9488,TE,ARZ,11,56.6,56.6,63.1,123,,
Trai Turner,8727,G,WAS,13,53,59.1,52.7,766,,
Rhamondre Stevenson,98689,HB,NE,17,81.3,64.8,49,122,,
Desmond Ridder,55086,QB,ATL,4,55.9,,60.2,122,,
Sean McKeon,42266,TE,DAL,15,47.8,81,45.8,121,,
Tony Pollard,27126,HB,DAL,18,90.2,74.9,58.4,120,,
Christian McCaffrey,11763,HB,SF,20,90.4,51.8,55.6,117,,
Marcus Johnson,11074,WR,NYG,16,55,,62.1,117,,
Matt Peart,46179,T,NYG,5,49.2,43.8,64.7,117,,
Cody Hollister,12052,WR,TEN,11,61.7,65.2,59.7,116,,
KhaDarel Hodge,26104,WR,ATL,17,77,,68.3,116,,
Lawrence Cager,34914,TE,NYG,9,57.4,43.9,59.5,115,,
Le'Raven Clark,10716,T,TEN,5,57.2,60.1,52.1,114,,
Jelani Woods,60509,TE,IND,15,64.9,33.1,50.3,114,,
Jerick McKinnon,8731,HB,KC,20,57.5,28.6,46.9,114,,
Steven Sims,48341,WR,PIT,12,55,,53.2,113,,
Tutu Atwell,77965,WR,LA,13,70.1,,64.5,113,,
Travis Etienne Jr.,57185,HB,JAX,19,76.7,45.6,56.2,113,,
Ryan Griffin,7982,TE,CHI,15,52.7,64.5,60.1,112,,
Keelan Cole Sr.,51593,WR,LV,14,47.9,70,32.6,111,,
Randall Cobb,6216,WR,GB,13,70.1,36.3,45.4,111,,
Samaje Perine,11869,HB,CIN,19,72.9,73.8,55.5,110,,
Dan Feeney,11826,G,NYJ,4,51.8,64.1,56.5,109,,
Kevin Rader,30887,TE,TEN,14,61.7,70,61.5,109,,
Ray-Ray McCloud III,47895,WR,SF,19,68.9,62.4,47.4,108,,
Alvin Kamara,11822,HB,NO,15,72.7,20.2,62.4,108,,
Malik Willis,60341,QB,TEN,8,51.9,,60.6,108,,
Josh Jacobs,45953,HB,LV,17,91.6,56.3,67.3,107,,
Joe Mixon,11803,HB,CIN,17,80.8,34.9,56.9,107,,
James Mitchell,77885,TE,DET,14,66.9,82.7,42.8,106,,
Laviska Shenault Jr.,61220,WR,CAR,13,85,,78.6,105,,
Mike Gesicki,47153,TE,MIA,18,60.5,54.9,42.3,104,,
Cameron Brate,9207,TE,TB,12,53.4,79.1,51.1,103,,
Miles Boykin,48209,WR,PIT,14,63.1,62.1,73.8,103,,
Trenton Irwin,48080,WR,CIN,12,63.6,,31.7,102,,
Denzel Mims,47800,WR,NYJ,10,59.8,,67.7,102,,
Kenny Golladay,11851,WR,NYG,14,55.6,,60.1,101,,
Rashid Shaheed,63707,WR,NO,12,80.8,,57.6,101,,
Marquise Goodwin,7859,WR,SEA,13,64.5,65.8,59.1,101,,
Michael Carter,57337,HB,NYJ,16,61.3,30.2,59.4,101,,
Reggie Gilliam,40951,FB,BUF,17,60.1,75.1,55.8,100,,
Giovanni Ricci,13756,TE,CAR,15,63.6,76.4,60.5,99,,
Cedrick Wilson Jr.,48170,WR,MIA,16,64.3,,67.7,99,,
Braxton Berrios,47961,WR,NYJ,16,62.8,,48.2,98,,
Ashton Dulin,91479,WR,IND,12,71.6,67.1,72.7,97,,
Tyler Allgeier,83639,HB,ATL,16,86.7,56.7,51.9,96,,
Dan Arnold,51842,TE,JAX,18,60.1,27.7,54.9,96,,
Irv Smith Jr.,42060,TE,MIN,9,56.4,44.4,56.2,96,,
Ben Cleveland,41696,G,BLT,3,65.2,64.9,62.6,95,,
Armani Rogers,40034,TE,WAS,11,59.4,23.8,52.9,95,,
Amari Rodgers,61212,WR,HST,14,62.1,,54.8,94,,
Adam Prentice,35639,FB,NO,11,54,76.5,52.8,93,,
Skylar Thompson,60417,QB,MIA,8,55.4,,60.3,92,,
Sua Opeta,45110,G,PHI,5,38.1,57.1,40.8,92,,
Tom Kennedy,94379,WR,DET,7,59.3,65.7,32.9,90,,
Luke Wattenberg,41024,G,DEN,4,33.7,20.8,40.1,90,,
Jordan Akins,47050,TE,HST,15,72.4,61.3,51.6,90,,
Kareem Hunt,11841,HB,CLV,17,67,54.6,51.6,90,,
Justice Hill,45865,HB,BLT,16,60.8,54.7,55.4,89,,
Bailey Zappe,60396,QB,NE,4,67.1,,60,89,,
Shane Zylstra,143786,TE,DET,13,59.2,25.3,74.9,89,,
Kenneth Walker III,97199,HB,SEA,16,76.9,29.5,33.8,88,,
Mike White,46453,QB,NYJ,4,61.3,,60,88,,
Connor Heyward,57301,TE,PIT,17,74.1,31.6,55.5,87,,
N'Keal Harry,48297,WR,CHI,7,65.1,,51.3,87,,
Ezekiel Elliott,10638,HB,DAL,17,68.3,61.1,75.4,87,,
Wan'Dale Robinson,101735,WR,NYG,6,72,,71.3,87,,
Jody Fortson,94384,TE,KC,15,62.8,29.4,67.7,87,,
Julio Jones,6158,WR,TB,11,66,,61.6,86,,
Donald Parham Jr.,91014,TE,LAC,7,76.6,35.4,63.1,85,,
Darren Waller,9637,TE,LV,9,72.4,36,49.3,85,,
Storm Norton,12188,T,LAC,8,43,34.5,51.3,85,,
Luke Farrell,42353,TE,JAX,18,70.6,78.7,56.4,84,,
Antonio Gibson,78050,HB,WAS,15,76.3,75.1,57.2,84,,
Austin Jackson,60816,T,MIA,2,57.9,54.6,57.5,84,,
Jaylen Warren,98692,HB,PIT,16,73.8,43.4,66.5,84,,
Brycen Hopkins,47338,TE,LA,14,63.6,57.7,62.7,84,,
Mecole Hardman Jr.,42683,WR,KC,9,68.2,,60.4,83,,
Hunter Long,60859,TE,MIA,10,57.5,50.5,58.6,83,,
Kenneth Gainwell,77737,HB,PHI,20,63.5,46.7,53.3,83,,
Breshad Perriman,9459,WR,TB,11,51.7,,40.3,82,,
Tim Jones,61669,WR,JAX,17,50.8,,57.4,82,,
Sam Ehlinger,60555,QB,IND,4,57.2,,60.3,82,,
Stephen Anderson,11160,TE,ARZ,15,33.9,19.6,55.5,82,,
Lil'Jordan Humphrey,42247,WR,NE,5,57.8,,80.5,82,,
Ryan Jensen,7985,C,TB,1,28.9,13.3,50.4,82,,
Dareke Young,111900,WR,SEA,14,58.4,71.9,55.2,81,,
Aaron Jones,11937,HB,GB,17,86.1,50.6,60.2,81,,
Tanner Hudson,66924,TE,NYG,11,60.1,30,60.9,81,,
Jarvis Landry,8698,WR,NO,9,67.3,,63.4,80,,
Matt Breida,12271,HB,NYG,19,69.5,69.4,50.5,80,,
Joe Flacco,4332,QB,NYJ,5,53.3,,60,80,,
Keith Kirkwood,48017,WR,NO,5,54.5,,90.5,80,,
Nick Chubb,45783,HB,CLV,17,90.3,61.8,55.7,80,,
Michael Dunn,39676,T,CLV,7,61.1,79.5,61.5,80,,
AJ Dillon,57165,HB,GB,17,81.4,70.3,69.3,80,,
Derrick Henry,10679,HB,TEN,16,85.9,66.9,79.7,80,,
Austin Ekeler,12164,HB,LAC,18,79.9,29.5,59.6,79,,
Jason Cabinda,50714,FB,DET,8,48.5,52.1,58.3,78,,
Kenyan Drake,10707,HB,BLT,12,53.1,45.1,41.5,78,,
Leonard Fournette,11759,HB,TB,17,66.4,27,46.8,78,,
River Cracraft,47417,WR,MIA,12,75.1,,72.4,78,,
Dameon Pierce,83659,HB,HST,13,78.9,32.3,46.2,78,,
Dyami Brown,77986,WR,WAS,15,65.8,,37.7,78,,
Lewis Kidd,59892,G,NO,9,29.6,12.5,41,77,,
Taysom Hill,12112,TE,NO,16,75.6,80.6,60.6,76,,
Jeff Wilson Jr.,29413,HB,MIA,17,65.7,40.9,45.6,75,,
Velus Jones Jr.,40573,WR,CHI,11,64.9,,66.7,75,,
Rachaad White,131633,HB,TB,18,68.2,48.9,68.6,72,,
Cornelius Lucas,9025,T,WAS,15,67.7,63.5,70,671,,
Colton McKivitz,29314,T,SF,7,69.4,85.9,57.7,71,,
Mike Thomas,10840,WR,CIN,10,49.2,,68.7,71,,
Brett Rypien,46487,QB,DEN,4,46.4,,60,71,,
AJ Arcuri,44757,T,LA,3,48.6,34.2,54.8,70,,
Laurent Duvernay-Tardif,8834,G,NYJ,2,42,25.3,50.1,70,,
Zander Horvath,57384,FB,LAC,15,55.1,40.7,60.1,70,,
Richard Rodgers,8733,TE,LAC,10,44.8,82.3,42.7,70,,
Justin Britt,8699,C,HST,1,44.6,71.2,48.5,70,,
Stanley Morgan,48110,WR,CIN,17,65.3,68.1,84.7,69,,
Jake Hanson,28148,G,GB,3,47.2,20.6,61,69,,
J.P. Holtz,11062,TE,NO,6,34.9,71.3,29.7,69,,
Chris Conley,9509,WR,TEN,9,53.8,,54.6,69,,
Hunter Renfrow,47509,WR,LV,10,65.6,,62,69,,
Cam Akers,57206,HB,LA,15,80.7,73.9,58.1,68,,
Jamaal Williams,11889,HB,DET,17,73.4,72.3,46.4,68,,
Hroniss Grasu,9504,G,LV,1,56.1,63.2,59.4,68,,
Matt Nelson,48584,T,DET,9,46.3,53.1,47.9,67,,
Latavius Murray,7962,HB,DEN,13,82.5,43.6,55,67,,
Jeff Smith,48055,WR,NYJ,11,70.2,,48.9,66,,
Brandon Johnson,40666,WR,DEN,7,51.8,,55.6,66,,
Gardner Minshew,41401,QB,PHI,7,56.3,,60,66,,
Chris Paul,77579,G,WAS,1,55.6,56.9,55,66,,
D'Wayne Eskridge,29573,WR,SEA,9,54.1,62.4,48.7,65,,
Joshua Kelley,13750,HB,LAC,14,62.2,50.4,60,64,,
Chuba Hubbard,57373,HB,CAR,15,76.6,45.9,49.3,64,,
JaMycal Hasty,25582,HB,JAX,18,71.3,71.2,51.7,64,,
Taylor Lewan,8646,T,TEN,2,67.3,79.4,64.5,64,,
Danny Gray,121926,WR,SF,15,53.5,,65.2,62,,
Michael Burton,9601,FB,KC,18,70.4,67.5,71,62,,
Dieter Eiselen,109304,G,CHI,3,45.5,31.9,50.5,62,,
Laquon Treadwell,10657,WR,SEA,7,55.9,,64,62,,
Rashod Bateman,84296,WR,BLT,6,61.6,,58.9,62,,
Michael Bandy,91824,WR,LAC,11,52.7,74.9,56.3,61,,
Mike Remmers,7431,T,NYJ,3,51,59.9,50.4,61,,
Trent Taylor,11932,WR,CIN,16,53.8,65.7,67.1,61,,
Prince Tega Wanogho,44820,T,KC,6,68.4,63.6,68.8,60,,
Colt McCoy,5609,QB,ARZ,4,62.1,,60,59,,
Andre Dillard,29250,G,PHI,7,58.3,84.7,55,58,,
Scott Miller,47481,WR,TB,15,55.6,,68.3,58,,
Jonathan Taylor,57488,HB,IND,11,67.6,28.5,58.3,58,,
KJ Hamler,61590,WR,DEN,7,57.5,,74,58,,
Alexander Mattison,45817,HB,MIN,18,71.5,61.4,60,57,,
Khalil Herbert,41668,HB,CHI,13,72.5,54.4,55.2,57,,
Jimmy Morrissey,41626,G,HST,3,54.4,67.4,50.5,57,,
Jameis Winston,9434,QB,NO,3,65.3,,62.1,57,,
Sterling Shepard,10674,WR,NYG,3,58.5,,52.2,57,,
Kadarius Toney,61245,WR,KC,12,78,,50.9,56,,
Joshua Dobbs,11890,QB,TEN,2,62.3,,60,56,,
Nick Boyle,9604,TE,BLT,9,60.8,24.3,64.3,56,,
Raheem Mostert,9783,HB,MIA,16,75.7,54.1,39.2,55,,
Chuma Edoga,46232,G,ATL,1,77.8,62.5,84.9,55,,
Kyle Fuller,11998,C,SEA,3,56.3,50.7,56.9,54,,
Darrell Henderson,41193,HB,JAX,10,57.7,61.7,56.9,54,,
Michael Jordan,28021,G,CAR,2,32.5,25.6,38.4,54,,
Kevin White,9440,WR,NO,7,54.4,,66.3,53,,
Michael Woods II,84117,WR,CLV,10,53.5,75.6,52.3,53,,
Derek Watt,10832,FB,PIT,17,73.4,73.9,51.4,53,,
Mike Strachan,143358,WR,IND,13,61.7,,69.8,53,,
Cordarrelle Patterson,7810,HB,ATL,13,81,59.5,51,52,,
James Proche II,48037,WR,BLT,15,44.6,,33.7,52,,
Brian Robinson,57120,HB,WAS,12,82.5,46.9,45.2,52,,
Mark Ingram II,6180,HB,NO,10,63.3,59,65.4,51,,
Zack Moss,40341,HB,IND,13,71.1,62.3,60.1,51,,
Chase Edmonds,45851,HB,DEN,13,50.8,29.3,68.5,51,,
James Cook,83666,HB,BUF,18,73.2,26.9,52.2,50,,
Trystan Colon,41117,G,BLT,2,72,75.7,68,49,,
Eno Benjamin,57136,HB,NO,14,72.2,57.5,51,49,,
Teddy Bridgewater,8667,QB,MIA,5,71.2,,60,49,,
Avery Williams,42873,HB,ATL,15,61.1,22.4,58.4,49,,
Ross Dwelley,20994,TE,SF,11,60.3,53.5,52.8,49,,
Demetric Felton Jr.,40568,WR,CLV,5,50.8,,49.1,48,,
Tory Carter,57063,FB,TEN,6,56.9,66.5,56.3,48,,
Jeff Driskel,10841,QB,HST,7,68,,60.9,48,,
Anthony Firkser,51837,TE,ATL,11,59.1,80.3,53.3,47,,
Freddie Swain,26448,WR,DEN,4,61.8,,57.1,47,,
Nyheim Hines,48103,HB,BUF,18,63.4,73.4,55.8,47,,
Tommy Sweeney,47216,TE,BUF,5,56.3,21.4,61.1,47,,
J.C. Hassenauer,45600,C,PIT,3,64,56.7,66.2,46,,
Dax Milne,84147,WR,WAS,13,60.8,,53.9,46,,
Jalen Tolbert,61637,WR,DAL,8,48.7,62.3,53.1,46,,
Gus Edwards,46027,HB,BLT,10,82.7,59.5,58.4,46,,
Cade Mays,81995,G,CAR,7,62.6,51.4,64,46,,
Jarrett Stidham,13725,QB,LV,5,62.2,,60,45,,
Boston Scott,39462,HB,PHI,18,62.3,60.8,53.2,45,,
Stephen Sullivan,40411,TE,CAR,14,54.8,75.7,60.7,44,,
Hassan Haskins,83701,HB,TEN,14,59.2,52.3,58.8,44,,
Sam Cosmi,60114,T,WAS,11,71.6,66.6,71.5,585,,62.2316726
John Wolford,46454,QB,LA,3,40,,60,43,,
Nikola Kalinic,156095,TE,IND,7,54.7,27.1,58.5,43,,
Travis Homer,45859,HB,SEA,10,63.2,59.2,42.8,43,,
J.K. Dobbins,57366,HB,BLT,9,75.7,59,44.8,42,,
John Molchon,46921,G,TB,1,62.3,86.1,52.3,42,,
James Robinson,22425,HB,NYJ,11,59.7,81.5,46.4,42,,
Josh Ball,40733,T,DAL,6,73.4,29.1,86.2,42,,
Anthony Brown,40316,QB,BLT,2,36.2,,60,42,,
Dontrell Hilliard,45691,HB,TEN,12,67.1,56.7,59.1,42,,
DeeJay Dallas,55632,HB,SEA,15,64.9,65.7,78.5,42,,
Trace McSorley,32819,QB,ARZ,6,36.4,,61.4,42,,
Albert Okwuegbunam,41933,TE,DEN,8,55.4,29.8,75.2,41,,
Jordan Meredith,60235,G,LV,1,63.8,68.4,59.6,41,,
D'Andre Swift,57212,HB,DET,14,78.1,73.9,58.8,40,,
Chris Hubbard,8051,T,CLV,4,40.9,22.7,53.4,39,,
Blake Hance,46301,G,JAX,5,48.7,55.6,45.8,39,,
Devery Hamilton,40636,T,NYG,5,50.2,44.1,51.8,39,,
Shane Lemieux,28149,G,NYG,1,29.4,0,46.9,39,,
Ty Johnson,45769,HB,NYJ,11,71.2,55.3,54.4,38,,
Andre Baccellia,47901,WR,ARZ,8,56.4,,44.9,38,,
Bryan Edwards,28486,WR,ATL,7,50.7,,53.4,38,,
Anthony Schwartz,84135,WR,CLV,10,50.8,,55.9,37,,
Kyle Rudolph,6195,TE,TB,9,40,67.6,44.6,37,,
Justin Jackson,29539,HB,DET,13,58.6,65.5,58.5,37,,
Jake Kumerow,9883,WR,BUF,6,62,,50,37,,
Ben Ellefson,27766,TE,MIN,4,79.1,72.2,58.9,37,,
Jameson Williams,101701,WR,DET,6,63.4,,68.5,37,,
David Blough,46508,QB,ARZ,2,50.3,,61.4,37,,
Sam Howell,97599,QB,WAS,1,68.5,,60,36,,
Tommy Doyle,40459,G,BUF,1,51.4,39.2,56.6,36,,
Craig Reynolds,94383,HB,DET,8,68.9,44.5,60.1,36,,
J.D. McKissic,11047,HB,WAS,8,54.2,43.7,57.6,36,,
Jake Curhan,38549,G,SEA,4,37.1,0,51.5,36,,
Jamal Agnew,11920,WR,JAX,17,67.6,68.8,61.2,35,,
KaVontae Turpin,47658,WR,DAL,18,53,,61.2,35,,
Deon Jackson,57189,HB,IND,13,62.9,53.1,59.4,35,,
Breece Hall,97636,HB,NYJ,7,69.8,68.9,58.6,34,,
Ihmir Smith-Marsette,61324,WR,KC,7,44,70.2,90.9,34,,
Kyle Hinton,83163,G,MIN,1,70.1,81.7,65.5,34,,
Trey Lance,91399,QB,SF,2,53.1,,60,33,,
Isiah Pacheco,83747,HB,KC,20,76.2,30.6,60.1,33,,
Jeremy Ruckert,84029,TE,NYJ,5,56.1,78.5,78,33,,
Dare Ogunbowale,12329,HB,HST,14,65,89.6,55.1,33,,
Rex Burkhead,7971,HB,HST,16,59.1,47.5,60,33,,
Zonovan Knight,97432,HB,NYJ,7,71.8,69.7,58.7,33,,
Vederian Lowe,59741,T,MIN,1,35.1,63.3,44.1,33,,
Kendall Lamm,10017,T,MIA,1,67,87.1,56.5,32,,
Damien Harris,35134,HB,NE,11,75.8,69.2,59.8,32,,
Alex Leatherwood,58468,T,CHI,4,60.1,45.4,65.7,32,,
Ameer Abdullah,9487,HB,LV,15,66.4,29.8,59.9,32,,
Kyle Allen,26152,QB,HST,2,27,,60,32,,
Trent Scott,24481,T,PIT,8,70.9,68.5,65.5,31,,
Deven Thompkins,84480,WR,TB,5,58.8,,61.3,31,,
Ja'Tyre Carter,78432,G,CHI,1,62.6,83.9,55,31,,
Frank Darby,40988,WR,ATL,5,62,,71.9,31,,
Bryce Perkins,35299,QB,LA,5,60,,60,31,,
Tylan Wallace,61577,WR,BLT,8,57.3,,73.4,30,,
Tom Compton,7181,G,DEN,1,46.6,48.5,46.9,30,,
Feleipe Franks,40217,QB,ATL,9,47.5,74.3,63.8,30,,
Melvin Gordon III,9448,HB,DEN,10,49.1,39.9,59.5,30,,
Rashaad Penny,27414,HB,SEA,5,70.2,43.9,55.9,30,,
DeSean Jackson,4363,WR,BLT,7,76.1,,60.6,29,,
Jalen Virgil,41991,WR,DEN,9,59.1,,60.4,29,,
Royce Freeman,45747,HB,HST,4,59.2,80.3,56.7,29,,
Wyatt Davis,59993,G,NYG,3,56.5,51,57.4,29,,
Tyrie Cleveland,42134,WR,DEN,4,52,,55.4,29,,
T.Y. Hilton,7092,WR,DAL,5,69.6,,59,29,,
Nick Foles,7089,QB,IND,3,34,,60,29,,
Mason Schreck,12007,TE,HST,3,53.6,66,60,29,,
Jalen Nailor,84292,WR,MIN,6,91.6,,57.1,28,,
Netane Muti,41339,G,LV,1,64.3,68.7,60.7,28,,
Jesper Horsted,91465,TE,LV,8,59.6,73,63.2,28,,
Trevor Siemian,9683,QB,CHI,2,33.9,,60.5,28,,
Jordan Mason,62946,HB,SF,11,92.9,75.4,58.8,28,,
Kyren Williams,97118,HB,LA,8,67.2,26,42,28,,
Drew Sample,47259,TE,CIN,2,52.3,56.4,54,27,,
Quintez Cephus,29614,WR,DET,4,68,,81.9,27,,
Cade Johnson,42109,WR,SEA,4,61.7,62.4,60.1,27,,
Michael Thomas,10681,WR,NO,3,77.3,,40.7,27,,
Stone Smartt,60492,TE,LAC,7,51.6,80.7,40.9,26,,
Malcolm Brown,9902,HB,LA,9,62.5,75.7,60,26,,
Samori Toure,25276,WR,GB,11,49.3,,57.6,25,,
Mike Boone,31615,HB,DEN,9,53.2,42.1,59.7,25,,
Trestan Ebner,57159,HB,CHI,14,52.5,75.5,60.1,25,,
Sony Michel,27589,HB,LAC,10,58.5,72.7,60,25,,
Nick Mullens,12282,QB,MIN,4,69,,60,25,,
Lance McCutcheon,61478,WR,LA,8,47.8,,59.6,25,,
Josh Johnson,4474,QB,SF,3,48.1,,60,24,,
Ja'Wuan James,8654,T,BLT,1,65.3,86,47.5,24,,
Matt Sokol,47123,TE,NE,3,51.2,74.9,50.6,24,,
Blake Bell,9550,TE,KC,4,60.7,69.3,57.7,24,,
D'Onta Foreman,11844,HB,CAR,17,73.1,14.8,59.1,24,,
Jalen Reagor,61697,WR,MIN,14,68.2,,59.5,23,,
Kenny Yeboah,42196,TE,NYJ,7,51.2,46.2,56,23,,
Andy Isabella,47448,WR,BLT,6,50.8,,40.1,23,,
Austin Trammell,52195,WR,LA,6,63.5,68.7,58.3,22,,
Javonte Williams,77803,HB,DEN,4,64.5,60.3,60,22,,
Greg Mancz,10019,C,MIN,1,55.1,49.2,55.9,22,,
Kirk Merritt,35096,WR,NO,3,55,,55.5,21,,
Keaontay Ingram,77761,HB,ARZ,11,48.1,27.1,45.3,21,,
