player,position,team_name,player_game_count,grades_defense,snap_counts_defense,,Average Grade
Nick Westbrook-Ikhine,WR,TEN,2,59.9,2,,
Cam Sims,WR,WAS,1,59.9,1,,
Trent Sherfield,WR,MIA,1,60.5,1,,
Brandon Powell,WR,LA,1,60,1,,
Nyheim Hines,HB,BUF,1,60,1,,
Stanley Morgan,WR,CIN,1,60,1,,
Dante Pettis,WR,CHI,1,60,1,,
Cedrick Wilson Jr.,WR,MIA,2,60.4,2,,
Mike Love,ED,BUF,1,31.6,20,,
Da'Shawn Hand,DI,TEN,1,68.3,2,,
Jalyn Holmes,DI,CHI,1,31.6,34,,
Za'Darius Smith,ED,MIN,17,83.3,822,,
Jonathan Bullard,DI,MIN,13,57.3,333,,
Jonathan Greenard,ED,HST,8,63.4,284,,
Dalvin Tomlinson,DI,MIN,14,77,604,,
Demone Harris,ED,HST,3,49.5,62,,
Pat Jones II,ED,MIN,17,65.6,321,,
Ross Blacklock,DI,MIN,11,46.4,139,,
Tyquan Lewis,ED,IND,7,56.3,273,,
D.J. Wonnum,ED,MIN,17,57.7,593,,
Harrison Phillips,DI,MIN,18,72,738,,
Chase Winovich,ED,CLV,7,61.1,178,,
Khyiris Tonga,DI,MIN,12,77.8,300,,
James Lynch,DI,MIN,16,64.9,290,,60.1372093
Lawrence Guy Sr.,DI,NE,14,53.5,504,,
Aaron Patrick,ED,DEN,2,56.9,2,,
Carl Davis Jr.,DI,NE,16,49.5,218,,
Carlos Davis,DI,PIT,1,45.3,12,,
Matthew Judon,ED,NE,17,73.6,858,,
Deatrich Wise Jr.,ED,NE,17,74.9,828,,
Davon Godchaux,DI,NE,17,53.1,659,,
Anfernee Jennings,ED,NE,16,64.7,344,,
Josh Uche,ED,NE,15,83.1,373,,
Daniel Ekuale,DI,NE,15,60.1,362,,
Christian Barmore,DI,NE,10,68.6,327,,62.11818182
L.J. Collier,DI,SEA,9,38.2,169,,
Cameron Jordan,ED,NO,16,74.5,790,,
Eli Ankou,DI,BUF,2,58.8,45,,
David Onyemata,DI,NO,17,64,682,,
Tanoh Kpassagnon,ED,NO,15,54.5,356,,
Shy Tuttle,DI,NO,17,60.3,557,,
Kentavius Street,DI,NO,17,49.2,518,,
Taylor Stallworth,DI,HST,7,35.3,73,,
Carl Granderson,ED,NO,16,80.4,480,,
Renell Wren,DI,PIT,1,60.4,1,,
Malcolm Roach,DI,NO,13,47.8,316,,
Marcus Davenport,ED,NO,15,76.8,490,,60.18181818
Justin Ellis,DI,NYG,19,30.1,377,,
Kendal Vickers,DI,LV,8,47.6,206,,
Nick Scott,S,LA,16,54.2,984,,
Josh Woods,LB,DET,3,37.6,10,,
Justin Reid,S,KC,20,70.3,1311,,
Tre Flowers,CB,CIN,17,59.6,183,,
Khaleke Hudson,LB,WAS,5,55.9,72,,
Jake Gervase,LB,LA,1,60,1,,
Jalen Thompson,S,ARZ,17,65,1098,,
Dallin Leavitt,S,GB,1,59.9,1,,
Ryan Neal,S,SEA,14,82,772,,
Myles Hartsfield,S,CAR,15,52,812,,
Jessie Bates III,S,CIN,19,71.9,1213,,
Ezekiel Turner,LB,ARZ,10,63.6,108,,
Tarvarius Moore,S,SF,10,64.7,60,,
Elijah Campbell,S,MIA,12,69,96,,
Jordan Whitehead,S,NYJ,17,66.1,1129,,
Ronnie Harrison,S,CLV,15,46,259,,
Demetrius Flannigan-Fowles,LB,SF,8,59.4,99,,
Tony Brown,CB,IND,3,61.3,10,,
Troy Apke,CB,WAS,1,59.9,1,,
Andrew Wingard,S,JAX,11,76.6,223,,
Myles Dorn,S,MIN,2,60,2,,
Rashad Fenton,CB,ATL,6,56.6,379,,
Carlton Davis III,CB,TB,14,65.1,878,,
Kindle Vildor,CB,CHI,11,59.4,531,,
Chandon Sullivan,CB,MIN,18,55.7,1008,,
Jaire Alexander,CB,GB,16,80.3,901,,
Ugo Amadi,CB,KC,2,66.3,56,,
Greg Stroman Jr.,CB,CHI,1,77.1,70,,
Isaac Yiadom,CB,NO,1,60,2,,
Chris Lammons,CB,KC,3,44.4,20,,
C.J. Gardner-Johnson,S,PHI,15,65,872,,
Jaylon Jones,CB,CHI,12,48.4,466,,
Donte Jackson,CB,CAR,9,55,442,,
Danny Johnson,CB,WAS,8,81,292,,
John Reid,CB,TEN,3,60.4,38,,
Cam Lewis,S,BUF,6,50.9,117,,
M.J. Stewart,S,HST,11,70.1,178,,
Donovan Wilson,S,DAL,19,71.3,1102,,
Julian Blackmon,S,IND,14,62.3,720,,
Keion Crossen,CB,MIA,16,49.3,435,,
Darius Phillips,CB,DEN,2,66.4,7,,
Taron Johnson,CB,BUF,18,67.8,1114,,
Nick McCloud,CB,NYG,14,65.6,583,,
JuJu Hughes,S,DET,4,52.3,164,,
Denzel Ward,CB,CLV,14,56.8,748,,
Ashtyn Davis,S,NYJ,6,50.3,13,,
Rock Ya-Sin,CB,LV,11,65.7,663,,
Duke Shelley,CB,MIN,10,82.9,470,,
Leonard Williams,DI,NYG,14,74.2,723,,
Matt Dickerson,DI,ATL,6,43.6,96,,
Jihad Ward,ED,NYG,18,42.1,740,,
Andrew Brown,DI,CHI,5,35.3,79,,
Markus Bailey,LB,CIN,10,71.6,62,,
Shaquille Leonard,LB,IND,3,40.6,74,,
Genard Avery,ED,TB,7,47.7,72,,
Cole Holcomb,LB,WAS,7,66.6,446,,
Quincy Williams,LB,NYJ,15,55.2,792,,
Azeez Al-Shaair,LB,SF,15,74.4,383,,
Zaire Franklin,LB,IND,17,57,1136,,
Ryan Connelly,LB,MIN,1,64.1,16,,
Christian Rozeboom,LB,LA,4,77,8,,
Dexter Lawrence,DI,NYG,18,91.6,977,,
Tomon Fox,ED,NYG,18,38.6,327,,
Oshane Ximines,ED,NYG,17,56.6,529,,
Henry Mondeaux,DI,NYG,11,29.7,249,,
David Moa,DI,LAC,3,58.3,39,,
Kayvon Thibodeaux,ED,NYG,16,72.5,859,,60.22898551
Vinny Curry,ED,NYJ,11,52.6,184,,
Sheldon Rankins,DI,NYJ,15,73.1,558,,
Wyatt Ray,ED,DEN,4,66.6,56,,
Harvey Langi,LB,LV,2,33.8,56,,
Solomon Thomas,DI,NYJ,17,49.9,374,,
Carl Lawson,ED,NYJ,17,66.8,663,,
Nathan Shepherd,DI,NYJ,17,68.9,416,,
Bryce Huff,ED,NYJ,14,90.4,191,,
Olasunkanmi Adeniyi,ED,TEN,3,58.6,69,,
Tashawn Bower,ED,LV,5,49.6,37,,
Delontae Scott,ED,PIT,2,46.6,16,,
Quinnen Williams,DI,NYJ,16,90.1,690,,
La'Darius Hamilton,ED,GB,3,35.6,24,,
Benning Potoa'e,DI,WAS,2,63.1,36,,
John Franklin-Myers,ED,NYJ,17,82.6,643,,
Oren Burks,LB,SF,13,78.9,177,,
Rashaan Evans,LB,ATL,17,59.6,1104,,
Gerri Green,ED,CHI,1,58.5,4,,
Micheal Clemons,ED,NYJ,16,78.7,311,,
Jermaine Johnson,ED,NYJ,14,71.7,312,,63.785
Ndamukong Suh,DI,PHI,11,63.6,224,,
Brandon Graham,ED,PHI,20,89.8,524,,
Xavier Crawford,CB,SEA,1,40.4,1,,
Michael Ojemudia,CB,CHI,2,60.6,2,,
Cornell Armstrong,CB,ATL,7,57.2,372,,
Nik Needham,CB,MIA,6,63.7,294,,
Anthony Averett,CB,LV,7,52.2,278,,
Aaron Robinson,CB,NYG,2,74.3,72,,
Tre Herndon,CB,JAX,13,55.8,506,,
Isaiah Oliver,CB,ATL,12,77.9,349,,
A.J. Green III,CB,CLV,12,43.6,142,,
Jeremy Reaves,S,WAS,11,72.4,149,,
Josh Jackson,CB,ARZ,2,63.4,85,,
Juan Thornhill,S,KC,19,72.7,1244,,
Emmanuel Moseley,CB,SF,5,70.9,312,,
Jalen Davis,CB,CIN,2,60.4,50,,
Michael Jackson,CB,SEA,18,58.4,1147,,
Jace Whittaker,CB,ARZ,6,46.3,281,,
Grant Haley,CB,LA,3,68,129,,
Lamar Jackson,CB,DEN,3,29.8,50,,
Amani Oruwariye,CB,DET,13,30,474,,
Mike Ford,CB,ATL,7,64.6,83,,
Avonte Maddox,CB,PHI,11,72.2,522,,
Brandon Facyson,CB,IND,16,56.2,455,,
Linval Joseph,DI,PHI,11,59.1,218,,
Robert Quinn,ED,PHI,16,45,417,,
Austin Calitro,LB,LV,3,29.6,62,,
Luke Gifford,LB,DAL,9,47.4,44,,
Josey Jewell,LB,DEN,13,71.7,825,,
Cody Barton,LB,SEA,18,56.6,959,,
Jordyn Brooks,LB,SEA,16,52.8,1026,,
DeMarquis Gates,LB,CHI,2,73.8,2,,
Roquan Smith,LB,BLT,18,72.1,1094,,
Tremaine Edmunds,LB,BUF,15,81.9,905,,
Robert Spillane,LB,PIT,16,52.5,588,,
Leighton Vander Esch,LB,DAL,16,73.1,882,,
Bobby Okereke,LB,IND,17,73.3,970,,
Ja'Whaun Bentley,LB,NE,17,80.4,907,,
Frankie Luvu,LB,CAR,15,74.8,941,,
Tyrel Dodson,LB,BUF,8,48.4,220,,
Shaquille Quarterman,LB,JAX,3,90.4,22,,
Jahlani Tavai,LB,NE,17,73.5,570,,
Julian Love,S,NYG,18,66.7,1133,,
Ben Niemann,LB,ARZ,16,71,484,,
Taylor Rapp,S,LA,16,76.2,976,,
P.J. Locke,S,DEN,13,80.5,112,,
Andre Chachere,CB,PHI,2,32,11,,
Joshua Kalu,S,TEN,14,68,494,,
Minkah Fitzpatrick,S,PIT,15,82.4,939,,
Fred Warner,LB,SF,20,85.7,1209,,
Tracy Walker III,S,DET,3,74.3,139,,
Drue Tranquill,LB,LAC,18,66.3,1051,,
Mike Edwards,S,TB,14,52.3,876,,
Kristian Welch,LB,BLT,2,29.8,4,,
Sean Chandler,S,CAR,5,51.1,74,,
Terrell Edmunds,S,PIT,15,69.1,886,,
Will Harris,CB,DET,15,63.7,659,,
Micah Abernathy,S,ATL,1,60,1,,
Derwin James Jr.,S,LAC,15,77.6,909,,
Amani Hooker,S,TEN,9,63.3,522,,
Marcus Epps,S,PHI,20,57.8,1239,,
Roderic Teamer,S,LV,14,54.7,286,,
Marcell Harris,LB,NYJ,5,64.4,62,,
Jaylinn Hawkins,S,ATL,16,59.8,955,,
Jaquan Johnson,S,BUF,10,50.5,261,,
Chase Hansen,LB,NO,2,45.3,16,,
Kaden Elliss,LB,NO,17,81.5,632,,
J.T. Gray,S,NO,7,72.4,30,,
Dre Greenlaw,LB,SF,18,79.6,1034,,
Keelan Cole Sr.,WR,LV,1,60,1,,
Kenny Moore II,CB,IND,12,55.7,774,,
Nicholas Morrow,LB,CHI,17,54,1086,,
Fletcher Cox,DI,PHI,20,60.2,808,,
Manny Jones,DI,ARZ,4,48.6,59,,
Isaiah Dunn,CB,SEA,1,70.2,1,,
Paulson Adebo,CB,NO,13,49.1,814,,
Anthony Chesley,CB,TB,2,48.1,18,,
Jeff Gunter,ED,CIN,4,42.5,37,,
C.J. Brewer,DI,BUF,2,25.2,29,,
Tarron Jackson,ED,PHI,3,61.5,27,,
Javon Hargrave,DI,PHI,20,80.1,809,,
Darrick Forrest,S,WAS,17,67,849,,
Coby Bryant,CB,SEA,18,55.8,784,,
Haason Reddick,ED,PHI,20,84.6,926,,
Esezi Otomewo,DI,MIN,5,62.6,90,,
Mark Robinson,LB,PIT,3,27.6,44,,
Gabe Davis,WR,BUF,1,60,1,,
Ja'Sir Taylor,CB,LAC,9,58.4,188,,
Harrison Hand,CB,CHI,3,73.1,111,,
Elijah Hicks,S,CHI,5,63.2,168,,
A.J. Terrell,CB,ATL,14,63.9,800,,
Josh Blackwell,CB,CHI,5,58,134,,
Marco Wilson,CB,ARZ,14,55.3,778,,
CJ Henderson,CB,CAR,17,52.9,765,,
Lonnie Johnson Jr.,S,TEN,8,64.8,165,,
Amik Robertson,CB,LV,17,64.1,677,,
Russ Yeast,S,LA,9,57.4,113,,
DeeJay Dallas,HB,SEA,1,60,1,,
Josiah Scott,CB,PHI,13,58.9,395,,
Shaun Wade,CB,NE,3,30.4,18,,
Jeff Okudah,CB,DET,15,59.4,789,,
Tre Norwood,S,PIT,10,35.3,243,,
Tre Brown,CB,SEA,3,40.5,21,,
Thomas Graham Jr.,CB,CLV,1,70.6,37,,
Deommodore Lenoir,CB,SF,19,61,1072,,
Tariq Castro-Fields,CB,WAS,1,63.1,6,,
Marcus Jones,CB,NE,11,67.6,371,,
Darious Williams,CB,JAX,19,65,1075,,
Ja'Marcus Ingram,CB,BUF,2,60.2,44,,
Faion Hicks,CB,DEN,1,60,1,,
Xavier McKinney,S,NYG,11,61.2,681,,
Montaric Brown,CB,JAX,4,37.3,63,,
Kamren Curl,S,WAS,12,82.9,727,,
Zyon Gilbert,CB,NYG,3,69.6,73,,
Hamsah Nasirildeen,LB,NYJ,3,49,7,,
Arron Mosby,LB,CAR,1,45.9,2,,
Eric Stokes,CB,GB,9,53.7,477,,
Bryan Cook,S,KC,19,59.5,397,,
Nate Hobbs,CB,LV,11,60.9,667,,
Tony Adams,S,NYJ,7,69.5,118,,
Raheem Layne,S,LAC,3,42.8,25,,
Geno Stone,S,BLT,14,71.4,450,,
A.J. Parker,CB,DET,3,39.9,113,,
Markquese Bell,S,DAL,5,48.4,25,,
T.J. Carter,S,LA,2,54.6,6,,
Ambry Thomas,CB,SF,6,59,41,,
Benjamin St-Juste,CB,WAS,12,58.3,655,,
Reed Blankenship,S,PHI,11,78.9,348,,
Nephi Sewell,LB,NO,1,60,1,,
Damarri Mathis,CB,DEN,14,65.6,794,,
Jason Pinnock,S,NYG,12,61.8,473,,
Tre Avery,CB,TEN,9,63.7,289,,
DaRon Bland,CB,DAL,15,66,745,,
Keisean Nixon,CB,GB,13,61.2,290,,
Ifeatu Melifonwu,S,DET,4,54.6,98,,
Quentin Lake,S,LA,4,71.7,63,,
Darnay Holmes,CB,NYG,17,44.3,637,,
Jaylon Johnson,CB,CHI,11,62.9,656,,
Javelin Guidry,CB,LV,1,60,18,,
Marquise Blair,S,CAR,1,61.3,1,,
Allan George,CB,CIN,2,60.4,37,,
Keith Taylor Jr.,CB,CAR,15,53.8,378,,
Elijah Molden,CB,TEN,2,67.5,82,,
A.J. Thomas,S,CHI,1,67.1,13,,
Josh Sweat,ED,PHI,19,83.8,694,,
Patrick Johnson,ED,PHI,18,56.4,232,,
Milton Williams,DI,PHI,20,72.2,446,,
Jordan Davis,DI,PHI,16,72.6,270,,60.82702703
Neil Farrell Jr.,DI,LV,9,35.5,158,,
Ryder Anderson,DI,NYG,9,40.7,193,,
Earnest Brown IV,DI,LA,5,46,136,,
Chase Young,ED,WAS,3,78.4,114,,
Tyson Alualu,DI,PIT,17,30.4,291,,
Cameron Heyward,DI,PIT,17,89.8,801,,
T.J. Watt,ED,PIT,10,82.1,502,,
Larry Ogunjobi,DI,PIT,16,61.7,636,,
Chris Wormley,DI,PIT,13,74.3,338,,
Phidarian Mathis,DI,WAS,1,64.2,3,,
Demetrius Taylor,DI,DET,1,29.6,13,,
D.J. Davidson,DI,NYG,5,39.8,43,,
Montravius Adams,DI,PIT,17,48.9,281,,
Malik Herring,ED,KC,7,46.1,88,,
Payton Turner,ED,NO,8,69.6,171,,
Phil Hoskins,DI,CAR,5,28.4,44,,
Alex Highsmith,ED,PIT,17,78,941,,
Jamir Jones,ED,PIT,13,57.7,86,,
Isaiahh Loudermilk,DI,PIT,10,42.2,116,,
Malik Reed,ED,PIT,14,63.8,396,,
Luiji Vilain,ED,MIN,2,58.4,35,,
Donovan Jeter,DI,WAS,1,57.8,18,,
DeMarvin Leal,ED,PIT,11,46,175,,56.25263158
Al Woods,DI,SEA,15,69.9,405,,
Bruce Irvin,ED,SEA,12,58.9,436,,
Javon Kinlaw,DI,SF,9,31.9,243,,
Kingsley Jonathan,ED,BUF,7,50.6,63,,
Shelby Harris,DI,SEA,16,74.8,591,,
Quinton Jefferson,DI,SEA,18,47.3,600,,
Myles Adams,DI,SEA,11,56.7,208,,
Jayden Peevy,DI,TEN,1,64.5,27,,
Anthony Rush,DI,ATL,4,47.1,87,,
Darrell Taylor,ED,SEA,17,57.4,503,,
Jay Tufele,DI,CIN,8,52.6,142,,
Bryan Mone,DI,SEA,13,52.7,271,,
Poona Ford,DI,SEA,18,56.6,676,,
Uchenna Nwosu,ED,SEA,18,72.6,952,,
Marvin Wilson,DI,PHI,1,40.5,19,,
Larrell Murchison,DI,LA,8,56.2,102,,
Marlon Tuipulotu,DI,PHI,9,48.5,232,,
Troy Andersen,LB,ATL,16,40.2,481,,
Jack Gibbens,LB,TEN,5,60,214,,
Tony Fields II,LB,CLV,11,50,276,,
K.J. Britt,LB,TB,3,34.1,48,,
Jalen Pitre,S,HST,17,57.1,1088,,
Terrel Bernard,LB,BUF,6,64.6,111,,
Isaiah McDuffie,LB,GB,10,58.6,175,,
Baylon Spector,LB,BUF,1,27.9,12,,
Nate Landman,LB,ATL,4,58.6,22,,
James Houston,ED,DET,7,80.2,140,,
Mykal Walker,LB,ATL,16,58.7,769,,
Monty Rice,LB,TEN,10,63.3,366,,
Del'Shawn Phillips,LB,BLT,1,59.2,1,,
Kyron Johnson,ED,PHI,5,46.6,21,,
Jamin Davis,LB,WAS,16,62.9,833,,
Boye Mafe,ED,SEA,18,64.6,452,,55.31515152
Patrick Queen,LB,BLT,18,69.7,1082,,
Jacob Phillips,LB,CLV,7,36.7,320,,
Kerry Hyder Jr.,DI,SF,19,52.1,410,,
J.J. Russell,LB,TB,2,29,46,,
Willie Gay,LB,KC,16,68.1,737,,
Jeremiah Owusu-Koramoah,LB,CLV,11,65.5,535,,
Pete Werner,LB,NO,12,64.7,596,,
Arik Armstead,DI,SF,12,63.4,486,,
Kenneth Murray Jr.,LB,LAC,18,47.1,784,,
Derrick Barnes,LB,DET,13,62.3,346,,
Olakunle Fatukasi,LB,TB,1,60,1,,
Devin Lloyd,LB,JAX,19,48.1,1030,,
T.Y. McGill,DI,SF,12,45.3,216,,
Tyler Shelvin,DI,CIN,2,42.4,24,,
Michael Carter II,CB,NYJ,17,73.5,732,,
James Pierre,CB,PIT,11,69.9,260,,
Grant Delpit,S,CLV,17,63.6,1086,,
Joshuah Bledsoe,S,NE,2,33.9,22,,
Malcolm Rodriguez,LB,DET,16,62.8,611,,
Darren Hall,CB,ATL,16,65.5,633,,
Garret Wallow,LB,HST,7,43.9,124,,
Isaiah Pola-Mao,S,LV,8,61.7,81,,
Noah Gray,TE,KC,1,60,1,,
Peyton Hendershot,TE,DAL,1,60,1,,
Grant Calcaterra,TE,PHI,2,60.1,2,,
Nick Muse,TE,MIN,1,60,1,,
Noah Igbinoghene,CB,MIA,7,51.8,238,,
Amari Rodgers,WR,HST,1,59.9,1,,
Hassan Ridgeway,DI,SF,12,58.8,285,,
Jalen Reagor,WR,MIN,2,68.9,2,,
Tariq Woolen,CB,SEA,18,69.1,1200,,
Caleb Farley,CB,TEN,5,42.5,104,,
Christian Elliss,LB,PHI,5,60.4,33,,
Theo Jackson,S,MIN,2,85,18,,
Matthew Butler,DI,LV,6,51.6,56,,
Tariq Carpenter,S,GB,3,63.4,17,,
Jack Cochrane,LB,KC,1,60,1,,
Rashid Shaheed,WR,NO,1,60,1,,
Montrell Washington,WR,DEN,1,60,1,,
Akayleb Evans,CB,MIN,7,47.2,162,,
Samuel Womack III,CB,SF,10,69.7,164,,
Jordan Willis,ED,SF,12,66.2,266,,
Zyon McCollum,CB,TB,9,46.3,278,,
Justin Watson,WR,KC,1,70.2,1,,
Samson Ebukam,ED,SF,18,63.7,681,,
Kevin Givens,DI,SF,16,45,428,,
Jonathan Owens,S,HST,17,48.3,970,,
Tavierre Thomas,CB,HST,10,70,409,,
Nick Bosa,ED,SF,19,90.6,898,,
Trent McDuffie,CB,KC,14,74.9,883,,
Chad Muma,LB,JAX,16,54.9,319,,
Trey McBride,TE,ARZ,1,60,1,,
Asante Samuel Jr.,CB,LAC,18,72.6,1045,,
Andre Cisco,S,JAX,17,67.7,1129,,
Chris Claybrooks,CB,JAX,5,51.1,47,,
Caden Sterns,S,DEN,5,76.7,274,,
Charles Omenihu,ED,SF,20,69.7,659,,
Drake Jackson,ED,SF,15,64.1,315,,60.05714286
Akiem Hicks,DI,TB,12,61.8,442,,
William Gholston,DI,TB,18,55.9,522,,
Rakeem Nunez-Roches,DI,TB,18,56.6,584,,
Zaven Collins,LB,ARZ,16,59.8,1025,,
Brian Asamoah II,LB,MIN,10,78.8,121,,
Carl Nassib,ED,TB,14,68.8,275,,
Ifeadi Odenigbo,ED,TB,14,54.8,262,,
Kenneth Gainwell,HB,PHI,2,60,2,,
Delarrin Turner-Yell,S,DEN,1,60,1,,
JT Woods,S,LAC,4,53.6,30,,
Tre'von Moehrig,S,LV,15,54.1,906,,
Ar'Darius Washington,CB,BLT,3,47.4,25,,
Derion Kendrick,CB,LA,12,43.7,483,,
Cobie Durant,CB,LA,7,73.3,281,,
Christian Benford,CB,BUF,9,55.7,363,,
Darien Butler,LB,LV,4,43.7,22,,
Micah McFadden,LB,NYG,15,38.7,435,,
Damone Clark,LB,DAL,10,65.5,398,,
Nick Bolton,LB,KC,20,77.3,1319,,
Patrick O'Connor,DI,TB,12,43.9,103,,
Jesse Luketa,ED,ARZ,7,60.8,47,,
Ernest Jones,LB,LA,17,63.6,723,,
Azeez Ojulari,ED,NYG,9,59.6,252,,
Anthony Nelson,ED,TB,18,63.2,692,,
Deadrin Senat,DI,TB,13,68.5,168,,
Vita Vea,DI,TB,15,65.6,581,,
Joe Tryon-Shoyinka,ED,TB,18,67.2,884,,
Logan Hall,DI,TB,18,36.4,423,,58.51071429
Denico Autry,ED,TEN,12,82.8,531,,
Bud Dupree,ED,TEN,11,58.2,453,,
Mario Edwards Jr.,ED,TEN,13,56,463,,
DeMarcus Walker,DI,TEN,17,72.8,427,,
Bobby Brown III,DI,LA,9,62.8,164,,
Otito Ogbonnia,DI,LAC,7,43.2,138,,
Daviyon Nixon,DI,SEA,7,60.6,62,,
Rashad Weaver,ED,TEN,16,60.6,640,,
Quay Walker,LB,GB,17,52,846,,
Channing Tindall,LB,MIA,4,43,10,,
Jack Sanborn,LB,CHI,8,64.5,330,,
Jerry Jacobs,CB,DET,11,55.8,542,,
Kelvin Joseph,CB,DAL,11,49.2,167,,
Verone McKinley III,S,MIA,11,69,252,,
Rachad Wildgoose,CB,WAS,7,50.7,196,,
Pat Surtain II,CB,DEN,17,86.8,1104,,
Jalyn Armour-Davis,CB,BLT,3,28.2,50,,
Josh Jobe,CB,PHI,5,61.4,24,,
Jamien Sherwood,LB,NYJ,4,79.1,25,,
Roger McCreary,CB,TEN,17,62.6,1164,,
Tyson Campbell,CB,JAX,19,80.8,1275,,
Kerby Joseph,S,DET,14,64,875,,
Percy Butler,S,WAS,11,48.7,134,,
Cam Taylor-Britt,CB,CIN,13,64.5,788,,
Greg Newsome II,CB,CLV,15,69.1,907,,
Jaycee Horn,CB,CAR,13,71.4,812,,
Israel Mukuamu,S,DAL,17,61.3,212,,
Bryce Thompson,CB,NO,2,66,7,,
Kyler Gordon,CB,CHI,14,49.8,863,,
Alontae Taylor,CB,NO,11,54.5,663,,
Hassan Haskins,HB,TEN,1,60,1,,
Corey Ballentine,CB,GB,3,46,17,,
Jevon Holland,S,MIA,18,67.2,1197,,
Talanoa Hufanga,S,SF,20,72.1,1214,,
Dax Milne,WR,WAS,1,59.9,1,,
Jalen Nailor,WR,MIN,2,60,2,,
Simi Fehoko,WR,DAL,1,60,1,,
Deven Thompkins,WR,TB,1,70.2,1,,
Chris Williams,DI,IND,5,45.5,45,,
Jeffery Simmons,DI,TEN,15,81.1,840,,
Kyle Dugger,S,NE,15,78.4,752,,
Bobby Price,CB,DET,2,44.2,38,,
De'Shaan Dixon,ED,JAX,2,33.2,4,,
Tevaughn Campbell,CB,JAX,2,44.4,31,,
Daniel Hardy,ED,LA,6,52.1,41,,
Deonte Harty,WR,NO,1,70.2,1,,
E.J. Speed,LB,IND,17,78.4,316,,
Jonathan Harris,DI,DEN,8,61.8,211,,
Naquan Jones,DI,TEN,11,46.5,156,,
Jody Fortson,TE,KC,1,60,1,,
Kevin Strong,DI,TEN,16,59.5,305,,
Nick Cross,S,IND,6,56.5,122,,
Dax Hill,S,CIN,18,56,150,,
Martin Emerson Jr.,CB,CLV,17,72.5,783,,
Derek Stingley Jr.,CB,HST,9,49.1,599,,
Teair Tart,DI,TEN,16,73.1,520,,60.4875
Efe Obada,ED,WAS,17,55.5,391,,
Jonathan Allen,DI,WAS,16,80.1,802,,
Kaiir Elam,CB,BUF,14,64.6,570,,
Cor'Dale Flott,CB,NYG,11,67.8,338,,
Lewis Cine,S,MIN,2,60.1,2,,
Brandin Echols,CB,NYJ,12,69.6,69,,
Quandre Mosely,CB,NE,1,60.9,1,,
Montez Sweat,ED,WAS,17,86.4,731,,
Casey Toohill,ED,WAS,16,64.9,347,,
Christian Harris,LB,HST,12,28.3,711,,
James Smith-Williams,ED,WAS,14,59.8,506,,
Nakobe Dean,LB,PHI,11,78.6,47,,
Daron Payne,DI,WAS,17,64.1,907,,
Andrew Booth Jr.,CB,MIN,2,45.3,105,,
Amare Barno,ED,CAR,9,64,51,,
Nahshon Wright,CB,DAL,5,51.8,128,,
Sauce Gardner,CB,NYJ,17,87.9,1114,,
Damarion Williams,CB,BLT,12,43.9,225,,
Ja'Quan McMillian,CB,DEN,1,68.3,68,,
Dane Belton,S,NYG,14,32.8,400,,
Christopher Hinton,DI,LAC,5,51.4,92,,
David Ojabo,ED,BLT,3,80.3,23,,
Sam Okuayinonu,ED,TEN,6,57.2,105,,
Leo Chenal,LB,KC,20,70.3,296,,
Brandon Smith,LB,CAR,5,28.3,52,,
Jaquan Brisker,S,CHI,15,67,954,,
Kyle Hamilton,S,BLT,17,87.6,600,,
Prince Emili,DI,BUF,2,70.3,27,,
Rodney Thomas II,S,IND,15,54.3,720,,
Daniel Wise,DI,WAS,11,47.6,101,,
Dee Alford,CB,ATL,16,64.8,246,,
D'Anthony Bell,S,CLV,5,48,72,,
Domenique Davis,DI,CIN,2,29.2,37,,
David Bada,DI,WAS,2,45.7,27,,
John Ridgeway,DI,WAS,15,48.9,279,,59.58857143
Deane Leonard,CB,LAC,2,60,4,,
DaMarcus Mitchell,ED,NE,1,52.3,5,,
Jaylen Watson,CB,KC,19,61.2,750,,
Sam Webb,CB,LV,9,59.1,327,,
Brayden Thomas,ED,LA,1,60.4,4,,
Sam Roberts,DI,NE,3,46.5,40,,
Kader Kohou,CB,MIA,16,68.5,969,,
Joshua Williams,CB,KC,16,63,525,,
Gregory Junior,CB,JAX,1,71.4,18,,
Dallis Flowers,CB,IND,4,49.5,175,,
Josh Onujiogu,ED,SEA,1,67.9,11,,
Christian Matthew,CB,ARZ,9,55.7,237,,
