player,position,team_name,player_game_count,grades_defense,snap_counts_defense,,Average Grade
Trevis Gipson,ED,CHI,17,48.9,641,,
Terrell Lewis,ED,CHI,11,46.1,332,,
Justin Jones,DI,CHI,17,45.8,746,,
Steven Nelson,CB,HST,15,66.7,957,,
Dominique Robinson,ED,CHI,17,45.9,549,,57.38235294
Trey Flowers,ED,MIA,4,78,64,,
DJ Reader,DI,CIN,13,85.2,528,,
Kwon Alexander,LB,NYJ,17,63,558,,
Damien Wilson,LB,CAR,11,57.1,204,,
Trey Hendrickson,ED,CIN,18,82.9,732,,
Adrian Amos,S,GB,17,53.4,977,,
Bobby McCain,S,WAS,17,61.4,970,,
Tyeler Davison,DI,LAC,6,40.6,34,,
David Mayo,LB,WAS,10,54.7,202,,
Quandre Diggs,S,SEA,18,71.8,1221,,
Christian Ringo,DI,NO,2,30,33,,
Christian Covington,DI,LAC,4,34.7,123,,
Josh Tupou,DI,CIN,14,56.6,334,,
Neville Hewitt,LB,HST,3,67.3,23,,
Troy Hill,CB,LA,12,65.4,703,,
Sam Hubbard,ED,CIN,18,69.5,962,,
Justin Coleman,CB,SEA,2,59.3,60,,
Dean Marlowe,S,BUF,10,53.9,321,,
Alex Singleton,LB,DEN,15,79.1,771,,
Bryce Callahan,CB,LAC,16,61.9,653,,
B.J. Hill,DI,CIN,19,68.7,977,,
Zach Carter,DI,CIN,19,35.1,461,,
Erik Harris,S,ATL,3,51.5,33,,
Joey Bosa,ED,LAC,6,76,203,,
Jalen Ramsey,CB,LA,17,86.4,1078,,
Cam Sample,ED,CIN,19,62.3,480,,
Joseph Ossai,ED,CIN,19,53.7,418,,60.82692308
Eli Apple,CB,CIN,18,55.7,1101,,
Jadeveon Clowney,ED,CLV,12,75.8,494,,
Keanu Neal,S,TB,15,57.7,580,,
Myles Garrett,ED,CLV,16,92.5,816,,
William Jackson III,CB,WAS,4,49.6,204,,
Artie Burns,CB,SEA,1,69.5,16,,
Taven Bryan,DI,CLV,16,60,642,,
Vernon Butler,DI,NYG,1,47.7,12,,
Emmanuel Ogbah,ED,MIA,9,52.1,326,,
Jaylon Smith,LB,NYG,15,56.4,724,,
Myles Jack,LB,PIT,15,53.6,692,,
Jordan Elliott,DI,CLV,17,40.4,703,,
Xavien Howard,CB,MIA,16,59.2,1047,,
Reggie Ragland,LB,CLV,4,86.4,68,,
Austin Johnson,DI,LAC,8,55.9,287,,
Isaiah Thomas,ED,CLV,10,51,162,,
Tommy Togiai,DI,CLV,12,37.3,225,,
Alex Wright,ED,CLV,17,38.4,543,,57.64090909
Deion Jones,LB,CLV,11,48.3,422,,
Mackensie Alexander,CB,DAL,1,53.7,14,,
Vonn Bell,S,CIN,19,69.3,1223,,
James Bradberry,CB,PHI,20,71.7,1220,,
Perrion Winfrey,DI,CLV,13,41.6,342,,
Kevin Byard,S,TEN,17,79.5,1139,,
Johnathan Hankins,DI,DAL,12,46.5,290,,
DeMarcus Lawrence,ED,DAL,19,73.9,787,,
Dante Fowler Jr.,ED,DAL,19,61.3,378,,
Carlos Watkins,DI,DAL,14,57,303,,
Daryl Worley,CB,BLT,4,55.6,67,,
Kendall Fuller,CB,WAS,17,76.6,1030,,
Nick Vigil,LB,ARZ,4,28.3,84,,
Neville Gallimore,DI,DAL,17,36.4,422,,
Justin Simmons,S,DEN,12,70.7,808,,
Joe Schobert,LB,TEN,6,61.5,121,,
Eric Murray,S,HST,12,65.1,118,,
Miles Killebrew,LB,PIT,5,70.5,13,,
De'Vondre Campbell,LB,GB,13,75.6,694,,
Chauncey Golston,DI,DAL,17,69.3,278,,
Juston Burris,S,CAR,5,63.4,219,,
Osa Odighizuwa,DI,DAL,19,68.2,706,,
Dorance Armstrong,ED,DAL,19,61.7,618,,
Deon Bush,S,KC,10,82.6,72,,
Blake Martinez,LB,LV,4,38.4,105,,
Quinton Bohanna,DI,DAL,13,41.1,264,,
Micah Parsons,ED,DAL,19,91.8,1062,,
Sam Williams,ED,DAL,17,66.2,306,,61.89545455
Mike Purcell,DI,DEN,17,67.7,529,,
DeShawn Williams,DI,DEN,17,55.4,598,,
DeAndre Houston-Carson,S,CHI,13,55.1,414,,
Anthony Brown,CB,DAL,12,55,728,,
Kamu Grugier-Hill,LB,ARZ,11,29.6,418,,
Elandon Roberts,LB,MIA,18,55,721,,
Kevon Seymour,CB,BLT,1,39.3,6,,
Will Parks,S,NYJ,9,62.5,210,,
Jalen Mills,CB,NE,10,44.6,468,,
Dwayne Washington,HB,NO,2,61,2,,
Jayron Kearse,S,DAL,16,71.9,922,,
Clayton Fejedelem,S,MIA,8,53.9,38,,
Tyler Matakevich,LB,BUF,1,76,3,,
Mike Hilton,CB,CIN,17,67.1,846,,
Matthias Farley,S,LV,5,65.7,8,,
Justin Zimmer,DI,MIA,5,54.5,40,,
Kyle Peko,DI,LV,8,57.4,153,,
Michael Pierce,DI,BLT,3,86.9,91,,
Stephen Anderson,TE,ARZ,1,61.4,1,,
D.J. Jones,DI,DEN,15,63.6,558,,
Cory Littleton,LB,CAR,15,72.2,372,,
Jonathan Jones,CB,NE,16,68.1,914,,
Andrew Adams,S,TEN,13,70.9,726,,
Romeo Okwara,ED,DET,5,56.3,119,,
Brandin Bryant,DI,BUF,4,32.7,74,,
Antwaun Woods,DI,ARZ,1,69.3,13,,
Dre'Mont Jones,DI,DEN,13,51.8,715,,
C.J. Ham,FB,MIN,2,60,2,,
Antonio Hamilton Sr.,CB,ARZ,10,68.5,420,,
Jonathon Cooper,ED,DEN,14,63.1,443,,
Jacob Martin,ED,DEN,13,65.1,261,,
Jamal Adams,S,SEA,1,87,15,,
Marshon Lattimore,CB,NO,7,64.7,415,,
Matt Henningsen,DI,DEN,17,63.1,230,,
Derek Barnett,ED,PHI,1,55.5,12,,
Malik Hooker,S,DAL,18,76.2,1008,,
Marlon Humphrey,CB,BLT,18,76.8,1107,,
Baron Browning,ED,DEN,14,55.3,569,,
Adoree' Jackson,CB,NYG,12,70.8,673,,
Jarrad Davis,LB,NYG,6,58.3,201,,
Charles Harris,ED,DET,6,56.4,259,,
Jabrill Peppers,S,NE,17,75,398,,
Takk McKinley,ED,DAL,3,66.6,18,,
Tre'Davious White,CB,BUF,8,58.9,449,,
Taco Charlton,ED,CHI,5,44,67,,
Nik Bonitto,ED,DEN,15,52.4,357,,61.36086957
Budda Baker,S,ARZ,15,73.7,969,,
Marcus Maye,S,NO,10,71.8,669,,
Marcus Williams,S,BLT,11,73.9,695,,
Sidney Jones IV,CB,LV,10,51.3,109,,
Quincy Wilson,CB,PIT,1,52.7,11,,
Benito Jones,DI,DET,17,53.3,309,,
Ryan Anderson,ED,PIT,5,49.3,28,,
Justin Evans,S,NO,13,61,391,,
Julian Okwara,ED,DET,10,46.7,220,,
Teez Tabor,S,SEA,7,58.5,102,,
Raekwon McMillan,LB,NE,15,42.7,250,,
Isaiah Buggs,DI,DET,17,53.9,752,,
Zach Cunningham,LB,TEN,6,60.3,205,,
Josh Paschal,ED,DET,10,55.1,293,,
Chidobe Awuzie,CB,CIN,8,69.9,471,,
Josh Jones,S,SEA,11,52,376,,
Alim McNeill,DI,DET,17,69.8,779,,
Ahkello Witherspoon,CB,PIT,4,45.4,248,,
Aidan Hutchinson,ED,DET,17,80.7,953,,
John Cominsky,ED,DET,14,68.2,554,,
Anthony Pittman,ED,DET,13,52.6,54,,57.4625
Duke Riley,LB,MIA,18,57.1,380,,
Alex Anzalone,LB,DET,17,59.2,1076,,
Tarell Basham,ED,TEN,7,73.7,165,,
Fabian Moreau,CB,NYG,16,56.5,860,,
Shaquill Griffin,CB,JAX,5,61.8,336,,
Jourdan Lewis,CB,DAL,6,59.1,315,,
John Johnson III,S,CLV,17,62.8,1056,,
Preston Smith,ED,GB,17,66.4,825,,
Cameron Sutton,CB,PIT,16,71.6,931,,
Rasul Douglas,CB,GB,17,71.1,915,,
Kenny Clark,DI,GB,17,66.4,807,,
Jaleel Johnson,DI,ATL,9,43.6,181,,
Eddie Jackson,S,CHI,12,76.2,697,,
Rayshawn Jenkins,S,JAX,19,53.7,1263,,
Jarran Reed,DI,GB,17,61.9,705,,
Mack Hollins,WR,LV,2,60,2,,
Jalen Reeves-Maybin,LB,HST,7,41.7,88,,
Dean Lowry,DI,GB,15,59.3,482,,
Justin Hollins,ED,GB,16,54,435,,
T.J. Slaton,DI,GB,17,61.7,333,,
Jonathan Garvin,ED,GB,12,50.6,194,,
Damontae Kazee,S,PIT,9,81,273,,
Desmond King II,CB,HST,17,73.2,916,,
Jayon Brown,LB,LV,8,40.2,423,,
Nate Hairston,CB,ARZ,1,64.9,3,,
Anthony Walker Jr.,LB,CLV,3,82.7,120,,
Matt Milano,LB,BUF,17,77.1,1090,,
Trent Taylor,WR,CIN,1,60,1,,
Devonte Wyatt,DI,GB,16,69.9,224,,
Nathan Gerry,LB,WAS,1,59.9,1,,
Chuck Clark,S,BLT,18,66.1,1149,,
Tanzel Smart,DI,NYJ,3,34.6,49,,
Xavier Woods,S,CAR,15,63.5,1001,,
Tanner Vallejo,LB,ARZ,16,41.1,282,,
Kingsley Enagbare,ED,GB,17,61.4,465,,61.20714286
Jerry Hughes,ED,HST,17,71.4,689,,
